horizon,b_mp_shock,se_mp_shock,ci_lo,ci_hi,nobs,response_type,shock_type
24,-0.03639803505843477,0.025246627284074657,-0.07792504151493695,0.005128971398067408,75,cumulative,contractionary
0,0.003928248137441725,0.022938433035040163,-0.033802116636827535,0.04165861291171099,99,marginal,contractionary
1,0.025381031012386167,0.033117121504298554,-0.029091786408151882,0.07985384843292422,98,marginal,contractionary
2,0.048892897955345786,0.03586347866433478,-0.010097275000781988,0.10788307091147356,97,marginal,contractionary
3,-0.07777773574355394,0.03515016550296322,-0.13559461295904748,-0.0199608585280604,96,marginal,contractionary
4,-0.033983745978634974,0.020677178474868763,-0.06799467798814576,2.7186030875807343e-5,95,marginal,contractionary
5,0.05627590969801947,0.04111466073816972,-0.011351689138038253,0.1239035085340772,94,marginal,contractionary
6,-0.05201806500983833,0.03296520265807562,-0.1062409981651643,0.0022048681454876484,93,marginal,contractionary
7,-0.024942568090539935,0.03337662581852886,-0.07984223212354927,0.02995709594246939,92,marginal,contractionary
8,0.074755995389339,0.06476767148873162,-0.031777343968102625,0.1812893347467806,91,marginal,contractionary
9,-0.04711503710884763,0.06756021619880384,-0.15824170376107569,0.06401162954338044,90,marginal,contractionary
10,-0.04066201282813504,0.02981158955048196,-0.08969771402543389,0.008373688369163808,89,marginal,contractionary
11,0.09489491608510776,0.08705417111691223,-0.04829645301779935,0.2380862851880149,88,marginal,contractionary
12,-0.1162219248307412,0.053658494049587564,-0.20448229338495927,-0.02796155627652315,87,marginal,contractionary
13,-0.07362315929829147,0.01367839619353692,-0.09612211888810987,-0.05112419970847307,86,marginal,contractionary
14,0.14950476266415394,0.0765733801820875,0.023552760543713386,0.27545676478459447,85,marginal,contractionary
15,-0.049006303956378894,0.07336228876899513,-0.16967653071952174,0.07166392280676395,84,marginal,contractionary
16,-0.10348218010814937,0.021868823446784414,-0.1394531936717541,-0.06751116654454464,83,marginal,contractionary
17,0.17851485010463258,0.07480664419787464,0.055468870075690235,0.30156083013357493,82,marginal,contractionary
18,-0.10813876240780372,0.04267906884591714,-0.1783395835939221,-0.03793794122168535,81,marginal,contractionary
19,0.005188652024954965,0.029634107359903888,-0.04355511694745224,0.05393242099736217,80,marginal,contractionary
20,0.05013459079690264,0.05335357574929366,-0.03762423178515311,0.13789341337895838,79,marginal,contractionary
21,-0.08063454287658471,0.0228172156706037,-0.11816552282931116,-0.043103562923858266,78,marginal,contractionary
22,0.035681429969618705,0.021781765809190636,-1.463865230360642e-4,0.07150924646227347,77,marginal,contractionary
23,0.06011617721628572,0.034117080180336226,0.003998574140665512,0.11623378029190592,76,marginal,contractionary
24,-0.05578696897180182,0.016637017881100433,-0.08315242817518635,-0.028421509768417286,75,marginal,contractionary
0,-0.08804089877630407,0.01773165196210764,-0.117206870818018,-0.05887492673459014,99,cumulative,expansionary
1,-0.09716212563418998,0.02858693406411818,-0.14418344781297734,-0.05014080345540262,98,cumulative,expansionary
2,0.05048717909342149,0.01611436103260188,0.02398141390294083,0.07699294428390216,97,cumulative,expansionary
3,-0.06643579494562492,0.021011985896027565,-0.10099743615615903,-0.03187415373509081,96,cumulative,expansionary
4,-0.03404471146898464,0.025733479529682197,-0.07637251860746386,0.008283095669494568,95,cumulative,expansionary
5,0.02052322328492401,0.02834147335896873,-0.026094351962724204,0.06714079853257222,94,cumulative,expansionary
6,-0.05008211105922296,0.017233265570427855,-0.07842831043695914,-0.02173591168148678,93,cumulative,expansionary
7,-0.03125082917037332,0.026327361371025353,-0.07455548500956644,0.012053826668819795,92,cumulative,expansionary
8,0.015233242006588767,0.02322464795304712,-0.02296790441365186,0.05343438842682939,91,cumulative,expansionary
9,-0.04711031706854,0.01855718475294857,-0.07763416971543599,-0.016586464421644,90,cumulative,expansionary
10,-0.00832824886976081,0.023617420850482886,-0.04717544921491689,0.030518951475395274,89,cumulative,expansionary
