horizon,term,regime,estimate,ci_low,ci_high,se,shock_sd,estimate_1sd,ci_low_1sd,ci_high_1sd,nobs,se_method,response_type,spec,panel_effect
8,mp_abs_x_wh2m,expansionary,0.4235009062849002,-0.5677753075653104,1.4147771201351107,0.6026531465218675,0.015756301808010444,0.006672808095390835,-0.008946039105134985,0.022291655295916653,2295,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
9,mp_abs_x_wh2m,expansionary,1.8919434994909745,0.2485250309885627,3.5353619679933863,0.9991274856160183,0.015756301808010444,0.029810032781683246,0.003915835395100942,0.055704230168265555,2268,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
10,mp_abs_x_wh2m,expansionary,2.7936271996361453,1.1766129142562107,4.41064148501608,0.9830748820956587,0.015756301808010444,0.04401723329653415,0.01853906818822357,0.06949539840484473,2241,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
11,mp_abs_x_wh2m,expansionary,-0.30684816448246705,-1.847422682272428,1.233726353307494,0.93660280315958655,0.015756301808010444,-0.0048347922888197815,-0.029108549348848562,0.019438964771209,2214,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
12,mp_abs_x_wh2m,expansionary,1.8723105503934567,0.404840846832784,3.3397802539541295,0.8921582319032499,0.015756301808010444,0.02950069011032145,0.006378794566907873,0.05262258565373503,2187,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
13,mp_abs_x_wh2m,expansionary,1.398536001880586,-0.35030562023993705,3.147377624001109,1.063220212099833,0.015756301808010444,0.022035755334998772,-0.00551952107754274,0.04959103174754029,2160,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
14,mp_abs_x_wh2m,expansionary,0.3862859131631944,-0.9497885005043121,1.7223603268307008,0.8122755677316721,0.015756301808010444,0.006086437431982205,-0.01496515426772362,0.02713802913168803,2133,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
15,mp_abs_x_wh2m,expansionary,1.152922059409987,-0.46005096263354517,2.765895081453519,0.9806179684407383,0.015756301808010444,0.0181657879291767,-0.007248701814319873,0.04358027767267327,2106,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
16,mp_abs_x_wh2m,expansionary,1.9464812359342127,0.17442390668734453,3.718538565181081,1.0773343598549574,0.015756301808010444,0.03066934581700864,0.0027482757162980514,0.05859041591771923,2079,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
17,mp_abs_x_wh2m,expansionary,0.6601757225694886,-0.014161146512419065,1.3345125916513965,0.40996770656833825,0.015756301808010444,0.010401927931126235,-2.231272983971293e-4,0.0210269831606496,2052,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
18,mp_abs_x_wh2m,expansionary,1.361388037811781,-0.43555485256861104,3.158330928192173,1.092463706762041,0.015756301808010444,0.021450440801577556,-0.006862733711014529,0.04976361531416964,2025,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
19,mp_abs_x_wh2m,expansionary,1.589260232801686,0.42274030267675133,2.7557801629266208,0.7091937610806939,0.015756301808010444,0.025040863879492305,0.006660823795384579,0.04342090396360003,1998,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
20,mp_abs_x_wh2m,expansionary,1.3612091375620747,0.3863609283378939,2.3360573467862555,0.5926656288747947,0.015756301808010444,0.021447621995249654,0.006087619393714951,0.036807624596784355,1971,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
21,mp_abs_x_wh2m,expansionary,2.1475888480188337,0.4883853405813321,3.806792355456335,1.0087241078785993,0.015756301808010444,0.03383805804890221,0.007695146824807439,0.05998096927299699,1944,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
22,mp_abs_x_wh2m,expansionary,2.1409141383340793,1.2727787320048611,3.0090495446632977,0.5277888513023482,0.015756301808010444,0.033732889308628375,0.020054285836285435,0.04741149278097132,1917,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
23,mp_abs_x_wh2m,expansionary,2.654081423194723,1.3908598821402223,3.917302964249224,0.7679841661021976,0.015756301808010444,0.041818507926889945,0.021914808075655177,0.06172220777812472,1890,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
24,mp_abs_x_wh2m,expansionary,1.1878145541988954,-1.7613298382486418,4.136958946646432,1.7929524816827647,0.015756301808010444,0.018715564607905175,-0.027752044514899817,0.06518317373071016,1863,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
25,mp_abs_x_wh2m,expansionary,2.21413368368899,1.1522630825256457,3.276004284852335,0.645571486583513,0.015756301808010444,0.03488655856348566,0.01815540489050252,0.051617712236468806,1836,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
26,mp_abs_x_wh2m,expansionary,2.305908878762485,0.25031048580639936,4.361507271718571,1.2497150866645064,0.015756301808010444,0.036332596235552676,0.0039439675600753425,0.06872122491103001,1809,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
27,mp_abs_x_wh2m,expansionary,2.486267025293667,0.5163312669520264,4.456202783635307,1.1976359027110925,0.015756301808010444,0.03917437362583135,0.008135471275008535,0.07021327597665417,1782,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
28,mp_abs_x_wh2m,expansionary,2.6060899571210916,1.2924904319774717,3.9196894822647117,0.79861180570712,0.015756301808010444,0.041062339903224915,0.020364869330202838,0.061759810476247,1755,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
29,mp_abs_x_wh2m,expansionary,1.670218534276648,-0.5484964188068671,3.888933487360163,1.3488829137919238,0.015756301808010444,0.0263164673113957,-0.008642275115333893,0.061275209738125294,1728,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
30,mp_abs_x_wh2m,expansionary,4.8360068311078575,1.7997619257322723,7.872251736483443,1.8459058335803908,0.015756301808010444,0.07619758317653559,0.02835759208440376,0.12403757426866742,1701,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
31,mp_abs_x_wh2m,expansionary,2.172119355372249,0.7098859171701013,3.6343527935743962,0.8889748086048316,0.015756301808010444,0.034224568126266244,0.011185176760188419,0.057263959492344065,1674,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
32,mp_abs_x_wh2m,expansionary,1.2144211314379365,-1.2890528838855768,3.7178951467614496,1.5220041311295194,0.015756301808010444,0.019134785868961647,-0.02031070628498739,0.05858027802291068,1647,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
