horizon,term,estimate,ci_low,ci_high,se,shock_sd,estimate_1sd,ci_low_1sd,ci_high_1sd,nobs,se_method,response_type,spec
24,mp_neg_x_ph2m,-0.32799131026357825,-2.164644757425053,1.5086621368978963,1.1166060110561205,0.01134040072148436,-0.0037195528915536834,-0.02454793896886041,0.017108833185753042,1863,driscoll_kraay,cumulative,twfe_directional_dummies
25,mp_neg_x_ph2m,0.8558589790831342,-0.308045051642032,2.0197630098083006,0.7076034071690109,0.01134040072148436,0.009705783783883244,-0.0034933543258909867,0.022904921893657476,1836,driscoll_kraay,cumulative,twfe_directional_dummies
26,mp_neg_x_ph2m,-0.25592959638293655,-1.7768036732745593,1.2649444805086865,0.9246257855237678,0.01134040072148436,-0.002902344179470255,-0.020149665658338874,0.014344977299398367,1809,driscoll_kraay,cumulative,twfe_directional_dummies
27,mp_neg_x_ph2m,-1.5219731708449509,-3.8671499730982903,0.8232036314083884,1.4257662589709141,0.01134040072148436,-0.017259785644729922,-0.04385503034501208,0.009335459055552234,1782,driscoll_kraay,cumulative,twfe_directional_dummies
28,mp_neg_x_ph2m,-0.08568851865635789,-1.4185184413048961,1.2471414039921804,0.810303057250614,0.01134040072148436,-9.717421387934871e-4,-0.016086567555212913,0.014143083277625942,1755,driscoll_kraay,cumulative,twfe_directional_dummies
29,mp_neg_x_ph2m,0.29057670472673197,-1.1958556563959104,1.7770090658493745,0.9036867091192529,0.01134040072148436,0.0032952562719295794,-0.013561482348583336,0.020151994892442494,1728,driscoll_kraay,cumulative,twfe_directional_dummies
30,mp_neg_x_ph2m,-1.101435984316092,-2.9377572881572216,0.7348853195250378,1.116404082255343,0.01134040072148436,-0.012490725431207045,-0.0333153448701641,0.008333894007750003,1701,driscoll_kraay,cumulative,twfe_directional_dummies
31,mp_neg_x_ph2m,0.20230967032909714,-1.250212091056882,1.6548314317150763,0.8830705283351229,0.01134040072148436,0.002294272731363356,-0.014177906099429935,0.018766451562156648,1674,driscoll_kraay,cumulative,twfe_directional_dummies
32,mp_neg_x_ph2m,1.0938284609942164,-0.2245273530032592,2.412184274991692,0.8015034240103672,0.01134040072148436,0.01240445306823894,-0.0025462301559911345,0.027355136292469013,1647,driscoll_kraay,cumulative,twfe_directional_dummies
33,mp_neg_x_ph2m,-0.5755894343898987,-1.5807117115453555,0.4295328427655579,0.6110709553033749,0.01134040072148436,-0.0065274148370339825,-0.017925904234067726,0.004871074559999761,1620,driscoll_kraay,cumulative,twfe_directional_dummies
34,mp_neg_x_ph2m,0.3856533869609487,-0.7216186972642888,1.4929254711861861,0.6731736283899172,0.01134040072148436,0.00437346394773483,-0.008183445195092546,0.016930373090562206,1593,driscoll_kraay,cumulative,twfe_directional_dummies
35,mp_neg_x_ph2m,-0.06256898451109734,-3.1763228364605807,3.051184867438386,1.8930279271842765,0.01134040072148436,-7.095573570921921e-4,-0.03602077378626482,0.03460165907208044,1566,driscoll_kraay,cumulative,twfe_directional_dummies
36,mp_neg_x_ph2m,-0.6561552267569071,-2.245689489984036,0.9333790364702217,0.9663682148867737,0.01134040072148436,-0.007441063206919763,-0.02546701871244481,0.01058489229860528,1539,driscoll_kraay,cumulative,twfe_directional_dummies
37,mp_neg_x_ph2m,0.0693194592700006,-0.5615679649959582,0.7002068835359594,0.38355231974970866,0.01134040072148436,7.861104459184206e-4,-0.006368405755402668,0.00794062664723951,1512,driscoll_kraay,cumulative,twfe_directional_dummies
38,mp_neg_x_ph2m,1.3658281138582133,-1.5188951296089963,4.250551357325423,1.7537872040405689,0.01134040072148436,0.015489038127821306,-0.017224879423676943,0.04820295567931956,1485,driscoll_kraay,cumulative,twfe_directional_dummies
39,mp_neg_x_ph2m,0.22207204107055947,-0.5277360179304801,0.971880100071599,0.455850932092185,0.01134040072148436,0.002518385934778077,-0.0059847379184921,0.011021509788048254,1458,driscoll_kraay,cumulative,twfe_directional_dummies
40,mp_neg_x_ph2m,-0.3464142636729023,-1.4380270768737984,0.7451985495279939,0.663653467587911,0.01134040072148436,-0.003928476565688655,-0.016307803300093668,0.008450850168716361,1431,driscoll_kraay,cumulative,twfe_directional_dummies
41,mp_neg_x_ph2m,0.9175596787677964,-0.64004385086340565,2.4751632083989987,0.9469557072491755,0.01134040072148436,0.010405494443103278,-0.007258353748112994,0.02806934263431955,1404,driscoll_kraay,cumulative,twfe_directional_dummies
42,mp_neg_x_ph2m,1.6292779989412458,-1.2641481987303598,4.522704196612851,1.7590782245069463,0.01134040072148436,0.0184766653946919,-0.014335947144944928,0.05128927793432873,1377,driscoll_kraay,cumulative,twfe_directional_dummies
43,mp_neg_x_ph2m,-0.20747875086360892,-0.9067741359206252,0.4918166341934074,0.42514140686978447,0.01134040072148436,-0.0023528921759863445,-0.010283182065217616,0.005577397713244927,1350,driscoll_kraay,cumulative,twfe_directional_dummies
44,mp_neg_x_ph2m,2.7558472561645977,1.9183418888989583,3.593352623430237,0.509167109791921,0.01134040072148436,0.0312524122121097,0.02175476574092342,0.04075005868329598,1323,driscoll_kraay,cumulative,twfe_directional_dummies
45,mp_neg_x_ph2m,-1.8068422774253405,-5.718066602626758,2.104382047776076,2.3778555496457012,0.01134040072148436,-0.020490315466522777,-0.06484516662592411,0.02386453569287855,1296,driscoll_kraay,cumulative,twfe_directional_dummies
46,mp_neg_x_ph2m,2.51289364487503,-0.023978548027757896,5.049765837777818,1.542308781362242,0.01134040072148436,0.028497220903354253,-2.71926343354133e-4,0.05726636815006264,1269,driscoll_kraay,cumulative,twfe_directional_dummies
47,mp_neg_x_ph2m,3.5643868851864395,2.8318335763745446,4.296940193998335,0.445360788831764,0.01134040072148436,0.04042157560441769,0.03211412753264152,0.04872902367619387,1242,driscoll_kraay,cumulative,twfe_directional_dummies
48,mp_neg_x_ph2m,-2.1154912957072702,-6.194509852759138,1.963527261344598,2.4798671992545707,0.01134040072148436,-0.02399051901613261,-0.07024822400347171,0.02226718597120649,1215,driscoll_kraay,cumulative,twfe_directional_dummies
0,mp_pos_x_wh2m,-0.7736893888680277,-3.1162734444477884,1.5688946667117332,1.4241899809172958,0.009362604392895343,-0.00724374767095231,-0.029176435440449965,0.014688940098545348,2511,driscoll_kraay,cumulative,twfe_directional_dummies
1,mp_pos_x_wh2m,1.2510191544817035,-0.2267774690765958,2.728815778040003,0.8984365534684134,0.009362604392895343,0.011712797431346615,-0.0021232277281862237,0.025548822590879455,2484,driscoll_kraay,cumulative,twfe_directional_dummies
2,mp_pos_x_wh2m,-0.07754561474496478,-2.1820931345435333,2.0270019050536034,1.2794740427445093,0.009362604392895343,-7.260289132609771e-4,-0.020430074767184052,0.018978016940662097,2457,driscoll_kraay,cumulative,twfe_directional_dummies
3,mp_pos_x_wh2m,-2.249874910865009,-6.388916069334009,1.8891662476039914,2.516358349855233,0.009362604392895343,-0.02106468872392975,-0.05981689365658624,0.01768751620872674,2430,driscoll_kraay,cumulative,twfe_directional_dummies
4,mp_pos_x_wh2m,-0.09599300441639265,-1.7508041729180848,1.5588181640852996,1.006053755414502,0.009362604392895343,-8.987445248361399e-4,-0.01639208684046236,0.01459459779079008,2403,driscoll_kraay,cumulative,twfe_directional_dummies
5,mp_pos_x_wh2m,1.3934163304719513,-0.3399878551512734,3.126820516095176,1.0538349171140962,0.009362604392895343,0.0130460058568088,-0.0031831717861703778,0.029275183499787978,2376,driscoll_kraay,cumulative,twfe_directional_dummies
6,mp_pos_x_wh2m,-4.389827185298673,-8.358324076934853,-0.42133029366249186,2.412674797690837,0.009362604392895343,-0.04110021528912875,-0.07825568171995316,-0.003944748858304331,2349,driscoll_kraay,cumulative,twfe_directional_dummies
7,mp_pos_x_wh2m,0.6152313169620016,-1.9550748701905527,3.185537504114556,1.5626352065844864,0.009362604392895343,0.0057601674308352235,-0.01830459256808536,0.02982492742975581,2322,driscoll_kraay,cumulative,twfe_directional_dummies
8,mp_pos_x_wh2m,1.2536215743167367,-0.5033516413273891,3.0105947899608623,1.0681638699368365,0.009362604392895343,0.011737162858726256,-0.004712682288262894,0.028187008005715403,2295,driscoll_kraay,cumulative,twfe_directional_dummies
9,mp_pos_x_wh2m,-1.5710291935230805,-5.139104514973234,1.9970461279270735,2.169235768451404,0.009362604392895343,-0.014708924828646022,-0.0481154025074367,0.018697552850144652,2268,driscoll_kraay,cumulative,twfe_directional_dummies
10,mp_pos_x_wh2m,1.414684401340902,-0.287012253484334,3.116381056166138,1.0345581071424064,0.009362604392895343,0.013245130390554846,-0.002687182185287217,0.029177442966396912,2241,driscoll_kraay,cumulative,twfe_directional_dummies
11,mp_pos_x_wh2m,0.04635105977880414,-2.7420645416388463,2.8347666611964546,1.6952363150912257,0.009362604392895343,4.3396663590038626e-4,-0.02567286552315042,0.02654079879495119,2214,driscoll_kraay,cumulative,twfe_directional_dummies
12,mp_pos_x_wh2m,-2.5973109386145934,-6.411323799712767,1.2167019224835798,2.3187551759039886,0.009362604392895343,-0.024317594803588118,-0.06002668837146521,0.011391498764288974,2187,driscoll_kraay,cumulative,twfe_directional_dummies
13,mp_pos_x_wh2m,2.2965392859617686,-0.6964288459712598,5.2895074178947965,1.8195954235028902,0.009362604392895343,0.02150158880720239,-0.0065203877726295505,0.04952356538703433,2160,driscoll_kraay,cumulative,twfe_directional_dummies
14,mp_pos_x_wh2m,1.145810767601355,-2.265162480683519,4.556784015886229,2.073724489763069,0.009362604392895343,0.01072777292617123,-0.021207820192269227,0.04266336604461169,2133,driscoll_kraay,cumulative,twfe_directional_dummies
15,mp_pos_x_wh2m,-2.0272967495734533,-6.4451328343599545,2.3905393352130484,2.6858536300122964,0.009362604392895343,-0.018980777453258865,-0.06034322898777252,0.0223816740812548,2106,driscoll_kraay,cumulative,twfe_directional_dummies
16,mp_pos_x_wh2m,3.6881115750618716,0.34625145685645053,7.029971693267292,2.031706690156459,0.009362604392895343,0.03453032963416244,0.003241815411010616,0.06581884385731426,2079,driscoll_kraay,cumulative,twfe_directional_dummies
