UF,ref_month_yyyymm,mean_income,n_obs,total_weight,uf_code,year,month,mean_income_sa,mean_income_trend
29,202506,2193.61123606135,2901,6603421.83683624,29,2025,6,2166.50579712606,2242.63007628591
29,202507,2282.33362495139,3044,6092770.03575205,29,2025,7,2262.15120287799,2248.06022529994
29,202508,2276.77203055202,2574,5866310.94212144,29,2025,8,2334.26496469231,2253.80096123408
29,202509,2200.5333258682,2961,6599677.57262422,29,2025,9,2265.00417831568,2259.54169716821
29,202510,2479.05816001927,2912,6049972.09260434,29,2025,10,2399.80440292079,2265.28243310235
29,202511,2196.40367801494,2355,5702883.25349586,29,2025,11,2232.34752898767,2271.52725732361
29,202512,2178.94722067229,2747,6622395.58833583,29,2025,12,2227.1547649345,2277.77208154487
31,201201,2727.87387250566,5483,8805902.47802025,31,2012,1,2592.58484690987,2641.16770743623
31,201202,2656.80914715347,5521,8988185.3400914,31,2012,2,2683.79986598426,2649.76469925668
31,201203,2660.59115119109,5865,9074642.64021174,31,2012,3,2744.28512281491,2658.36169107713
31,201204,2738.84614369304,6042,9259342.5014722,31,2012,4,2621.46833116147,2666.95868289758
31,201205,2603.95668554968,6136,9324694.5130435,31,2012,5,2680.88025894999,2675.93125622745
31,201206,2718.95282348993,6316,9433918.73235923,31,2012,6,2763.65090306139,2684.90382955731
31,201207,2784.37389708902,6290,9539413.94035688,31,2012,7,2661.02701130097,2693.87640288718
31,201208,2569.91086322817,6327,9500118.47930279,31,2012,8,2626.30210489275,2702.45148489551
31,201209,2855.63678823901,6368,9298955.24051823,31,2012,9,2926.06732567879,2711.02656690385
31,201210,2766.9239638918,6359,9663628.07867832,31,2012,10,2676.38264115806,2719.60164891218
31,201211,2650.93284007136,6243,9318634.26693868,31,2012,11,2701.12990740595,2727.83572377513
31,201212,2741.86672608532,6365,9333364.6615865,31,2012,12,2797.92114673138,2736.06979863808
31,201301,2951.85019863038,6170,9251295.82316641,31,2013,1,2818.07757816844,2744.30387350103
31,201302,2739.52392914512,6051,9057690.05127601,31,2013,2,2767.44288230181,2755.72089238374
31,201303,2696.39339536289,6383,9341613.75698832,31,2013,3,2780.03816090778,2767.13791126645
31,201304,2841.53714322954,6282,9345696.72494504,31,2013,4,2724.23702671057,2778.55493014916
31,201305,2687.57796392291,6319,9469660.48817936,31,2013,5,2763.51149938166,2788.48629405786
31,201306,2732.34836108775,6571,9544489.6199167,31,2013,6,2776.24574438517,2798.41765796657
31,201307,2923.55573973789,6382,9396708.64869685,31,2013,7,2800.5414785713,2808.34902187527
31,201308,2820.62369492943,6437,9592419.97371663,31,2013,8,2877.10482165634,2817.21936978611
31,201309,2716.61208412944,6543,9518826.31329733,31,2013,9,2785.45366942807,2826.08971769694
31,201310,2950.80904821749,6362,9498241.11893202,31,2013,10,2861.73932173959,2834.96006560778
31,201311,2856.01718039919,6433,9724185.38044623,31,2013,11,2906.00642064878,2844.98917785387
31,201312,2725.42691878163,6376,9305305.88412868,31,2013,12,2780.62637072271,2855.01829009996
31,201401,3012.81238570252,6181,9370592.24709771,31,2014,1,2880.56177279637,2865.04740234606
31,201402,2916.58237959677,6397,9667248.52732032,31,2014,2,2945.42892698629,2870.89729688617
31,201403,2698.2278185018,6278,9240904.83171375,31,2014,3,2781.81649535965,2876.74719142628
31,201404,3019.77232907673,6186,9338759.86208244,31,2014,4,2902.53502175526,2882.5970859664
31,201405,2804.39742394668,6512,9877041.6744161,31,2014,5,2879.31803044176,2883.85964761121
31,201406,2645.12473655131,6358,9325310.19749069,31,2014,6,2688.19108954517,2885.12220925602
31,201407,3124.87196043356,6181,9392684.45745631,31,2014,7,3002.15254685148,2886.38477090083
31,201408,2900.70547386946,6408,9850494.85227506,31,2014,8,2957.234561525,2884.81821704792
31,201409,2749.47108863259,6303,9263984.76492853,31,2014,9,2816.67765055962,2883.25166319502
31,201410,3046.57097560657,6219,9483811.68387802,31,2014,10,2958.92684167134,2881.68510934211
31,201411,2812.90325437254,6222,9812676.09651846,31,2014,11,2862.63873134128,2875.13811041731
31,201412,2750.85988730537,6315,9522972.45991644,31,2014,12,2805.16409001827,2868.59111149251
31,201501,3058.07490324129,6022,9408911.81240152,31,2015,1,2927.85938028689,2862.04411256771
31,201502,2837.70026102992,6078,9489008.95581581,31,2015,2,2867.99495291903,2853.05961802979
31,201503,2724.56431554548,6181,9342228.31123049,31,2015,3,2808.7196223551,2844.07512349188
31,201504,3015.33758363782,6138,9543216.92092529,31,2015,4,2897.79378238032,2835.09062895397
31,201505,2711.94181648866,6139,9327095.73044149,31,2015,5,2785.47167679408,2827.85882031767
31,201506,2722.91004619992,6403,9782245.99773468,31,2015,6,2765.35634921161,2820.62701168138
31,201507,2960.58211775178,6219,9619746.70477939,31,2015,7,2837.77874277249,2813.39520304508
31,201508,2708.64262608005,6142,9456493.03916163,31,2015,8,2764.94743424941,2807.46108955927
31,201509,2764.8013411302,6348,9739162.51361628,31,2015,9,2829.58342176599,2801.52697607345
31,201510,2910.42021413363,6080,9423684.80598678,31,2015,10,2824.5438249071,2795.59286258764
31,201511,2674.11436927154,5989,9334017.90175004,31,2015,11,2723.79491361472,2790.44761295245
31,201512,2778.37484578184,6053,9829687.49198564,31,2015,12,2831.60811155437,2785.30236331726
31,201601,2913.4082809016,5937,9239337.90720963,31,2016,1,2785.23333308072,2780.15711368207
31,201602,2645.14594738619,5848,9119437.217846,31,2016,2,2676.85388661748,2774.90213970411
31,201603,2782.30862749833,5991,9696903.10880706,31,2016,3,2866.95528476312,2769.64716572614
31,201604,2898.73099856153,5960,9311646.39661369,31,2016,4,2780.75493721969,2764.39219174818
31,201605,2681.75712044223,5937,9181434.98092298,31,2016,5,2753.71998175796,2760.04094267511
31,201606,2711.49793064545,6140,9995974.21908358,31,2016,6,2753.09749773486,2755.68969360205
31,201607,2844.17161921638,5973,9356451.65025555,31,2016,7,2721.0071637597,2751.33844452899
31,201608,2654.53921363585,5955,9342341.82234943,31,2016,8,2710.29965596461,2748.54330931387
31,201609,2679.66508792476,6136,9798445.41396812,31,2016,9,2741.65963364068,2745.74817409874
31,201610,2837.10624213495,5946,9327202.96516297,31,2016,10,2752.60803748197,2742.95303888362
31,201611,2688.830560859,6068,9438149.7746139,31,2016,11,2738.04010593497,2744.36195551781
31,201612,2695.47769473542,6105,9806627.97164347,31,2016,12,2747.22876263503,2745.770872152
31,201701,2872.85093088991,5845,9296365.16220965,31,2017,1,2752.11542202349,2747.17978878618
31,201702,2662.46410639028,5882,9157859.82910065,31,2017,2,2700.00258614989,2754.28372687569
31,201703,2623.6139941321,6096,9413704.34899122,31,2017,3,2706.65675301742,2761.38766496519
31,201704,2920.1427749803,5972,9564323.72152183,31,2017,4,2801.12575869224,2768.4916030547
31,201705,2710.29028349421,5975,9391459.50654157,31,2017,5,2777.22342287115,2777.24929895596
31,201706,2639.59076292648,6127,9587168.7082365,31,2017,6,2678.04850231547,2786.00699485722
31,201707,2928.95831312014,6133,9730608.08192587,31,2017,7,2807.14139138067,2794.76469075849
31,201708,2767.62493818243,5946,9483842.6448427,31,2017,8,2825.40481832092,2803.34212513227
31,201709,2752.8987745172,6028,9349894.32482906,31,2017,9,2806.94646643434,2811.91955950605
31,201710,2984.42654080686,6118,9866999.45291371,31,2017,10,2906.28577354103,2820.49699387983
31,201711,2829.15127075021,6219,9958460.04496535,31,2017,11,2878.68245747286,2825.90809547972
31,201712,2710.95368087061,6036,9460547.26193327,31,2017,12,2757.15089376167,2831.31919707961
31,201801,3004.03123665566,5913,9562686.02352215,31,2018,1,2890.88856552687,2836.7302986795
31,201802,2795.86070004381,6032,9791180.64280356,31,2018,2,2839.40080874274,2836.06360531099
31,201803,2752.95329042804,5932,9278032.49218277,31,2018,3,2834.58092897274,2835.39691194247
31,201804,2985.99251484407,5934,9786284.12565528,31,2018,4,2866.12739667121,2834.73021857396
31,201805,2779.10183014147,6119,10034336.5206014,31,2018,5,2841.20217566363,2830.23306193568
31,201806,2798.05772304885,6081,9590301.14155638,31,2018,6,2833.57003847675,2825.7359052974
31,201807,2936.63913892023,6093,9951958.36531788,31,2018,7,2816.36563029262,2821.23874865912
31,201808,2791.99039850773,6181,10287556.3512846,31,2018,8,2851.98192972807,2816.27013672223
31,201809,2737.52020882493,6052,9565079.34570497,31,2018,9,2783.80959409286,2811.30152478534
31,201810,2799.78824660133,5970,9756140.08927706,31,2018,10,2728.18099985487,2806.33291284845
31,201811,2778.86690570549,6108,10393398.5621086,31,2018,11,2828.88335318968,2802.94789874312
31,201812,2769.99460444344,5914,9432220.09822836,31,2018,12,2810.77015386929,2799.56288463778
31,201901,2826.06855508554,5773,9383362.09750189,31,2019,1,2720.87292945771,2796.17787053245
31,201902,2826.87907965576,5891,9926123.96634704,31,2019,2,2871.59467616847,2795.79852781096
31,201903,2688.60249308596,6130,9676648.17445221,31,2019,3,2762.58139467483,2795.41918508946
