t,C,Y,pi,r,w
30,2.036202106036353e-06,2.0362021060363304e-06,-3.788522165649039e-06,-2.4123494795509515e-06,-3.891979456331168e-06
31,2.00349673546907e-06,2.003496735469001e-06,-3.4163208411159943e-06,-2.193032452425254e-06,-3.5170025719178433e-06
32,1.9673041033558495e-06,1.9673041033557424e-06,-3.079943686843836e-06,-1.9896940108872254e-06,-3.1739059834259983e-06
33,1.9288778999723352e-06,1.9288778999721603e-06,-2.7763658539437356e-06,-1.802057155196202e-06,-2.858102428726542e-06
34,1.8890570607925687e-06,1.8890570607924827e-06,-2.5030083891264314e-06,-1.6296978655442718e-06,-2.5663607467102797e-06
35,1.8483862889711743e-06,1.8483862889712048e-06,-2.2576041760276765e-06,-1.4720911477723444e-06,-2.296403535972803e-06
36,1.8072032662953342e-06,1.8072032662953964e-06,-2.0381036415425437e-06,-1.3286416369846173e-06,-2.0466169104212055e-06
37,1.7657022834891012e-06,1.7657022834889409e-06,-1.8426091602529265e-06,-1.1987039291449752e-06,-1.815839659001619e-06
38,1.7239810496866889e-06,1.7239810496866328e-06,-1.669330320324537e-06,-1.0815962394729757e-06,-1.603209088025126e-06
39,1.6820753632011416e-06,1.6820753632011505e-06,-1.5165544585796274e-06,-9.766098793281023e-07,-1.4080478011673203e-06
40,1.6399848801155613e-06,1.639984880115584e-06,-1.3826284268552141e-06,-8.830162596796265e-07,-1.2297805213152312e-06
41,1.5976922178500484e-06,1.5976922178498767e-06,-1.2659486265973124e-06,-8.000725691122952e-07,-1.0678734104741685e-06
42,1.5551769479254905e-06,1.5551769479255079e-06,-1.1649570919776509e-06,-7.270268714502706e-07,-9.21790634147045e-07
43,1.5124255724410248e-06,1.5124255724409748e-06,-1.0781419187057592e-06,-6.631230759614772e-07,-7.9096445659761e-07
44,1.4694382758012668e-06,1.469438275801249e-06,-1.0040407004112272e-06,-6.076060205513576e-07,-6.747761665344651e-07
45,1.4262330483735233e-06,1.4262330483734403e-06,-9.412458991765705e-07,-5.59726754428589e-07,-5.725457866495545e-07
46,1.3828476574919899e-06,1.3828476574919443e-06,-8.88411277114178e-07,-5.18747998004048e-07,-4.83528924195834e-07
47,1.3393398666898266e-06,1.339339866689852e-06,-8.442586766180668e-07,-4.839496835873686e-07,-4.0691937204880063e-07
48,1.2957862586712282e-06,1.2957862586711002e-06,-8.075845731102597e-07,-4.5463443549337036e-07,-3.418562225266106e-07
49,1.252279986961195e-06,1.2522799869612008e-06,-7.772659456118939e-07,-4.301328259048931e-07,-2.8743436225327e-07
50,1.208927757140229e-06,1.2089277571401854e-06,-7.522651219335074e-07,-4.0980823998028585e-07,-2.427173010132398e-07
51,1.1658463147206082e-06,1.165846314720561e-06,-7.316333587913438e-07,-3.9306119568889443e-07,-2.067513741457572e-07
52,1.1231586904636112e-06,1.1231586904635716e-06,-7.145130124836457e-07,-3.7933298750270546e-07,-1.7858045223487686e-07
53,1.0809904235667785e-06,1.0809904235667595e-06,-7.001382420964611e-07,-3.68108554221753e-07,-1.572604005895738e-07
54,1.0394659489454985e-06,1.0394659489454396e-06,-6.87834263047689e-07,-3.589185069440236e-07,-1.4187265576150918e-07
55,9.987052983185342e-07,9.98705298318496e-07,-6.770152324588951e-07,-3.513402906639255e-07,-1.3153641303402315e-07
56,9.588212262605242e-07,9.58821226260485e-07,-6.671808991112708e-07,-3.449984883810225e-07,-1.254190595081257e-07
57,9.199168352710426e-07,9.199168352710203e-07,-6.579121881262563e-07,-3.3956430990967354e-07,-1.2274461573168833e-07
58,8.820837379526031e-07,8.820837379525298e-07,-6.488659151858522e-07,-3.347543346443615e-07,-1.2280007687767333e-07
59,8.454007624893525e-07,8.454007624892797e-07,-6.397688370355671e-07,-3.303285996097645e-07,-1.2493965620166044e-07
60,8.099331798938847e-07,8.09933179893885e-07,-6.304112457724817e-07,-3.260881391882182e-07,-1.2858703049916987e-07
61,7.757324090963078e-07,7.757324090962338e-07,-6.20640305436179e-07,-3.2187209164071094e-07,-1.3323576454903498e-07
62,7.428361388839072e-07,7.428361388839111e-07,-6.103533126261798e-07,-3.175544899267016e-07,-1.3844815163138039e-07
63,7.11268794515685e-07,7.11268794515666e-07,-5.994910399503559e-07,-3.1304085146238255e-07,-1.4385274320087096e-07
64,6.810422703917249e-07,6.810422703916847e-07,-5.880312944584228e-07,-3.082646733660734e-07,-1.4914086510296253e-07
65,6.521568494080343e-07,6.5215684940798e-07,-5.759827939878635e-07,-3.031839287897096e-07,-1.5406241538226149e-07
66,6.246022322264758e-07,6.246022322265036e-07,-5.63379435211887e-07,-2.977776451357636e-07,-1.584212319439633e-07
67,5.983586071002831e-07,5.983586071002553e-07,-5.502749985775776e-07,-2.920426298267054e-07,-1.620702876195279e-07
68,5.733977002952994e-07,5.733977002952718e-07,-5.367383096646986e-07,-2.859903920588826e-07,-1.649069394889158e-07
69,5.496837601051468e-07,5.496837601051596e-07,-5.228488537943865e-07,-2.796442932175661e-07,-1.668684094141254e-07
70,5.271744411100657e-07,5.271744411100766e-07,-5.086928229172404e-07,-2.7303694240846696e-07,-1.679276273851382e-07
71,5.058215712623658e-07,5.058215712623354e-07,-4.943595604796188e-07,-2.6620784021794343e-07,-1.680895103371787e-07
72,4.855718000507689e-07,4.855718000507606e-07,-4.799383624931301e-07,-2.5920126130070216e-07,-1.6738769518408e-07
73,4.6636714230938463e-07,4.66367142309325e-07,-4.655155909395961e-07,-2.5206435726620983e-07,-1.6588168649112503e-07
74,4.481454475158543e-07,4.4814544751582994e-07,-4.5117205940193327e-07,-2.448454544050175e-07,-1.636543264478158e-07
75,4.308408387800126e-07,4.3084083877998725e-07,-4.369806598909365e-07,-2.375925172987051e-07,-1.6080944296344138e-07
76,4.143841777203434e-07,4.1438417772029685e-07,-4.2300421417256523e-07,-2.3035174856331422e-07,-1.5746949073164562e-07
77,3.987036209859981e-07,3.987036209859332e-07,-4.0929355142489534e-07,-2.231662978560643e-07,-1.5377296520912917e-07
78,3.8372533989991823e-07,3.837253398998909e-07,-3.958858361785018e-07,-2.160750588234141e-07,-1.4987134840966642e-07
