uf_code,year,quarter,share_PH2M,share_WH2M,share_Ricardian,share_H2M,total_weight,n_obs,n_unmatched
12,2021,3,0.22518970729329094,0.24807963806350236,0.5267306546432068,0.4732693453567933,1904930.290483661,6253,3005
13,2021,3,0.2273380384836577,0.27444005223468154,0.49822190928166077,0.5017780907183392,9283511.448224142,9896,4420
14,2021,3,0.23304237781660633,0.27686547945633144,0.4900921427270623,0.5099078572729377,1302792.8397241551,3775,1665
15,2021,3,0.2340062360968074,0.2775227407265761,0.4884710231766166,0.5115289768233835,19636297.434530616,11348,4844
16,2021,3,0.22775898184888466,0.25575133857387644,0.516489679577239,0.4835103204227611,1787725.1614175094,2923,1306
17,2021,3,0.2322366064684579,0.25395698364563435,0.5138064098859076,0.48619359011409224,3264254.697311364,4291,1758
21,2021,3,0.21849117491305128,0.2553069647564437,0.5262018603305051,0.473798139669495,15494523.213157848,20746,9804
22,2021,3,0.22428687630141292,0.2515580610272025,0.5241550626713847,0.47584493732861544,8112657.55068999,7700,3241
23,2021,3,0.2155647346080949,0.25027396207717073,0.5341613033147344,0.4658386966852656,20471492.094846714,15702,6620
24,2021,3,0.2086733293754059,0.24596601826297268,0.5453606523616216,0.45463934763837854,8018136.530785698,6849,2860
25,2021,3,0.21293341563704066,0.2410837153381756,0.5459828690247838,0.45401713097521623,9738036.61950846,8444,3694
26,2021,3,0.21263776691828926,0.23457552065814033,0.5527867124235704,0.4472132875764296,19917677.606952973,12363,5118
27,2021,3,0.21128686598344049,0.24295666011872263,0.5457564738978369,0.4542435261021631,6994929.899896987,12294,5519
28,2021,3,0.21878083947835134,0.2508655650928291,0.5303535954288197,0.46964640457118045,5360266.48751804,5610,2206
29,2021,3,0.20683090871927792,0.24920134873481653,0.5439677425459055,0.4560322574540945,33617076.09623442,15665,5730
31,2021,3,0.18453309737290666,0.2626209209611651,0.5528459816659282,0.44715401833407176,53849431.19434733,28528,9934
32,2021,3,0.18673386928482022,0.25690288250065474,0.556363248214525,0.44363675178547496,9866101.537465617,11738,4132
33,2021,3,0.17681536284806132,0.22241799337558105,0.6007666437763576,0.39923335622364237,41456122.3104765,20824,7399
35,2021,3,0.18274387234583506,0.23164633547013344,0.5856097921840316,0.41439020781596847,109995549.57266676,26354,8779
41,2021,3,0.1795120682969211,0.275799872287912,0.544688059415167,0.45531194058483304,27874822.553717293,19437,8639
42,2021,3,0.18340676594289854,0.27653473733572037,0.5400584967213811,0.45994150327861894,17344540.396551408,19475,8783
43,2021,3,0.17632804681282715,0.25656629065297726,0.5671056625341956,0.4328943374658044,28115966.051032703,18550,8105
50,2021,3,0.2057667082392498,0.23254637135080816,0.5616869204099422,0.43831307959005794,6485604.3900587475,7389,2810
51,2021,3,0.20520592574943808,0.2380743995691077,0.5567196746814542,0.4432803253185458,8285105.041014187,8293,3223
52,2021,3,0.20261108801699398,0.23224398987181044,0.5651449221111955,0.4348550778888044,17759733.841212347,11512,4335
53,2021,3,0.19183690668387995,0.19874831657399078,0.6094147767421293,0.3905852232578707,7032875.456092539,6277,2446
11,2021,4,0.2406410277696387,0.2616875027724548,0.4976714694579066,0.5023285305420935,4015195.211665949,5883,2549
12,2021,4,0.2275331730378484,0.25648192156326594,0.5159849053988856,0.48401509460111436,1913209.0335359904,6795,3290
13,2021,4,0.2283518463045528,0.27968718190093805,0.49196097179450926,0.5080390282054909,9169360.576265715,10438,4742
14,2021,4,0.2391004200443813,0.2823071455721142,0.4785924343835045,0.5214075656164956,1301351.464241537,3981,1758
15,2021,4,0.23181381975276827,0.28724251050864213,0.48094366973858965,0.5190563302614104,19726547.809131294,12358,5240
16,2021,4,0.22348143034725715,0.26277805042393376,0.513740519228809,0.4862594807711909,1804820.131912345,3064,1306
17,2021,4,0.22181779979266666,0.27381338919363774,0.5043688110136957,0.4956311889863044,3384746.4142965944,4813,1930
21,2021,4,0.21856985677815852,0.2605935952504319,0.5208365479714095,0.47916345202859045,15650937.321405696,21515,10168
