t,dC_drstar_0,dY_drstar_0,dpi_drstar_0
63,6.649936831321784e-06,6.649936831316603e-06,-0.00018901228458440757
64,6.6423328185889405e-06,6.642332818589012e-06,-0.00018364916558040296
65,6.603184911546135e-06,6.603184911547152e-06,-0.00017842867707305464
66,6.541641518441766e-06,6.541641518437808e-06,-0.0001733379119138766
67,6.469247405294001e-06,6.4692474052918415e-06,-0.00016836697446040593
68,6.399802338681419e-06,6.399802338679865e-06,-0.00016350980142915882
69,6.348989696933552e-06,6.348989696932187e-06,-0.0001587649393352723
70,6.333745529739365e-06,6.333745529736855e-06,-0.0001541362012371785
71,6.371351373060663e-06,6.371351373059188e-06,-0.0001496331153291641
72,6.478251785006772e-06,6.478251785001352e-06,-0.0001452710717369752
73,6.668619635172637e-06,6.66861963517213e-06,-0.00014107107385417258
74,6.952718303550494e-06,6.9527183035501805e-06,-0.00013705900771202
75,7.335138948883456e-06,7.335138948884081e-06,-0.00013326435892537303
76,7.81302137562584e-06,7.813021375621826e-06,-0.00012971833260234385
77,8.374396739351886e-06,8.374396739350226e-06,-0.00012645136767206342
78,8.996816826329062e-06,8.996816826323727e-06,-0.00012349008336764224
79,9.64645486354037e-06,9.646454863539623e-06,-0.0001208537510238977
80,1.0277873734547546e-05,1.0277873734546799e-05,-0.00011855044663391966
81,1.083465550063222e-05,1.0834655500628974e-05,-0.00011657310615820569
82,1.1251068272884624e-05,1.1251068272882478e-05,-0.00011489577153787732
83,1.1454909857054217e-05,1.1454909857053246e-05,-0.00011347037582281929
84,1.1371610280813769e-05,1.1371610280812119e-05,-0.00011222446430142131
85,1.092959639034728e-05,1.092959639034444e-05,-0.00011106027803231883
86,1.0066821892089958e-05,1.0066821892088889e-05,-0.00010985562937133819
87,8.73824788488113e-06,8.738247884879295e-06,-0.00010846696897221524
88,6.923926722605814e-06,6.9239267226029156e-06,-0.0001067349737416036
89,4.637202923652101e-06,4.637202923651432e-06,-0.00010449287056895676
90,1.9324079579220634e-06,1.9324079579192547e-06,-0.00010157754898966
91,-1.088697327723126e-06,-1.0886973277239976e-06,-9.784330742273972e-05
92,-4.272574646830814e-06,-4.272574646831796e-06,-9.317782687474824e-05
93,-7.412550368595143e-06,-7.412550368595965e-06,-8.751968200195788e-05
94,-1.0251339946393701e-05,-1.025133994639324e-05,-8.087639583381575e-05
95,-1.2488271216871396e-05,-1.2488271216871259e-05,-7.334174066267597e-05
96,-1.3791862377839255e-05,-1.3791862377842323e-05,-6.511070743433349e-05
97,-1.3818155422313768e-05,-1.3818155422314882e-05,-5.6490338462383936e-05
98,-1.2234851770800666e-05,-1.2234851770801911e-05,-4.7904474736360494e-05
99,-8.7508464048521e-06,-8.750846404854452e-06,-3.989044369738299e-05
100,-3.150220287823297e-06,-3.150220287824844e-06,-3.30858383941999e-05
101,4.670851217633944e-06,4.670851217633214e-06,-2.8203844592676996e-05
102,1.4666453369630017e-05,1.4666453369630825e-05,-2.5996080982195365e-05
103,2.6605360147649842e-05,2.6605360147650096e-05,-2.7202642439029456e-05
104,4.0040916411022455e-05,4.004091641102092e-05,-3.2489975722777016e-05
105,5.429020699560232e-05,5.4290206995601205e-05,-4.237835251608257e-05
106,6.842662786634974e-05,6.842662786634851e-05,-5.716199738659176e-05
107,8.128992414941651e-05,8.128992414941669e-05,-7.68263222481357e-05
108,9.151749723624821e-05,9.151749723624792e-05,-0.00010096810257279614
109,9.760008340412105e-05,9.760008340411977e-05,-0.00012872573389653095
110,9.79637485499982e-05,9.796374854999622e-05,-0.00015872778235037863
111,9.107857393462365e-05,9.107857393462233e-05,-0.00018906873621230867
112,7.559238857557816e-05,7.559238857557743e-05,-0.000217321035951843
113,5.048549614829613e-05,5.04854961482932e-05,-0.00024059195588034538
114,1.5239656932948585e-05,1.523965693294798e-05,-0.00025563259659118996
115,-2.9988237947699845e-05,-2.998823794770102e-05,-0.0002590040272892064
116,-8.42000347736824e-05,-8.420003477368434e-05,-0.0002473024395399737
117,-0.00014541209343044473,-0.0001454120934304456,-0.0002174410852807495
118,-0.00021054813490365473,-0.0002105481349036554,-0.00016698195047150748
119,-0.00027538007770564594,-0.000275380077705645,-9.450499561700754e-05
