bin_key,p_ph2m,p_wh2m,p_ric,weighted_n,raw_n,small_bin_flag
Central_West|35-44|female|secondary|Q4|informal,0.029883415549261976,0.1711931683857852,0.798923416064953,33237.66047479,31,0
Central_West|35-44|female|secondary|Q4|unemployed,0.532089006019847,0.4678969504175027,1.4043562650378045e-05,3405.3847111,2,0
Central_West|35-44|female|secondary|Q5|formal,1.0204818518552212e-05,8.350211154755427e-06,0.9999814449703268,2811.7986077299997,2,0
Central_West|35-44|female|secondary|Q5|informal,1.913574761466388e-06,0.013707470124622092,0.9862906163006164,14995.35017121,27,0
Central_West|35-44|female|secondary|Q5|self_employed,5.1126099148102913e-05,4.1834523821222095e-05,0.9999070393770305,561.15766414,1,0
Central_West|35-44|female|secondary|Q5|unemployed,1.3369739647418615e-05,1.0939944589616233e-05,0.999975690315763,2146.15832224,3,0
Central_West|35-44|female|tertiary|Q1|formal,0.9999185328745677,2.6826190541350405e-05,5.464093489096202e-05,875.16207212,1,0
Central_West|35-44|female|tertiary|Q1|informal,0.3374183493428653,0.6625708657764804,1.078488065428678e-05,4434.36148625,4,0
Central_West|35-44|female|tertiary|Q1|self_employed,5.2017780928331204e-05,0.9998612854106912,8.669680838049024e-05,551.53666101,1,0
Central_West|35-44|female|tertiary|Q1|unemployed,2.5097012017675592e-05,0.9999330743900877,4.182859789457545e-05,1143.25981368,2,0
Central_West|35-44|female|tertiary|Q2|formal,2.9785183016257443e-05,0.9999205725550792,4.964226190456115e-05,963.29562422,1,0
Central_West|35-44|female|tertiary|Q2|informal,0.5086303566703476,0.3020061790996738,0.18936346422997852,10414.70582243,10,0
Central_West|35-44|female|tertiary|Q2|self_employed,0.9999057268515995,3.104306710842664e-05,6.323008129211321e-05,756.26685764,1,0
Central_West|35-44|female|tertiary|Q2|unemployed,1.7051750790511304e-05,1.3952792928182111e-05,0.9999689954562814,1682.71341529,2,0
Central_West|35-44|female|tertiary|Q3|informal,0.1467531184247243,0.13420986829558249,0.7190370132796932,10338.38503719,15,0
Central_West|35-44|female|tertiary|Q3|self_employed,9.276411808320206e-06,0.28128282059095616,0.7187079029972357,3093.2205184699997,5,0
Central_West|35-44|female|tertiary|Q4|formal,5.110411383027997e-05,0.9998637218651882,8.517402098145755e-05,561.39912079,1,0
Central_West|35-44|female|tertiary|Q4|informal,6.605564846433155e-07,0.2815331440264215,0.7184661954170939,43440.41667277,47,0
Central_West|35-44|female|tertiary|Q4|self_employed,6.061545974044616e-05,0.999838358183421,0.00010102635683850526,473.2926808,1,0
Central_West|35-44|female|tertiary|Q5|informal,4.569261001472309e-07,0.21972725033041335,0.7802722927434865,62799.803475,56,0
Central_West|35-44|female|tertiary|Q5|self_employed,2.2872524314169283e-06,0.26619963040178873,0.7337980823457798,12545.48289689,8,0
Central_West|35-44|male|no_education|Q1|informal,0.7034194143426804,0.29656699865028174,1.3587007038035133e-05,3519.8170620399997,6,0
Central_West|35-44|male|no_education|Q2|formal,0.9998943861724033,3.477742276870345e-05,7.083640482800087e-05,675.04914134,1,0
Central_West|35-44|male|no_education|Q2|informal,0.7933544947164325,0.2066278686442945,1.7636639272995246e-05,2711.59224221,4,0
Central_West|35-44|male|no_education|Q3|formal,3.054990375697251e-05,2.499781320602732e-05,0.999944452283037,939.18004529,1,0
Central_West|35-44|male|no_education|Q3|informal,0.22783156571049837,0.5455363806083363,0.22663205368116537,6047.56827651,8,0
Central_West|35-44|male|no_education|Q4|formal,0.00018869782751166318,0.00015440418673800678,0.9996568979857504,151.96807287,1,0
Central_West|35-44|male|no_education|Q4|informal,1.2911235588650998e-05,0.09196833427495185,0.9080187544894597,2222.37629109,5,0
Central_West|35-44|male|no_education|Q4|unemployed,4.645463249296146e-05,0.9998761205273898,7.74248401172153e-05,617.59759967,1,0
Central_West|35-44|male|no_education|Q5|informal,5.613376180228514e-06,4.593210188967921e-06,0.9999897934136308,5111.78170241,7,0
Central_West|35-44|male|no_education|Q5|unemployed,4.465352631539412e-05,3.6538266002487284e-05,0.999918808207682,642.51251803,1,0
Central_West|35-44|male|primary|Q1|formal,0.00031017982288564715,0.999172850783413,0.0005169693937013947,92.41057892,1,0
Central_West|35-44|male|primary|Q1|informal,0.44370662955881685,0.5312437917602492,0.025049578680934038,38531.27815298,82,0
Central_West|35-44|male|primary|Q1|unemployed,0.9092028364540722,0.09076906900349604,2.8094542431852997e-05,1702.19282115,3,0
Central_West|35-44|male|primary|Q2|formal,0.051224715784460875,0.07871210775023986,0.8700631764652991,4744.26844916,6,0
Central_West|35-44|male|primary|Q2|informal,0.3028375455349438,0.3033317018967644,0.3938307525682917,82316.30026302,123,0
Central_West|35-44|male|primary|Q2|self_employed,3.6009854344775474e-05,2.9465481123864426e-05,0.9999345246645313,796.76284509,1,0
Central_West|35-44|male|primary|Q2|unemployed,0.2351534240674466,0.23603383977244374,0.5288127361601097,2973.53905173,5,0
Central_West|35-44|male|primary|Q3|formal,0.035964738359557005,9.787025062760305e-06,0.9640254746153802,2398.9893013700002,4,0
