ref_month_yyyymm,mean_income,n_obs,total_weight,year,month,date,mean_income_sa,mean_income_trend
201701,3116.67688523355,73636,85633200.1210222,2017,1,2017-01-01,3145.19770693454,3142.84506170738
201702,3127.54775569129,71634,85608721.932294,2017,2,2017-02-01,3138.60874329887,3146.89271272884
201703,3298.47964097529,73607,85941585.6276621,2017,3,2017-03-01,3211.0563040592,3150.9403637503
201704,3074.78573014712,74042,86565426.4553025,2017,4,2017-04-01,3124.7979814893,3154.98801477177
201705,3116.04658174625,72382,86903803.3597429,2017,5,2017-05-01,3155.5052024556,3158.99883224069
201706,3247.05268990122,74091,87688696.9036698,2017,6,2017-06-01,3185.35326723149,3163.00964970961
201707,3084.04742697391,74638,87689772.7446479,2017,7,2017-07-01,3144.39554026267,3167.02046717853
201708,3105.52376589227,73148,88031327.7483331,2017,8,2017-08-01,3132.76001518347,3171.27099506334
201709,3301.5533099216,74467,88336849.8403513,2017,9,2017-09-01,3239.42731260835,3175.52152294814
201710,3108.65776120198,75266,88559169.6545192,2017,10,2017-10-01,3152.61501237452,3179.77205083295
201711,3155.30366151131,73802,89276257.2223758,2017,11,2017-11-01,3169.11989018222,3185.08724328767
201712,3308.02801364098,73125,89002922.6827096,2017,12,2017-12-01,3245.01891870461,3190.4024357424
201801,3152.33563239528,73683,87477774.9914507,2018,1,2018-01-01,3175.54228378365,3195.71762819712
201802,3186.65481257883,71702,87642086.466722,2018,2,2018-02-01,3194.79758595862,3200.19550025655
201803,3286.91503085743,72053,87493223.4074069,2018,3,2018-03-01,3203.23414123778,3204.67337231597
201804,3174.76445222505,72841,87855776.4523893,2018,4,2018-04-01,3224.91466280685,3209.1512443754
201805,3184.22348596383,72009,88096520.2002912,2018,5,2018-05-01,3220.69192072222,3212.02485451115
201806,3290.95062495551,71940,88410504.2469073,2018,6,2018-06-01,3236.97054161961,3214.89846464691
201807,3154.20168642921,74466,89197323.3148872,2018,7,2018-07-01,3218.28907647959,3217.77207478266
201808,3225.07910986661,73180,89233904.598397,2018,8,2018-08-01,3252.25904096612,3218.74897349986
201809,3235.75247565789,73553,89958183.449175,2018,9,2018-09-01,3180.04445385789,3219.72587221707
201810,3168.19004472427,75517,90083462.4199226,2018,10,2018-10-01,3210.45509170936,3220.70277093427
201811,3245.50557905163,73043,90343752.2840514,2018,11,2018-11-01,3248.4772574464,3219.8364583682
201812,3272.69381661517,71650,89615690.4114196,2018,12,2018-12-01,3211.48575079271,3218.97014580212
201901,3203.65534780939,73401,88678350.8723323,2019,1,2019-01-01,3221.33616593042,3218.10383323604
201902,3256.2295844321,71346,88939519.9419908,2019,2,2019-02-01,3259.83887696759,3217.63067922496
201903,3248.41773202901,72265,89367103.9747739,2019,3,2019-03-01,3179.62490901886,3217.15752521388
201904,3169.76830571183,74247,90191567.4790454,2019,4,2019-04-01,3216.95314787082,3216.68437120279
201905,3189.27903036992,72725,90443487.0467331,2019,5,2019-05-01,3216.25504384109,3217.34833378332
201906,3232.96896756048,73124,90415961.0961083,2019,6,2019-06-01,3193.32775842147,3218.01229636385
201907,3154.71556057909,74696,91012295.6281444,2019,7,2019-07-01,3217.20163300258,3218.67625894438
201908,3205.67012877697,72204,90730765.8754632,2019,8,2019-08-01,3226.82510183463,3220.95065688734
201909,3235.90295582766,73717,91134085.7860783,2019,9,2019-09-01,3185.82976371471,3223.2250548303
201910,3207.7691712334,74804,91743981.0412758,2019,10,2019-10-01,3247.06166530911,3225.49945277326
201911,3239.50830638071,71843,91996556.6575199,2019,11,2019-11-01,3231.87775062448,3229.82347721131
201912,3231.57511562074,71667,91601880.5528758,2019,12,2019-12-01,3180.5168789966,3234.14750164936
202001,3252.24713519661,73101,90596838.0119516,2020,1,2020-01-01,3264.36895024197,3238.47152608741
202002,3258.3119004284,70042,90644038.5314717,2020,2,2020-02-01,3257.31491070278,3244.87220777154
202003,3290.23053542724,48609,87271065.287257,2020,3,2020-03-01,3236.21334600131,3251.27288945567
202004,3352.72666331793,45720,81805328.2031577,2020,4,2020-04-01,3396.82045434688,3257.67357113979
202005,3414.13807440205,45431,81015114.1069385,2020,5,2020-05-01,3431.48273419678,3259.22612489521
202006,3445.46922426167,41569,79463122.8063693,2020,6,2020-06-01,3420.04187872793,3260.77867865062
202007,3466.55730633112,43453,78075122.589644,2020,7,2020-07-01,3527.33097233374,3262.33123240603
202008,3423.00588206036,42023,79793365.0135598,2020,8,2020-08-01,3438.06510626398,3265.01485121255
202009,3452.95240926702,42048,82062299.7005783,2020,9,2020-09-01,3408.48355401072,3267.69847001906
202010,3300.71970031499,42276,83333876.8320775,2020,10,2020-10-01,3337.06809795077,3270.38208882557
202011,3314.8505461876,39202,84139251.6766038,2020,11,2020-11-01,3296.70516204969,3266.25229835662
202012,3276.01249019332,38472,83260562.1563378,2020,12,2020-12-01,3235.25309621439,3262.12250788766
202101,3280.58823586573,38910,83370069.424917,2021,1,2021-01-01,3290.56957973483,3257.99271741871
202102,3217.43140882482,36161,83436795.0574474,2021,2,2021-02-01,3212.92602727723,3234.75095835575
202103,3311.29635979659,37242,83005780.1902495,2021,3,2021-03-01,3264.53739565542,3211.50919929279
202104,3152.68746941187,40860,84296842.6519408,2021,4,2021-04-01,3195.46380759717,3188.26744022983
202105,3241.47084320805,38994,85735377.6917888,2021,5,2021-05-01,3253.39277035349,3165.84159785081
202106,3140.62457561937,47158,86430849.1807659,2021,6,2021-06-01,3121.43513892446,3143.41575547178
202107,3052.88919440353,51997,88120064.3556155,2021,7,2021-07-01,3113.60746999367,3120.98991309275
202108,3066.31327720956,51830,89220505.6737324,2021,8,2021-08-01,3076.99123242253,3105.28757022147
202109,2999.16459777182,57209,89859350.6445203,2021,9,2021-09-01,2957.33903528316,3089.58522735018
202110,2929.63823868678,58235,91157310.6567078,2021,10,2021-10-01,2966.6343076537,3073.88288447889
202111,2960.3363070815,57036,91945562.7030693,2021,11,2021-11-01,2938.15466385731,3063.01385831184
202112,2927.2950205704,60851,92298621.4270814,2021,12,2021-12-01,2889.28716361916,3052.14483214478
202201,3005.66501320869,60999,90332778.5835773,2022,1,2022-01-01,3013.72610650446,3041.27580597773
202202,2966.38604854749,57181,91312900.1508621,2022,2,2022-02-01,2958.56035500392,3038.22275240454
202203,3002.3717518896,62556,92621406.7047647,2022,3,2022-03-01,2963.02695208227,3035.16969883134
202204,2983.91490986558,63794,94253759.0952668,2022,4,2022-04-01,3025.49733923954,3032.11664525815
202205,3041.26693207373,62052,94795876.4837344,2022,5,2022-05-01,3047.85727558541,3046.68870745316
202206,3036.65241385661,64927,94631790.5167256,2022,6,2022-06-01,3023.76847820802,3061.26076964817
202207,3144.11706819772,65727,95485272.6198772,2022,7,2022-07-01,3204.82398877484,3075.83283184317
202208,3099.32981285788,64069,95673507.8658091,2022,8,2022-08-01,3105.65472149849,3091.09726347061
202209,3138.97047719992,66295,95618541.7924973,2022,9,2022-09-01,3099.800616916,3106.36169509805
202210,3126.96018224415,65305,96428883.5738274,2022,10,2022-10-01,3164.60553960996,3121.62612672549
202211,3217.27078500352,62627,96062826.8225301,2022,11,2022-11-01,3191.04370739148,3135.19346551188
202212,3176.97757291231,63960,94903795.4263967,2022,12,2022-12-01,3141.70647323065,3148.76080429826
202301,3163.28630430212,62758,94448046.1004359,2023,1,2023-01-01,3170.45173514178,3162.32814308465
