t,C_PH2M,C_WH2M,C_RIC,C_total,Y,pi,r,C_PH2M_pct,C_WH2M_pct,C_RIC_pct
21,0.0012289819914099026,7.761676210585517e-05,-0.0013081068164416737,-1.5080629259180839e-06,-1.5080629259181425e-06,-6.181667206640634e-06,-2.1638568298217348e-06,0.6111557226561477,0.03287710560205461,-0.2324171915354683
22,0.0011555268289313663,0.00010902544888134638,-0.0012657143726363057,-1.1620948235926086e-06,-1.1620948235926357e-06,-5.606412840050778e-06,-2.2416912455017107e-06,0.5746274877257942,0.04618127707124532,-0.2248851363487441
23,0.0010893234635087428,0.00013404982522298545,-0.0012242823132034876,-9.090244717567346e-07,-9.090244717568573e-07,-5.145272224343618e-06,-2.2611654124650863e-06,0.5417054710323553,0.05678116608088439,-0.21752371695097616
24,0.0010292945479490586,0.00015395576974701927,-0.00118397227897289,-7.219612768135698e-07,-7.219612768137162e-07,-4.767737049980465e-06,-2.242113917783038e-06,0.511853922738262,0.06521297671648847,-0.21036165279167532
25,0.000974560476434684,0.00016973427769864202,-0.0011448767519430542,-5.819978097333168e-07,-5.8199780973344e-07,-4.452152232958124e-06,-2.198239502396368e-06,0.48463542705314183,0.07189647726577544,-0.20341537556135664
26,0.000924405126098211,0.00018216086935678253,-0.001107041811120868,-4.758156658817589e-07,-4.7581566588181115e-07,-4.183085155089444e-06,-2.1389606136563044e-06,0.4596938659934926,0.07716016458193928,-0.19669307232336625
27,0.0008782426333885291,0.00019184601640270327,-0.0010704826654724118,-3.940156811806073e-07,-3.9401568118068026e-07,-3.949484101736334e-06,-2.0707092019479575e-06,0.4367378977296867,0.08126262381317978,-0.19019744532276403
28,0.000835590120728872,0.00019927408600942565,-0.0010351941570881078,-3.299503498099452e-07,-3.299503498100689e-07,-3.7433870743544083e-06,-1.9978412369694858e-06,0.41552739393075916,0.08440902443920127,-0.18392757813067498
29,0.0007960466392861526,0.00020483228863795106,-0.001001157832901895,-2.7890497779074395e-07,-2.789049777908519e-07,-3.559015424088616e-06,-1.9232734761863686e-06,0.3958629682952458,0.08676338205239861,-0.17788019210827893
30,0.0007592762462208047,0.00020883292129832013,-0.00096834669122368,-2.3752370455234454e-07,-2.3752370455237024e-07,-3.392137360486476e-06,-1.8489274449486864e-06,0.3775775611019128,0.0884579802149785,-0.17205048974447118
31,0.0007249946923661246,0.0002115302617737337,-0.0009367283616366932,-2.0340749683393582e-07,-2.0340749683394329e-07,-3.2396206210715866e-06,-1.7760389658260395e-06,0.3605298191770723,0.08960052655740289,-0.16643271964245449
32,0.0006929591010349611,0.00021313329988765129,-0.0009062672331208231,-1.748321982140695e-07,-1.7483219821415515e-07,-3.099117612830096e-06,-1.7053738852044217e-06,0.3445989633080995,0.09027954552090345,-0.16102055463293505
33,0.000662960009956119,0.00021381531719267253,-0.0008769258776654063,-1.50550516617268e-07,-1.5055051661722844e-07,-2.968843453105185e-06,-1.6373780570183356e-06,0.329680830808628,0.09056843614647517,-0.15580734471377708
34,0.0006348152280852427,0.0002137211225659427,-0.0008486660034745198,-1.2965282333485782e-07,-1.296528233349166e-07,-2.8474192441810876e-06,-1.572281354956516e-06,0.31568482059568576,0.09052853694679044,-0.15078628641025257
35,0.0006083650651328414,0.0002129725611255235,-0.0008214490954740416,-1.1146921567801635e-07,-1.114692156780477e-07,-2.7337611983743835e-06,-1.5101696228958884e-06,0.3025315209000549,0.09021145938701382,-0.14595053657679663
36,0.0005834685945455419,0.0002116727541608427,-0.0007952368492563098,-9.55005499256778e-08,-9.550054992571996e-08,-2.6270020144823098e-06,-1.4510343057002127e-06,0.29015085089860676,0.08966088384533101,-0.14129328949789718
37,0.0005600006968509116,0.00020990940275154423,-0.000769991469421547,-8.136981909117767e-08,-8.136981909124149e-08,-2.526434958397675e-06,-1.3948065614191527e-06,0.278480590410633,0.08891395896822815,-0.13680782989575063
