t,Y,cR,cW,cP,pi,R,r,X,q,hW,bW,A,j,u,TP,dP,dW
27,1.0723040475813568e-05,-7.282292289074396e-05,-6.572261090812917e-06,0.0005882638772263865,2.5426122455470595e-06,5.654268631338426e-06,3.004792093071486e-06,3.5884587433782716e-07,-6.805808585079355e-05,0.00010314187843267936,3.4947939258097456e-05,7.691438860655241e-17,-0.0,7.19920377358858e-20,0.012517204487122747,0.023607774150229514,0.011386930612538468
28,1.009841262635089e-05,-6.981813079767247e-05,-5.060036099195517e-06,0.000558689506652371,2.6494765382542793e-06,5.6710538422842734e-06,2.8974318349655113e-06,4.2141270260560116e-07,-6.518914708150987e-05,0.00010530990254386411,3.9982181825505753e-05,6.27985345856547e-17,-0.0,3.59960188679429e-20,0.011891344262766609,0.022456273643541327,0.010870395461694361
29,9.501984085026029e-06,-6.692069896270696e-05,-3.7266316046915337e-06,0.0005305790226507803,2.773622007314038e-06,5.71043331911093e-06,2.792786105409434e-06,4.933695982017801e-07,-6.243028888339188e-05,0.00010700964350283424,4.443863862957286e-05,5.59912306839584e-17,-0.0,8.363521202401985e-21,0.011296777049628278,0.021356527606231683,0.010371734488216202
30,8.93134194411129e-06,-6.412791285729753e-05,-2.5598245085104665e-06,0.0005038567476411181,2.9176472137217406e-06,5.7752284656924685e-06,2.6907626540649606e-06,5.758476688996589e-07,-5.9778218767865154e-05,0.00010828558291182663,4.836502749424661e-05,6.33499696922488e-17,-0.0,6.617296787353907e-21,0.010731938197146863,0.020307107678710534,0.009891242847951598
31,8.384088325400809e-06,-6.143715020323257e-05,-1.5483749201151875e-06,0.0004784504799552706,3.0844658116250163e-06,5.868606953292081e-06,2.5912558519765203e-06,6.701387373612947e-07,-5.722979276352726e-05,0.00010917849097299879,5.180521097488062e-05,5.373663014352046e-17,-0.0,4.499829692483291e-22,0.010195341287289519,0.01930642431702045,0.009429022027783212
32,7.85782802811956e-06,-5.8845894351256054e-05,-6.819672623247559e-07,0.00045429128949140167,3.2773511013026365e-06,5.994134383660602e-06,2.4941502841604097e-06,7.777077352879476e-07,-5.478202414614147e-05,0.0001097256324039799,5.479939332328963e-05,4.4327290147576744e-17,-0.0,2.2499148462416453e-22,0.009685574222925042,0.018352781282589815,0.008985016292509423
33,7.350160617496953e-06,-5.6351744067095646e-05,4.8849150489932126e-08,0.0004313133340859505,3.499984099493267e-06,6.155832019357146e-06,2.399328980985593e-06,9.001972914120404e-07,-5.2432088796533435e-05,0.0001099609551647523,5.738430370496259e-05,4.191208370735857e-17,-0.0,-6.61751245596329e-23,0.00920129551177879,0.01744441811675549,0.008559043291823266
34,6.858683039311235e-06,-5.395241508611006e-05,6.527257739059706e-07,0.00040945371289214814,3.7565030383615384e-06,6.358240713472373e-06,2.3066916051643606e-06,1.039413047377773e-06,-5.017732247880235e-05,0.00010991526744982487,5.959337587505228e-05,4.491829042624411e-17,-0.0,4.830730310219428e-22,0.00874123073618985,0.016579543067087744,0.008150819729407894
35,6.381015683972846e-06,-5.1645723480945696e-05,1.1375984554055718e-06,0.00038865239184497234,4.051549108309418e-06,6.60649039012264e-06,2.2161936982634885e-06,1.1972653956447605e-06,-4.8015199969610085e-05,0.0001096164139739465,6.14569455043802e-05,3.683805490545798e-17,-0.0,5.624828165360588e-22,0.008304169199380356,0.015756358446552245,0.00775998286904714
36,5.914879093054684e-06,-4.9429529782682205e-05,1.510813262724129e-06,0.0003688522754776122,4.390296691895791e-06,6.906372676011021e-06,2.127930149692426e-06,1.375616541907363e-06,-4.5943274771300524e-05,0.00010908947438625441,6.300250945406772e-05,3.1728999038136797e-17,-0.0,2.7958698429395326e-22,0.007888960739411338,0.01497308002911496,0.00738610855466388
37,5.4582782649164336e-06,-4.730159963298978e-05,1.7793448940700698e-06,0.0003499995810665032,4.778442526312804e-06,7.2644104912344175e-06,2.0423111771177525e-06,1.575925909100017e-06,-4.395903478249035e-05,0.00010835703144096509,6.425513966182113e-05,2.5376719411512314e-17,-0.0,1.4227504200998391e-22,0.0074945127024407705,0.014227951807007323,0.00702872635885612
38,5.009913556413644e-06,-4.525928845587203e-05,1.950212502604041e-06,0.0003320448413803621,5.222099314117545e-06,7.687910345277225e-06,1.9604314530101593e-06,1.7984704122062627e-06,-4.205958060202191e-05,0.00010743960842137673,6.523824531205142e-05,2.3930421481546708e-17,-0.0,4.46677513418412e-23,0.007119787067318732,0.01351925726110377,0.006687332465106373
39,4.5700664637534744e-06,-4.329885700286187e-05,2.0313112457430816e-06,0.00031494521717417975,5.727478892268548e-06,8.184966103062372e-06,1.8848420688543112e-06,2.0406733814000097e-06,-4.024093165631543e-05,0.00010635648358937985,6.597508764487368e-05,2.236535031844291e-17,-0.0,2.419503291717606e-23,0.006763797713952795,0.012845328258704951,0.0063614009716625
40,4.142477942182291e-06,-4.1414014934007556e-05,2.0331142904837156e-06,0.00029866953993343986,6.300124034194803e-06,8.764347399664473e-06,1.8211622130616052e-06,2.2935701230551483e-06,-3.849655387565122e-05,0.00010512731525480894,6.649189096498724e-05,2.1818005118716985e-17,-0.0,1.2097516392104473e-23,0.006425607828255154,0.012204552875372334,0.006050394564634436
41,3.7382981357752854e-06,-3.9592852720945954e-05,1.9721925405497057e-06,0.0002832090457251834,6.943185186614502e-06,9.435131509221024e-06,1.7814407142491745e-06,2.5343843632016315e-06,-3.681426207676091e-05,0.00010377548174658527,6.682430866450518e-05,1.9381254882819238e-17,-0.0,1.7577587830568847e-24,0.006104327436842396,0.01159538402505087,0.005753776122485167
42,3.3843555487445875e-06,-3.781141200669678e-05,1.8785254066782266e-06,0.0002685999699726666,7.653690794964782e-06,1.0205782266953032e-05,1.7911635187674209e-06,2.710994575916976e-06,-3.5169732367823526e-05,0.000102335021347175,6.703091000459818e-05,1.8625451264936277e-17,-0.0,2.8692827454071464e-24,0.005799111065000276,0.011016352172865488,0.005471024157334802
43,3.140429209965236e-06,-3.602024848792936e-05,1.8107131417449888e-06,0.0002549708576421051,8.414618748192122e-06,1.1082056009525456e-05,1.9038569449222878e-06,2.70949622326173e-06,-3.351294782381369e-05,0.00010086509964184107,6.722132482727891e-05,1.707277123969446e-17,-0.0,1.8482316811731712e-24,0.005509155511750262,0.01046608843361974,0.005201657850048688
44,3.1352788573756148e-06,-3.411639154300707e-05,1.8876478519628568e-06,0.0002426413625413006,9.178199064607967e-06,1.2062439957643539e-05,2.2315136794911033e-06,2.286543893246896e-06,-3.173991786963925e-05,9.948016515980391e-05,6.761492809452408e-05,1.5475919320159665e-17,-0.0,9.241158404652441e-25,0.005233697736162749,0.009943370772580007,0.004945283420202408
45,3.641708797715267e-06,-3.188487786351597e-05,2.3543509864747846e-06,0.00023232817965090552,9.830926278151553e-06,1.312842282762866e-05,3.0079534517081984e-06,9.284091212790467e-07,-2.963372338578624e-05,9.84123397079591e-05,6.866254155975891e-05,1.5173295920224273e-17,-0.0,1.1632227362743535e-25,0.0049720128493546106,0.009447219434065634,0.004701686045060547
46,5.231969099537116e-06,-2.8876924411807775e-05,3.7164894706816155e-06,0.00022557136228586975,1.0120469375920697e-05,1.4223967804640198e-05,4.7202368623684875e-06,-2.440681004307054e-06,-2.6741844696494378e-05,9.81313383115111e-05,7.128653799221222e-05,1.3279496041329356e-17,-0.0,-9.047287949174235e-26,0.00472341220688688,0.008977094990793522,0.00447101692454028
47,9.080746614327725e-06,-2.4156687549439288e-05,6.9676988201748206e-06,0.00022556334989172355,9.50373094226848e-06,1.5212434056328643e-05,8.3706639796553e-06,-1.0024830812185537e-05,-2.2124563456931185e-05,9.93901482390112e-05,7.710800589804767e-05,1.1217655444678726e-17,-0.0,-4.8467614016778965e-26,0.004487241596542535,0.008533294519072579,0.004254165260595733
48,1.7178124562249157e-05,-1.578602356978399e-05,1.299981185049242e-05,0.0002376831077738493,6.841770076679181e-06,1.578602356978399e-05,1.578602356978399e-05,-2.550361609099823e-05,-1.3911478361306017e-05,9.92139442142549e-05,8.342792064446997e-05,9.274127446602435e-18,-0.0,-2.4324715300453335e-26,0.004262879516715408,0.00811743278732158,0.004053232674844035
