dataset,response_label,direction,horizon,lp_diff_ph_minus_wh,model_diff_ph_minus_wh,gap_diff_model_minus_lp
lp_controls,consumption,expansionary,31,0.0056825955149826,-0.10890376981670415,-0.11458636533168674
lp_controls,consumption,expansionary,32,-0.027870704035627303,-0.11008468233163085,-0.08221397829600355
lp_controls,consumption,expansionary,33,-0.0683003829097688,-0.11119105273489206,-0.04289066982512327
lp_controls,consumption,expansionary,34,0.0162032815891787,-0.11222670724290738,-0.1284299888320861
lp_controls,consumption,expansionary,35,0.0196665531754225,-0.11319526736642406,-0.13286182054184656
lp_controls,consumption,expansionary,36,0.0368107596953162,-0.11410017990390944,-0.15091093959922564
lp_controls,consumption,expansionary,37,0.0091509779180896,-0.11494475174717517,-0.12409572966526476
lp_controls,consumption,expansionary,38,-0.0275401791292736,-0.11573218805477523,-0.08819200892550162
lp_controls,consumption,expansionary,39,-0.049409282994845295,-0.11646562698354987,-0.06705634398870458
lp_controls,consumption,expansionary,40,0.0584037728612206,-0.1171481514559554,-0.175551924317176
lp_controls,consumption,expansionary,41,0.0498661050459095,-0.11778273015631385,-0.16764883520222335
lp_controls,consumption,expansionary,42,0.0520207178513043,-0.11837197940680119,-0.1703926972581055
lp_controls,consumption,expansionary,43,0.0537491369644901,-0.11891751128685857,-0.17266664825134867
lp_controls,consumption,expansionary,44,0.055698035143314,-0.11941837466126516,-0.17511640980457915
lp_controls,consumption,expansionary,45,0.055549335819233506,-0.11986757221979447,-0.17541690803902799
lp_controls,consumption,expansionary,46,0.0769425236757723,-0.1202445693412231,-0.19718709301699539
lp_controls,consumption,expansionary,47,0.0358307642896556,-0.12049902078384839,-0.15632978507350398
lp_income,income,contractionary,0,-0.0094337438950804,-0.005044254653855603,0.004389489241224797
lp_income,income,contractionary,1,-0.0244037297055985,0.004462122438248176,0.028865852143846675
lp_income,income,contractionary,2,0.0085482128188851,0.008027573159690167,-0.0005206396591949328
lp_income,income,contractionary,3,0.0162116939816715,0.012991702339595469,-0.0032199916420760314
lp_income,income,contractionary,4,-0.0008910456620170388,0.017197914857758824,0.018088960519775862
lp_income,income,contractionary,5,-0.009299195512449801,0.021305338037532227,0.03060453354998203
lp_income,income,contractionary,6,0.025043741137770296,0.025136753808737346,9.301267096704924e-05
lp_income,income,contractionary,7,-0.0234098840124021,0.028761988556572617,0.052171872568974716
lp_income,income,contractionary,8,-0.034876378075981096,0.03217660188512029,0.06705297996110138
lp_income,income,contractionary,9,0.0041728447664871,0.03539725404311994,0.031224409276632843
lp_income,income,contractionary,10,-0.0307655034248458,0.03843346913415373,0.06919897255899952
lp_income,income,contractionary,11,-0.008489840271091639,0.04129606053424931,0.04978590080534095
lp_income,income,contractionary,12,0.0203930190354759,0.043994678223798885,0.023601659188322986
lp_income,income,contractionary,13,-0.0346274304770432,0.04653858025796395,0.08116601073500715
lp_income,income,contractionary,14,-0.0367510710287215,0.04893644532728887,0.08568751635601038
lp_income,income,contractionary,15,0.016966944524913017,0.05119646738426949,0.03422952285935647
lp_income,income,contractionary,16,-0.052562039535341304,0.05332636435395108,0.10588840388929238
lp_income,income,contractionary,17,-0.0187388970281954,0.05533341021059096,0.07407230723878636
lp_income,income,contractionary,18,-0.0095822620212696,0.05722445812276165,0.06680672014403125
lp_income,income,contractionary,19,-0.025535199124008,0.059005964360232456,0.08454116348424046
lp_income,income,contractionary,20,0.0036308499503465014,0.060684010194325205,0.057053160243978704
lp_income,income,contractionary,21,0.004261447246713991,0.06226432271502447,0.058002875468310476
lp_income,income,contractionary,22,-0.0346080129084422,0.06375229438921609,0.0983603072976583
lp_income,income,contractionary,23,0.010777134450133901,0.06515300150788597,0.05437586705775207
lp_income,income,contractionary,24,0.0006875360886036998,0.06647122157364628,0.06578368548504258
lp_income,income,contractionary,25,-0.0097840709974218,0.06771144971094872,0.07749552070837053
lp_income,income,contractionary,26,0.023859827256283404,0.06887791417876596,0.045018086922482554
lp_income,income,contractionary,27,-0.010359001343493624,0.06997459107922366,0.08033359242271729
lp_income,income,contractionary,28,0.0491358107119721,0.07100521837391362,0.021869407661941516
lp_income,income,contractionary,29,0.015036289105816225,0.07197330935006455,0.05693702024424832
lp_income,income,contractionary,30,-0.0079981682067203,0.07288216572499429,0.0808803339317146
lp_income,income,contractionary,31,0.0195071936957448,0.0737348906453466,0.054227696949601806
lp_income,income,contractionary,32,0.019469085265635,0.07453440193328,0.055065316667645
lp_income,income,contractionary,33,-0.0170242343460531,0.07528344605763806,0.09230768040369117
lp_income,income,contractionary,34,0.0069143833612255005,0.07598461345580154,0.06907023009457604
lp_income,income,contractionary,35,0.0129574299329394,0.07664035596328282,0.06368292603034342
lp_income,income,contractionary,36,-0.006489858780709699,0.07725300711542915,0.08374286589613886
lp_income,income,contractionary,37,0.034828776867453504,0.0778248057057266,0.042996028838273095
lp_income,income,contractionary,38,0.019298671216822633,0.07835792162319313,0.0590592504063705
lp_income,income,contractionary,39,-0.0016866938970760996,0.07885447936041269,0.08054117325748879
lp_income,income,contractionary,40,0.0325167023146078,0.07931656598026555,0.046799863665657755
lp_income,income,contractionary,41,0.0199325186359816,0.07974619118750595,0.05981367255152435
lp_income,income,contractionary,42,0.009100612124035307,0.0801451261785123,0.071044514054477
lp_income,income,contractionary,43,0.0131976406998077,0.08051446247597573,0.06731682177616803
lp_income,income,contractionary,44,0.0156082082512298,0.08085355687739822,0.06524534862616842
lp_income,income,contractionary,45,0.009695307655363701,0.08115767431533304,0.07146236665996933
lp_income,income,contractionary,46,0.006226046186607,0.0814129180447534,0.0751868718581464
lp_income,income,contractionary,47,0.0130957587355844,0.08158521391627793,0.06848945518069353
lp_income,income,expansionary,0,-0.040774439885010685,0.0074583554113049205,0.048232795296315606
