t,Y,cR,cW,cP,pi,R,r,X,q,hW,bW,A,j,u,TP
27,2.709966367780805e-05,0.0003768720544021331,-0.0007669526397408583,2.3183771611460346e-05,-2.5947543793071124e-05,-4.6941805418630054e-05,-2.164226521493955e-05,2.7927500628410115e-06,0.0003001618967502034,-0.003584175000033794,-0.003279484076722579,-0.0,-0.0,-0.0,-0.0
28,2.5730362092839876e-05,0.0003552297891871935,-0.000722422134659223,2.2386402797804756e-05,-2.5299540203692152e-05,-4.5226242361528325e-05,-2.043366589022978e-05,2.2594459677383077e-06,0.00028304865809627397,-0.0033847115443978266,-0.003097384693580672,-0.0,-0.0,-0.0,-0.0
29,2.44625583391441e-05,0.00033479612329696373,-0.0006803131357452625,2.1705065246417206e-05,-2.4792576471300294e-05,-4.372451016795162e-05,-1.9291862629137967e-05,1.7059872861801346e-06,0.00026689318492692174,-0.0031965916222657154,-0.0029256567637538614,-0.0,-0.0,-0.0,-0.0
30,2.3294028887183364e-05,0.00031550426066782574,-0.0006404829828426889,2.1143018889630986e-05,-2.4432647538815905e-05,-4.24400492252274e-05,-1.8212757325224638e-05,1.126732628285102e-06,0.0002516429958827131,-0.003019175004654875,-0.0027637133440699645,-0.0,-0.0,-0.0,-0.0
31,2.222313274401414e-05,0.0002972915033426011,-0.0006027966049703895,2.0704598068928474e-05,-2.4227291900003833e-05,-4.13782007407925e-05,-1.7192456440048983e-05,5.154966816712557e-07,0.00023724890325968186,-0.0028518564582597507,-0.002610999149412437,-0.0,-0.0,-0.0,-0.0
32,2.1248802237975395e-05,0.0002800990469025521,-0.0005671260896881817,2.0395214646750576e-05,-2.418574430074207e-05,-4.0546381563566206e-05,-1.6227289149158483e-05,-1.3446226641685436e-07,0.00022366485240726022,-0.0026940635954162363,-0.0024669885663306467,-0.0,-0.0,-0.0,-0.0
33,2.0370493884476325e-05,0.0002638717577533936,-0.0005333503162323185,2.0221249694016025e-05,-2.43190924144055e-05,-3.995428221689148e-05,-1.5313865423025567e-05,-8.303779036220724e-07,0.00021084773993642968,-0.0025452548533460586,-0.002331183817344127,-0.0,-0.0,-0.0,-0.0
34,1.958804859140208e-05,0.00024855789233036807,-0.0005013546959862044,2.0189694547821958e-05,-2.4640416793867053e-05,-3.961408510119815e-05,-1.4449217425464551e-05,-1.5797393557449314e-06,0.0001987571705789055,-0.0024049176360397056,-0.0022031133498387145,-0.0,-0.0,-0.0,-0.0
35,1.8901354647779962e-05,0.00023410867490490352,-0.00047103111298512203,2.03072488313114e-05,-2.516486767573436e-05,-3.954069292670188e-05,-1.3631114773957594e-05,-2.389682521354501e-06,0.00018735506877552764,-0.0022725666989479305,-0.002082330614425139,-0.0,-0.0,-0.0,-0.0
36,1.830959053908248e-05,0.00022047756013094592,-0.00044227825946113644,2.057826353874186e-05,-2.5909578152744265e-05,-3.975194255151779e-05,-1.2858742468277002e-05,-3.2655906939385215e-06,0.00017660496974883423,-0.002147742954229898,-0.001968413587362379,-0.0,-0.0,-0.0,-0.0
37,1.7809582005163595e-05,0.00020761881766266893,-0.0004150027745227637,2.100025134928125e-05,-2.689320008324175e-05,-4.026874780679643e-05,-1.2134135006760289e-05,-4.208030314103944e-06,0.00016647062439924238,-0.002030013077726684,-0.001860965787213971,-0.0,-0.0,-0.0,-0.0
38,1.7392302158404165e-05,0.00019548468265590864,-0.0003891220379395581,2.1554298627673622e-05,-2.8134612800036123e-05,-4.1115048408788366e-05,-1.1465186681871795e-05,-5.2061983597375276e-06,0.00015691315550595217,-0.0019189707228366411,-0.0017596203603747593,-0.0,-0.0,-0.0,-0.0
39,1.703549004661746e-05,0.00018401949597403685,-0.00036457039565628317,2.218482224581844e-05,-2.9649861726916864e-05,-4.231730280787239e-05,-1.0871946482382222e-05,-6.224079920244409e-06,0.0001478851757800098,-0.0018142410300996832,-0.0016640505281747965,-0.0,-0.0,-0.0,-0.0
40,1.6688168359743295e-05,0.00017314754949165464,-0.00034131251986430127,2.2757090688093173e-05,-3.144535632549044e-05,-4.390297188176566e-05,-1.0399756813431316e-05,-7.171393697450744e-06,0.00013931855544250466,-0.0017154919624903983,-0.0015739932679596324,-0.0,-0.0,-0.0,-0.0
41,1.623826890122561e-05,0.00016274779267822333,-0.0003193716189299162,2.296838011027732e-05,-3.350321506833408e-05,-4.5896833317662334e-05,-1.0146650734040462e-05,-7.842818532376452e-06,0.00013109893771733538,-0.0016224598319826559,-0.0014893005577677806,-0.0,-0.0,-0.0,-0.0
42,1.544505089733073e-05,0.00015260114194418287,-0.000298888568304195,2.2162497270574184e-05,-3.5750182583622587e-05,-4.8312700799826225e-05,-1.0320453431489683e-05,-7.791112556828513e-06,0.0001230126234808353,-0.0015350043628117227,-0.0014100480351856926,-0.0,-0.0,-0.0,-0.0
43,1.3798180292457944e-05,0.0001422806885126932,-0.00028024538293647814,1.894301327931294e-05,-3.799224736833682e-05,-5.11354841032597e-05,-1.1357750903174508e-05,-6.062530686933454e-06,0.00011463587419454008,-0.0014532250402079338,-0.001336762959421458,-0.0,-0.0,-0.0,-0.0
44,1.0224508283003666e-05,0.0001309229376095187,-0.0002643214434891604,1.0368542425063837e-05,-3.977773320008632e-05,-5.4283028809181164e-05,-1.417145783370838e-05,-6.463400527590904e-07,0.00010510432988330186,-0.0013777002244266768,-0.0012708941688065196,-0.0,-0.0,-0.0,-0.0
45,2.487624870427437e-06,0.00011675147977581033,-0.0002530006671491238,-9.693997407612442e-06,-4.011157097547397e-05,-5.752571032880854e-05,-2.0660587457027575e-05,1.2651249733522247e-05,9.263459778644917e-05,-0.0013098831780414123,-0.0012156539957625407,-0.0,-0.0,-0.0,-0.0
46,-1.3850192420441491e-05,9.609089231878276e-05,-0.0002496868660516307,-5.339286563438567e-05,-3.686512287178114e-05,-6.0317663984820893e-05,-3.4651764457758256e-05,4.212930023419673e-05,7.356859482184365e-05,-0.001250837824305622,-0.00117497726087118,-0.0,-0.0,-0.0,-0.0
47,-4.330863441527369e-05,6.143912786102451e-05,-0.00024949268262808744,-0.00013255983402903562,-2.5665899527062767e-05,-6.143912786102451e-05,-6.143912786102451e-05,9.567308471818077e-05,4.120879897668357e-05,-0.0011565708449778726,-0.0010951317171168482,-0.0,-0.0,-0.0,-0.0
