t,Output (pct),Ricardian Consumption (pct),WH2M Consumption (pct),PH2M Consumption (pct),Inflation (bps),Policy Rate (bps),Real Rate (bps),Markup (pct)
16,0.005005635528435147,0.07185997173069,-0.14665985766763,0.003958962275844112,-0.4186842528355138,-0.8048694464622592,-0.40752943072844044,0.0008548806100125096
17,0.004726452185752244,0.0677846774234,-0.13833030006731,0.00374785322265081,-0.3973400157338666,-0.7621609872641611,-0.3846928520015528,0.0007970335367384422
18,0.004463529486059859,0.06393774890338999,-0.13046589607386,0.0035503341458529712,-0.377468135262612,-0.7221667407527238,-0.36314641629268074,0.0007411987611981301
19,0.004216032340114828,0.060306284740459994,-0.12304014914877,0.0033658759580791095,-0.3590203244600787,-0.6847726063389641,-0.34281695229573395,0.0006870959132531824
20,0.003983184482102824,0.0568781152175,-0.11602803563463,0.003194012319303248,-0.34195565404324996,-0.6498760580408192,-0.3236352885193333,0.0006344376590420421
21,0.0037642668163838312,0.05364176233231,-0.10940592016793001,0.0030343406696944466,-0.3262407695215157,-0.6173861900434783,-0.3055360071671927,0.0005829269648393622
22,0.0035586160883198876,0.05058640226064,-0.10315147571694999,0.0028865238341031726,-0.3118501828762851,-0.58722385541661,-0.2884572088923951,0.0005322540856677344
23,0.0033656238916180037,0.04770183017171,-0.09724360797055,0.0027502922493487063,-0.2987666465242315,-0.5593219059243328,-0.2723402875097516,0.00048209323745187414
24,0.0031847360265349956,0.04497842729662,-0.09166238381908,0.0026254468696211273,-0.2869816184145732,-0.5336255422198115,-0.25712971389254874,0.00043209890906873333
25,0.0030154522237743567,0.04240713015769,-0.08638896368482,0.0025118628055789175,-0.27649582832727687,-0.5100927852196181,-0.24277282857173263,0.00038190177085003173
26,0.0028573262459440267,0.03997940187197,-0.0814055374773,0.0024094937435704252,-0.26731995664789004,-0.48869508110709786,-0.2292196431763995,0.000331104142728582
27,0.002709966367780805,0.03768720544021,-0.07669526397408001,0.0023183771611460344,-0.25947543793071126,-0.46941805418630056,-0.2164226521493955,0.00027927500628410117
28,0.0025730362092839876,0.03552297891871,-0.07224221346592001,0.0022386402797804758,-0.2529954020369215,-0.45226242361528324,-0.2043366589022978,0.00022594459677383077
29,0.0024462558339144102,0.033479612329689996,-0.06803131357452,0.0021705065246417207,-0.24792576471300298,-0.43724510167951625,-0.19291862629137968,0.00017059872861801347
30,0.0023294028887183363,0.03155042606678,-0.06404829828426,0.0021143018889630983,-0.24432647538815905,-0.42440049225227405,-0.1821275732522464,0.00011267326282851019
31,0.002222313274401414,0.02972915033426,-0.060279660497030006,0.002070459806892847,-0.24227291900003833,-0.41378200740792503,-0.17192456440048984,5.1549668167125575e-05
32,0.0021248802237975395,0.02800990469025,-0.056712608968809995,0.0020395214646750574,-0.24185744300742068,-0.40546381563566203,-0.16227289149158483,-1.3446226641685437e-05
33,0.0020370493884476325,0.02638717577533,-0.05333503162323,0.0020221249694016025,-0.243190924144055,-0.39954282216891485,-0.15313865423025566,-8.303779036220724e-05
34,0.001958804859140208,0.024855789233029998,-0.050135469598619996,0.002018969454782196,-0.24640416793867054,-0.39614085101198154,-0.14449217425464553,-0.00015797393557449315
35,0.0018901354647779959,0.023410867490489998,-0.047103111298510005,0.00203072488313114,-0.2516486767573436,-0.3954069292670188,-0.13631114773957595,-0.0002389682521354501
36,0.001830959053908248,0.02204775601309,-0.04422782594611,0.002057826353874186,-0.25909578152744267,-0.39751942551517794,-0.12858742468277,-0.00032655906939385213
37,0.0017809582005163594,0.02076188176626,-0.04150027745227,0.0021000251349281253,-0.26893200083241753,-0.4026874780679643,-0.12134135006760287,-0.00042080303141039444
38,0.0017392302158404165,0.019548468265589997,-0.03891220379395,0.0021554298627673627,-0.28134612800036124,-0.4111504840878837,-0.11465186681871796,-0.0005206198359737528
39,0.001703549004661746,0.0184019495974,-0.03645703956562,0.002218482224581844,-0.29649861726916865,-0.4231730280787239,-0.10871946482382222,-0.000622407992024441
40,0.0016688168359743295,0.01731475494916,-0.03413125198643,0.0022757090688093175,-0.31445356325490437,-0.43902971881765657,-0.10399756813431316,-0.0007171393697450744
41,0.001623826890122561,0.01627477926782,-0.03193716189299,0.002296838011027732,-0.3350321506833408,-0.45896833317662333,-0.10146650734040462,-0.0007842818532376452
42,0.0015445050897330732,0.015260114194410002,-0.02988885683041,0.002216249727057418,-0.35750182583622586,-0.48312700799826225,-0.10320453431489683,-0.0007791112556828513
43,0.0013798180292457943,0.014228068851259998,-0.028024538293640003,0.001894301327931294,-0.3799224736833682,-0.511354841032597,-0.11357750903174507,-0.0006062530686933453
44,0.0010224508283003665,0.01309229376095,-0.026432144348910003,0.0010368542425063835,-0.3977773320008632,-0.5428302880918117,-0.14171457833708379,-6.463400527590904e-05
45,0.0002487624870427437,0.01167514797758,-0.02530006671491,-0.0009693997407612441,-0.4011157097547397,-0.5752571032880854,-0.20660587457027574,0.0012651249733522248
46,-0.0013850192420441492,0.009609089231878276,-0.02496868660516,-0.005339286563438567,-0.3686512287178114,-0.6031766398482089,-0.34651764457758255,0.0042129300234196735
47,-0.004330863441527369,0.006143912786102451,-0.0249492682628,-0.0132559834029,-0.2566589952706277,-0.6143912786102451,-0.6143912786102451,0.009567308471818076
