t,Y,cR,cW,cP,pi,R,r,X,q,hW,bW,A,j,u,TP
24,0.0006831736339234884,-0.0033722993155589315,-0.0020607093081625393,0.034023649130607396,5.1004955318998294e-05,0.00015384263580655672,9.772126277065572e-05,1.8235333839809814e-05,-0.0032533802516603923,-0.002086022924812967,-0.005327803398330647,-0.0,-0.0,-0.0,0.7226104268781655
25,0.000695211197633431,-0.003451384550340367,-0.002071151755215802,0.034675679972346274,5.352926639725138e-05,0.00015969579318092018,0.0001009515270736971,1.8563702704560656e-05,-0.003327483814839896,-0.001988329879354274,-0.005304343214490407,-0.0,-0.0,-0.0,0.7364799055342571
26,0.0007065558373609127,-0.0035272395208187615,-0.002079700376722717,0.0352949533654396,5.6152159468573594e-05,0.00016554977533534266,0.00010406855626784085,1.8948066809115344e-05,-0.0033984864121553073,-0.0018873617161233704,-0.005274511048230285,-0.0,-0.0,-0.0,0.7496559102575442
27,0.000717240022653407,-0.003599977462103012,-0.0020865628415134775,0.03588309401718712,5.8889112428852264e-05,0.0001714252870822426,0.00010707513774255423,1.9397252659584458e-05,-0.0034665053799319456,-0.0017836878450643422,-0.005238992940855642,-0.0,-0.0,-0.0,0.762173114744667
28,0.0007272936458874953,-0.003669708821912549,-0.0020919325335479037,0.03644164308874422,6.175804270103885e-05,0.000177345686970014,0.00010997398649224821,1.992111446874897e-05,-0.0035316545621416175,-0.0016778252724363183,-0.005198419103842562,-0.0,-0.0,-0.0,0.7740644590074336
29,0.0007367440539301166,-0.003736541332972392,-0.002095989668484915,0.036972062085130236,6.47795938391163e-05,0.00018333730005853729,0.00011276772902559438,2.0530686790613846e-05,-0.003594044449006867,-0.0015702428248245454,-0.005153368276177531,-0.0,-0.0,-0.0,0.7853612360570619
30,0.0007456160651124178,-0.003800580101498889,-0.0020989023447892346,0.0374757365161377,6.797746439429338e-05,0.00018942977890783286,0.00011545888887078614,2.123835269360909e-05,-0.003653782326420262,-0.0014613651305126403,-0.005104371850161605,-0.0,-0.0,-0.0,0.7960931742542088
31,0.0007539319732149758,-0.0038619277101801944,-0.002100827531892474,0.037953979342238715,7.13787833983973e-05,0.00019565651864514368,0.00011804987586490378,2.2058024890861295e-05,-0.003710972434871049,-0.0013515763795585436,-0.005051917785663765,-0.0,-0.0,-0.0,0.8062885155414983
32,0.0007617115431063951,-0.003920684331867382,-0.002101911994943694,0.03840803422720377,7.501453614159042e-05,0.00020205513245066407,0.0001205429840713341,2.3005331675778565e-05,-0.0037657161343331884,-0.001241223880903967,-0.004996454327534926,-0.0,-0.0,-0.0,0.8159740897644233
33,0.0007689720090359768,-0.003976947845348139,-0.0021022931497068653,0.03883907863616615,7.892004174068049e-05,0.00020866799394100836,0.00012294040872500744,2.4097787529036812e-05,-0.003818112066652496,-0.00113062142912914,-0.0049383935302129735,-0.0,-0.0,-0.0,0.8251753852762022
34,0.0007757281000821916,-0.0040308139341752236,-0.002102099828915409,0.039248226854509266,8.313547857735152e-05,0.00021554285225307027,0.0001252443042066838,2.5354902870959926e-05,-0.003868256296451697,-0.0010200524819220227,-0.004878114571389339,-0.0,-0.0,-0.0,0.833916616012392
35,0.0007819921456699064,-0.004082376127520632,-0.002101452916056729,0.039636533080543886,8.770644140773713e-05,0.0002227335231246296,0.00012745692924800262,2.6798134045912025e-05,-0.003916242389353504,-0.0009097731254553682,-0.004815966790308244,-0.0,-0.0,-0.0,0.8422207852117723
36,0.0007877743735768852,-0.00413172569582472,-0.002100465749923831,0.040004994907902075,9.268448723797758e-05,0.00023030065280014374,0.00012958097602092995,2.8450462850841754e-05,-0.003962161339697744,-0.0008000147550854687,-0.004752272289439045,-0.0,-0.0,-0.0,0.8501097459511837
37,0.0007930836371777413,-0.004178951217355882,-0.002099244093737324,0.0403545578544641,9.812757014056435e-05,0.00023831253669888438,0.00013162028490944864,3.0335161437798957e-05,-0.004006101162425517,-0.0006909862948181381,-0.004687327735901408,-0.0,-0.0,-0.0,0.8576042586536244
38,0.0007979290680791846,-0.004224137429998525,-0.002097885234547679,0.04068612230628655,0.0001041001451507863,0.0002468459421496424,0.0001335813658457116,3.247281131186132e-05,-0.004048145760266693,-0.0005828755618900492,-0.004621404576536742,-0.0,-0.0,-0.0,0.8647240457209432
39,0.000802323691149645,-0.004267362561704905,-0.0020964753035221336,0.04100055572913728,0.00011067246966528138,0.0002559868146830283,0.000135476603541336,3.4874629591864054e-05,-0.004088372252893852,-0.00047584892978312524,-0.004554745999158007,-0.0,-0.0,-0.0,0.8714878434348959
40,0.0008062921661500348,-0.004308692455715661,-0.002095082918014191,0.04129871609374092,0.00011791810450304302,0.00026583059985432647,0.0001373309748703026,3.7528039193755e-05,-0.004126845069926417,-0.00037004749818312076,-0.0044875571348901,-0.0,-0.0,-0.0,0.8779134512631511
41,0.0008098871689133913,-0.00434816797839745,-0.0020937451845862796,0.04158149890705477,0.00012590751834537468,0.0002764816028924204,0.0001391960876704151,4.036600950202234e-05,-0.004163603265929548,-0.00026557600887031145,-0.004419981166534362,-0.0,-0.0,-0.0,0.8840177786999935
42,0.0008132238183923429,-0.004385778388279127,-0.002092437807480249,0.04184993367225309,0.00013469340858335616,0.00028805016066085304,0.00014117947702439862,4.3202506157626714e-05,-0.0041986336740865065,-0.00016247664310657444,-0.0043520460285511224,-0.0,-0.0,-0.0,0.8898168897649938
43,0.0008165517479699687,-0.00442140540880682,-0.002091012106481019,0.04210538357332872,0.0001442785769978053,0.00030064504784775353,0.0001435056906260827,4.559725196935551e-05,-0.004231814512513021,-6.06713092743527e-05,-0.004283549790422916,-0.0,-0.0,-0.0,0.8953260452767441
44,0.0008204056040735815,-0.004454706215732828,-0.0020890632453489486,0.04234996031881296,0.00015454725058302178,0.00031435571812459776,0.0001466435737451867,4.6573230189632176e-05,-0.004262797394615352,4.016126460416677e-05,-0.0042138188742616,-0.0,-0.0,-0.0,0.9005597430129069
45,0.0008259179223718567,-0.004484869139539733,-0.002085657880122794,0.042587384442186876,0.000165120037740762,0.0003292130989515452,0.0001515708635327508,4.40294311742951e-05,-0.004290761169213452,0.00014083387667077944,-0.0041412152173779405,-0.0,-0.0,-0.0,0.9055317558622614
46,0.0008354488628011162,-0.004510104773559074,-0.002078823552133007,0.04282471260804921,0.00017505012878014543,0.0003451053786328891,0.00016031268558856646,3.356135745029912e-05,-0.004313902834608841,0.00024294981233839618,-0.004062402229086389,-0.0,-0.0,-0.0,0.9102551680691483
47,0.0008534443573598172,-0.004526598585522599,-0.002065639242554384,0.043074639852169846,0.00018220058640567365,0.00036159919059641413,0.00017680649755209152,6.907067096689499e-06,-0.0043284639599290905,0.00034506907515167507,-0.003976776778236635,-0.0,-0.0,-0.0,0.9147424096656909
