t,Y,cR,cW,cP,pi,R,r,X,q,hW,bW,A,j,u,TP
10,2.8345983773612856e-05,-0.0001430362651207152,-7.786807747357447e-05,0.0014101585934675187,1.7715796298472574e-06,7.080623359776633e-06,5.256689598148325e-06,1.6796122043195222e-07,-0.00013736607539827723,-7.213960008810518e-05,-0.00020942290304564915,-0.0,-0.0,-0.0,0.02993684696191893
11,2.6791036893796244e-05,-0.00013777957552256687,-7.01215931930638e-05,0.0013395301537022428,1.8239337616282594e-06,6.976954133190643e-06,5.105761393803345e-06,1.4826369334461785e-07,-0.000132026613359396,-5.0116214314528654e-05,-0.00018208757824809399,-0.0,-0.0,-0.0,0.028440004613822983
12,2.5320775150342383e-05,-0.00013267381412876352,-6.299305987035761e-05,0.0012724368518425902,1.8711927393872992e-06,6.870727508788786e-06,4.9563068315638234e-06,1.3259289933643157e-07,-0.00012686560253976218,-3.020215431571577e-05,-0.00015703738861409146,-0.0,-0.0,-0.0,0.027018004383131834
13,2.393043286441703e-05,-0.0001277175072971997,-5.643946866968018e-05,0.0012087012867525485,1.91442067722481e-06,6.763267756571621e-06,4.808597229234471e-06,1.2089153082697876e-07,-0.00012187892746681205,-1.2233613219428628e-05,-0.00013410461762352447,-0.0,-0.0,-0.0,0.02566710416397524
14,2.2615492068197166e-05,-0.00012290891006796524,-5.0420703398284167e-05,0.0011481549046381055,1.954670527337231e-06,6.655862746684515e-06,4.662868986108834e-06,1.131383879078243e-07,-0.00011706240717486156,3.94178842946623e-06,-0.00011313289633439393,-0.0,-0.0,-0.0,0.024383748955776476
15,2.1371666133158293e-05,-0.0001182460410818564,-4.489935881179016e-05,0.001090637548365571,1.9929937605755687e-06,6.549777348721215e-06,4.519326474782957e-06,1.0935130417552746e-07,-0.00011241181577775136,1.8465753261287655e-05,-9.397647430511101e-05,-0.0,-0.0,-0.0,0.023164561507987652
16,2.0194884379195683e-05,-0.00011372671460707344,-3.98405701279613e-05,0.001035997029612583,2.0304508739383764e-06,6.44626708194454e-06,4.378144433650977e-06,1.0958977545576342e-07,-0.0001079229010916158,3.1470008918852915e-05,-7.64995372631555e-05,-0.0,-0.0,-0.0,0.02200633343258827
17,1.908127724367535e-05,-0.00010934857017342247,-3.521185336982712e-05,0.0009840887216989174,2.06812264829374e-06,6.346592362666964e-06,4.23947009393404e-06,1.1395799464827987e-07,-0.00010359140174835732,4.307696404116363e-05,-6.057556906092051e-05,-0.0,-0.0,-0.0,0.020906016760958854
18,1.8027161876983506e-05,-0.00010510910007948842,-3.098295594749954e-05,0.0009347751717829016,2.1071222687329347e-06,6.252033551566704e-06,4.103425085905207e-06,1.2260846073375188e-07,-9.941306300815004e-05,5.340032107399499e-05,-4.608675544959132e-05,-0.0,-0.0,-0.0,0.019860715922910912
19,1.7029028076075057e-05,-0.00010100567499358322,-2.712571688754411e-05,0.0008879257312797278,2.148608465661627e-06,6.163906995874224e-06,3.9701071367807695e-06,1.357462499846207e-07,-9.538365143768093e-05,6.254564839519771e-05,-3.292342735304145e-05,-0.0,-0.0,-0.0,0.018867680126765367
20,1.6083524472109316e-05,-9.703556785680244e-05,-2.361393615108411e-05,0.0008434162034154033,2.193799859093504e-06,6.083582278197106e-06,3.8395915663603775e-06,1.5363403291167855e-07,-9.149896861145829e-05,7.061091406074686e-05,-2.0983541495954625e-05,-0.0,-0.0,-0.0,0.017924296120427098
21,1.518744488574169e-05,-9.319597629044206e-05,-2.042325251763183e-05,0.0008011285068658273,2.243990711836691e-06,6.012500907378855e-06,3.7119325844855545e-06,1.765979290445189e-07,-8.775486399034094e-05,7.768698330338669e-05,-1.0172196411167832e-05,-0.0,-0.0,-0.0,0.01702808131440574
22,1.433771475958801e-05,-8.948404370595651e-05,-1.753102954619841e-05,0.0007609503544599632,2.300568322893226e-06,5.952196714609132e-06,3.5871643934579438e-06,2.0503430283304445e-07,-8.414724713006905e-05,8.385808174776242e-05,-4.011820176089389e-07,-0.0,-0.0,-0.0,0.016176677248685455
23,1.3531377573220251e-05,-8.589687931249857e-05,-1.4916249157255919e-05,0.0007227749459532908,2.3650323211511607e-06,5.904318249934202e-06,3.4653020986352238e-06,2.394176150937114e-07,-8.067209937191345e-05,8.920222614381574e-05,8.411438878576415e-06,-0.0,-0.0,-0.0,0.015367843386251181
24,1.2765581143031772e-05,-8.243157721386335e-05,-1.2559412407641338e-05,0.0006865006739062193,2.4390161512992433e-06,5.870653510680389e-06,3.346342432427614e-06,2.803094531839988e-07,-7.73254851666042e-05,9.379162426378895e-05,1.6341718651857717e-05,-0.0,-0.0,-0.0,0.014599451216938621
25,1.2037563709942613e-05,-7.908523478143573e-05,-1.0442447053262857e-05,0.0006520308417388778,2.5243110782530882e-06,5.853157374363469e-06,3.2302643030413755e-06,3.2836886475083995e-07,-7.410356317950385e-05,9.769304545869295e-05,2.3460183840240237e-05,-0.0,-0.0,-0.0,0.013869478656091689
26,1.1344639727481599e-05,-7.585497047839435e-05,-8.548621506915e-06,0.0006192733930933226,2.622893071322215e-06,5.853982154422493e-06,3.117029194143753e-06,3.843641045546899e-07,-7.10025973154114e-05,0.00010096816323090355,2.9832166260121605e-05,-0.0,-0.0,-0.0,0.013176004723287104
27,1.0684185292494264e-05,-7.27379412842506e-05,-6.862464790760231e-06,0.0005881406517475184,2.7369529602786694e-06,5.875511746899918e-06,3.006581474713384e-06,4.491858504691123e-07,-6.801896777663818e-05,0.00010367387105902806,3.5518107374642876e-05,-0.0,-0.0,-0.0,0.012517204487122747
28,1.0053623234088376e-05,-6.973135980953721e-05,-5.369692034426121e-06,0.0005585490715571071,2.8689302721865856e-06,5.920399887771405e-06,2.898848749693985e-06,5.238618091645123e-07,-6.51491822096718e-05,0.00010586257262802392,4.0573837013079993e-05,-0.0,-0.0,-0.0,0.011891344262766609
29,9.45040804262124e-06,-6.683251105984323e-05,-4.057134937011068e-06,0.0005304189963860152,3.02155113807746e-06,5.991613088523275e-06,2.7937425333461735e-06,6.09572321864876e-07,-6.238988686524962e-05,0.00010758244761177298,4.5050827665031946e-05,-0.0,-0.0,-0.0,0.011296777049628278
30,8.872011182301208e-06,-6.403876852649707e-05,-2.912676304319516e-06,0.0005036744310074624,3.1978705551770696e-06,6.092478849295566e-06,2.6911598451917637e-06,7.076659029952423e-07,-5.9737877413394674e-05,0.0001088776943119052,4.89964260159259e-05,-0.0,-0.0,-0.0,0.010731938197146863
31,8.315908102558066e-06,-6.13476086813053e-05,-1.9251871032394318e-06,0.0004782428261010158,3.4013190041039105e-06,6.2267397373108235e-06,2.5909869941176337e-06,8.196721972522071e-07,-5.719010845078746e-05,0.00010978875095409674,5.245406449784006e-05,-0.0,-0.0,-0.0,0.010195341287289519
32,7.77956989141931e-06,-5.8756621687187676e-05,-1.0844630512199913e-06,0.0004540548849650539,3.63575274319312e-06,6.3986138055204e-06,2.493108206430319e-06,9.473067849172707e-07,-5.4743699462139014e-05,0.0001103524986545767,5.5463458128838936e-05,-0.0,-0.0,-0.0,0.009685574222925042
33,7.26046592958166e-06,-5.626351348075736e-05,-3.811547631713215e-07,0.00043104440896237764,3.905505599090066e-06,6.612861490344289e-06,2.3974246536733333e-06,1.0924558532582457e-06,-5.239593231930746e-05,0.00011060245177482694,5.806079732195246e-05,-0.0,-0.0,-0.0,0.00920129551177879
34,6.756091046214879e-06,-5.386608882708402e-05,1.9332079145610344e-07,0.0004091482183431171,4.2154368366710344e-06,6.87485831206192e-06,2.303895481676363e-06,1.257115341923114e-06,-5.014422979920099e-05,0.00011056894720711738,6.027895882363463e-05,-0.0,-0.0,-0.0,0.00874123073618985
