horizon,term,estimate,ci_low,ci_high,se,shock_sd,estimate_1sd,ci_low_1sd,ci_high_1sd,nobs,se_method,response_type,spec,shock_series
18,eps_tvp_pos_x_ph2m,0.3809081995471858,-4.653240744748338,5.415057143842709,3.060545243545885,0.01413041042509374,0.005382389193885241,-0.06575220153006286,0.07651697991783335,2025,driscoll_kraay,cumulative,twfe_directional_dummies,Time-Varying Param
19,eps_tvp_pos_x_ph2m,-0.10671012747695247,-5.04603540805775,4.832615153103846,3.0028965493636135,0.01413041042509374,-0.001507857897763411,-0.07130255133541137,0.06828683553988456,1998,driscoll_kraay,cumulative,twfe_directional_dummies,Time-Varying Param
20,eps_tvp_pos_x_ph2m,-0.38813955723864507,-5.239697386424447,4.463418271947156,2.9495377276685413,0.01413041042509374,-0.005484571245996219,-0.07403907457346842,0.06306993208147597,1971,driscoll_kraay,cumulative,twfe_directional_dummies,Time-Varying Param
21,eps_tvp_pos_x_ph2m,-0.45780677945429565,-4.581357242823436,3.6657436839148447,2.5069406759382113,0.01413041042509374,-0.006468997689079569,-0.06473645814507098,0.05179846276691185,1944,driscoll_kraay,cumulative,twfe_directional_dummies,Time-Varying Param
22,eps_tvp_pos_x_ph2m,-0.07329989202214207,-6.514166292788097,6.367566508743813,3.9157687317766308,0.01413041042509374,-0.0010357575583879218,-0.09204784329440717,0.08997632817763132,1917,driscoll_kraay,cumulative,twfe_directional_dummies,Time-Varying Param
23,eps_tvp_pos_x_ph2m,0.5389293911427904,-3.7370137495274935,4.814872531813075,2.599588845236767,0.01413041042509374,0.007615293486993507,-0.05280553804504194,0.06803612501902896,1890,driscoll_kraay,cumulative,twfe_directional_dummies,Time-Varying Param
24,eps_tvp_pos_x_ph2m,-0.9314687964672898,-4.899238937001432,3.0363013440668527,2.412232964393253,0.01413041042509374,-0.013162036392250909,-0.06922825695043021,0.04290418416592839,1863,driscoll_kraay,cumulative,twfe_directional_dummies,Time-Varying Param
25,eps_tvp_pos_x_ph2m,-1.0160396970528445,-5.395670054339089,3.3635906602334003,2.662626196960356,0.01413041042509374,-0.014357057927544598,-0.07624303238619916,0.04752891653110997,1836,driscoll_kraay,cumulative,twfe_directional_dummies,Time-Varying Param
26,eps_tvp_pos_x_ph2m,0.26087763434827005,-4.863373600740361,5.3851288694369,3.115323546804455,0.01413041042509374,0.0036863080440685874,-0.06872146502902728,0.07609408111716444,1809,driscoll_kraay,cumulative,twfe_directional_dummies,Time-Varying Param
27,eps_tvp_pos_x_ph2m,3.27724893448364,-0.5329115252233252,7.087409394190605,2.3164130821589373,0.01413041042509374,0.04630887250945497,-0.007530258571668279,0.10014800359057822,1782,driscoll_kraay,cumulative,twfe_directional_dummies,Time-Varying Param
28,eps_tvp_pos_x_ph2m,7.235869612157613,2.6839385705203345,11.787800653794891,2.76737757515464,0.01413041042509374,0.10224580740225092,0.03792515355719172,0.16656646124731012,1755,driscoll_kraay,cumulative,twfe_directional_dummies,Time-Varying Param
29,eps_tvp_pos_x_ph2m,2.896963989286694,-1.956613166075634,7.750541144649022,2.9507653908134186,0.01413041042509374,0.040935290155337846,-0.027647747079790806,0.1095183273904665,1728,driscoll_kraay,cumulative,twfe_directional_dummies,Time-Varying Param
30,eps_tvp_pos_x_ph2m,3.601717500121842,-2.3397501439190314,9.543185144162715,3.612155845777374,0.01413041042509374,0.05089374651196424,-0.033061629825748055,0.1348491228496765,1701,driscoll_kraay,cumulative,twfe_directional_dummies,Time-Varying Param
31,eps_tvp_pos_x_ph2m,3.513970243848893,-2.353641659143324,9.38158214684111,3.567254743430936,0.01413041042509374,0.04965384176715159,-0.03325792263729375,0.13256560617159693,1674,driscoll_kraay,cumulative,twfe_directional_dummies,Time-Varying Param
32,eps_tvp_pos_x_ph2m,2.6313389088799006,-2.9118127046265716,8.174490522386373,3.3699968937540077,0.01413041042509374,0.03718189874999133,-0.041145108597375704,0.11550890609735837,1647,driscoll_kraay,cumulative,twfe_directional_dummies,Time-Varying Param
33,eps_tvp_pos_x_ph2m,4.260777625393679,-1.6799363999226102,10.201491650709968,3.6116976781251062,0.01413041042509374,0.06020653657686899,-0.0237381908189609,0.14415126397269887,1620,driscoll_kraay,cumulative,twfe_directional_dummies,Time-Varying Param
34,eps_tvp_pos_x_ph2m,1.0994521427845019,-3.1459931482395946,5.344897433808598,2.5810474691857497,0.01413041042509374,0.015535710020293775,-0.04445417437915824,0.0755255944197458,1593,driscoll_kraay,cumulative,twfe_directional_dummies,Time-Varying Param
