uf_code,year,month,uf_abbrev,state,date,consumption_index,share_PH2M,share_WH2M,share_Ricardian,unemployment_rate,labour_force_participation_rate,formal_share,informal_share,conta_propria_share,population,log_consumption,t_index,lag1_log_consumption,lag2_log_consumption,lag1_share_PH2M,lag1_share_WH2M,lag1_share_Ricardian,mp_shock_x_share_PH2M,mp_shock_x_share_WH2M,uf_code_str,date_str,state_name,macro_region,num_families_BF_old,num_families_BF_new,total_value_BF_old,total_value_BF_new,avg_benefit_BF_old,avg_benefit_BF_new,ipca_index,vbp_non_tradable,vbp_tradable,ratio_T_NT,share_tradable,vl_imports,vl_exports,credit_pf,log_credit_pf,mp_shock_di,eps_rr,eps_sb,eps_tvp,mean_income,mean_income_sa,mean_income_trend
14,2016,9,RR,Roraima,2016-09-01,83.36766,0.243540955452435,0.285022141435197,0.471436903112368,0.0838341462658829,0.710345742340201,0.450559890544116,0.434905198194993,0.239442907956703,540824.977893003,4.42326046437838,24201,4.41791113983047,4.39817701238335,0.23083393187268,0.270931450789468,0.498234617337852,0,0,14,2016-09,Roraima,North,48042,,9966791,,"207,46",,4740.53,12181.674189271,2295.95001029875,0.188475736144782,0.158586103538105,340945,625414,3076028839.87,21.8469052643163,0,0,0,0,2884.55472074642,3012.64658331364,3122.9368554122
14,2016,10,RR,Roraima,2016-10-01,82.66734,0.236724948231116,0.268967114485743,0.494307937283141,0.100234338515843,0.745222720891498,0.46407524792979,0.386039400074869,0.192371308523328,493965.704441311,4.41482460262499,24202,4.42326046437838,4.41791113983047,0.243540955452435,0.285022141435197,0.471436903112368,0,0,14,2016-10,Roraima,North,47186,,9870217,,"209,18",,4752.86,12181.674189271,2295.95001029875,0.188475736144782,0.158586103538105,512705,7591979,3081869748.9,21.8488023110759,0,-0.0762419353671109,-0.0960215647141437,-0.051416233951873,2956.18246195149,3118.0217116382,3136.23591185424
14,2016,11,RR,Roraima,2016-11-01,80.88003,0.233076349234425,0.271881319115994,0.49504233164958,0.102190478059189,0.734646099489066,0.481605327904635,0.384697378501534,0.238797800979925,489144.188770507,4.39296694563203,24203,4.41482460262499,4.42326046437838,0.236724948231116,0.268967114485743,0.494307937283141,0,0,14,2016-11,Roraima,North,45885,,9730225,,"212,06",,4761.42,12181.674189271,2295.95001029875,0.188475736144782,0.158586103538105,1076988,2093688,3096129554.53001,21.8534186375768,0,0.149156063788958,0.122126956969621,0.0566676444639611,3482.0681373155,3273.00301065675,3137.1696146924
14,2016,12,RR,Roraima,2016-12-01,81.69358,0.24230996456529,0.278601115199719,0.479088920234991,0.0777608329027958,0.711127538845883,0.458916759923823,0.42473149697016,0.224432726822199,524111.894880081,4.40297541860702,24204,4.39296694563203,4.41482460262499,0.233076349234425,0.271881319115994,0.49504233164958,0,0,14,2016-12,Roraima,North,47224,,9824455,,"208,04",,4775.7,12181.674189271,2295.95001029875,0.188475736144782,0.158586103538105,331015,440501,3097688884.11,21.8539221491435,0,0,0,0,2952.00689244131,3135.45018958819,3138.10331753057
14,2017,1,RR,Roraima,2017-01-01,67.99859,0.23860589747091,0.262436978158059,0.498957124371031,0.104803636004782,0.742814232538272,0.427543815505755,0.407494634123816,0.208201593104249,490915.126331559,4.21948696966701,24205,4.40297541860702,4.39296694563203,0.24230996456529,0.278601115199719,0.479088920234991,-0.054419796193796,-0.0625703360393491,14,2017-01,Roraima,North,47657,,9694704,,"203,43",,4793.85,13305.2615824061,2491.36834785137,0.187246852113435,0.15771518095004,647799,239636,3124697610.95,21.8626033509568,-0.224587529,-0.215680949905178,-0.259053848395313,-0.0790630627217254,3027.17356840086,3083.67063748491,3139.03702036873
14,2017,2,RR,Roraima,2017-02-01,71.85345,0.238341693846222,0.263915501224144,0.497742804929634,0.114366491258184,0.741064196969764,0.437551557933822,0.41762644472722,0.226300058696736,503420.921249415,4.27462862807373,24206,4.21948696966701,4.40297541860702,0.23860589747091,0.262436978158059,0.498957124371031,0,0,14,2017-02,Roraima,North,48173,,9821827,,"203,89",,4809.67,13305.2615824061,2491.36834785137,0.187246852113435,0.15771518095004,490871,1498158,3128820690.5,21.8639219943024,0,-0.0068152591590879,0.103345779036199,0.0888860590860888,3420.49520768894,3232.29163871791,3134.10765710174
14,2017,3,RR,Roraima,2017-03-01,72.63344,0.247547752246584,0.262377352467088,0.490074895286328,0.0953247832077487,0.721161917683449,0.452330859893887,0.423389568704797,0.232475182542097,523974.252764159,4.28542542184495,24207,4.27462862807373,4.21948696966701,0.238341693846222,0.263915501224144,0.497742804929634,0,0,14,2017-03,Roraima,North,47943,,9729963,,"202,95",,4821.69,13305.2615824061,2491.36834785137,0.187246852113435,0.15771518095004,675906,1702085,3168663354.1,21.8765756810562,0,0,0,0,3035.76006865541,3123.08709321104,3129.17829383475
14,2017,4,RR,Roraima,2017-04-01,71.46038,0.236844703909875,0.247765667525154,0.515389628564972,0.128794735715251,0.746778656380971,0.447300556173398,0.378088769603676,0.181234198935945,497539.102835607,4.26914317024136,24208,4.28542542184495,4.27462862807373,0.247547752246584,0.262377352467088,0.490074895286328,0,0,14,2017-04,Roraima,North,47472,,9692696,,"204,18",,4828.44,13305.2615824061,2491.36834785137,0.187246852113435,0.15771518095004,335943,1036774,3176861493.76,21.8791595947332,0,-0.25903686157296,-0.167173274941346,-0.0608323528949803,3122.83556137348,3272.0898318806,3124.24893056775
14,2017,5,RR,Roraima,2017-05-01,72.18264,0.237358092096777,0.27440748663291,0.488234421270313,0.0993417172792416,0.734860891227437,0.428005528471929,0.439516565103591,0.234433881397196,476159.392843112,4.27919957377438,24209,4.26914317024136,4.28542542184495,0.236844703909875,0.247765667525154,0.515389628564972,0,0,14,2017-05,Roraima,North,46874,,9596459,,"204,73",,4843.41,13305.2615824061,2491.36834785137,0.187246852113435,0.15771518095004,598633,1888316,3224209522.91,21.8939536479748,0,-0.138689199784285,-0.0276777634454724,-0.014651323944909,3426.23676964652,3252.19009038914,3120.88918775174
14,2017,6,RR,Roraima,2017-06-01,75.83962,0.242019780308807,0.283563040902241,0.474417178788952,0.103890190421266,0.717163629687243,0.424669762872164,0.449336529297007,0.244128731768281,542644.489611509,4.32862084738569,24210,4.27919957377438,4.26914317024136,0.237358092096777,0.27440748663291,0.488234421270313,0,0,14,2017-06,Roraima,North,46818,,9558937,,"204,17",,4832.27,13305.2615824061,2491.36834785137,0.187246852113435,0.15771518095004,1195396,1882951,3230288448.9,21.8958372732587,0,0,0,0,2629.10784153777,2731.46893884717,3117.52944493573
