uf_code,year,month,ref_month_yyyymm,share_PH2M,share_WH2M,share_Ricardian,share_H2M,total_weight,n_obs,n_unmatched
32,2012,3,201203,0.189232879678307,0.273443775135674,0.537323345186018,0.462676654813982,2792230.66916798,4805,1812
33,2012,3,201203,0.195029512827274,0.253836403782166,0.55113408339056,0.44886591660944,13027759.922801,9248,3260
35,2012,3,201203,0.198852326249116,0.252659494877328,0.548488178873556,0.451511821126444,34445956.4075716,10765,3741
41,2012,3,201203,0.19073295276966,0.293477333606055,0.515789713624286,0.484210286375715,8047380.43278563,7346,3501
42,2012,3,201203,0.188914635485119,0.293490394775595,0.517594969739286,0.482405030260715,5199722.29192951,8070,3747
43,2012,3,201203,0.191333049340751,0.277952001422448,0.530714949236801,0.469285050763199,8504348.23622237,7722,3563
50,2012,3,201203,0.219126516684869,0.225922752914667,0.554950730400464,0.445049269599536,1804739.70458868,2923,1094
51,2012,3,201203,0.197188699336277,0.244948046397019,0.557863254266704,0.442136745733296,2229448.56008613,3178,1285
52,2012,3,201203,0.212234150085418,0.254130600994578,0.533635248920004,0.466364751079996,4714792.92356186,4191,1516
53,2012,3,201203,0.197332850909717,0.224827896374904,0.577839252715379,0.422160747284621,1997731.85582209,2149,901
11,2012,4,201204,0.230761632795644,0.291131379618473,0.478106987585883,0.521893012414117,1206905.73268173,2574,1089
12,2012,4,201204,0.244498411998076,0.277738069931111,0.477763518070813,0.522236481929187,483500.915496866,2346,1041
13,2012,4,201204,0.24057508331192,0.284075791185428,0.475349125502651,0.524650874497349,2456656.86660635,3666,1666
14,2012,4,201204,0.226897041280731,0.309949733128545,0.463153225590723,0.536846774409277,308168.307986283,1282,577
15,2012,4,201204,0.254095421850442,0.294084066256247,0.45182051189331,0.54817948810669,5616623.53610514,4731,2073
16,2012,4,201204,0.222712519854868,0.302519793847966,0.474767686297166,0.525232313702834,483220.447191994,1061,435
17,2012,4,201204,0.226653371639908,0.304474155506004,0.468872472854088,0.531127527145912,990269.970450244,2063,832
21,2012,4,201204,0.231140067155152,0.266230189622774,0.502629743222074,0.497370256777926,4536178.73167932,8313,3795
22,2012,4,201204,0.253456844228698,0.280193079826356,0.466350075944946,0.533649924055054,2421578.94167647,3502,1390
23,2012,4,201204,0.222299588005842,0.266013299855378,0.51168711213878,0.48831288786122,6650133.25704367,7450,3097
