bin_key,p_ph2m,p_wh2m,p_ric,weighted_n,raw_n,small_bin_flag
Central_West|15-24|female|secondary|Q3|informal,0.3468479187230413,0.2713615285533119,0.38179055272364665,90455.94967755,106.0,0.0
Central_West|15-24|female|secondary|Q3|self_employed,0.1529615819957971,0.7713789898489674,0.07565942815523577,10192.40288982,12.0,0.0
Central_West|15-24|female|secondary|Q3|unemployed,0.4082032637835123,0.22682614273845678,0.36497059347803096,11031.07472842,10.0,0.0
Central_West|15-24|female|secondary|Q4|formal,2.3385737414206755e-05,2.3385737414206755e-05,0.9999532285251717,4275.81061515,3.0,0.0
Central_West|15-24|female|secondary|Q4|informal,0.26529710422005975,0.03593637037547435,0.6987665254044656,65920.92050052,74.0,0.0
Central_West|15-24|female|secondary|Q4|self_employed,0.9998222533615736,8.887331921317517e-05,8.887331921317517e-05,1124.89708823,1.0,0.0
Central_West|15-24|female|secondary|Q4|unemployed,0.9998202721614701,8.986391926493746e-05,8.986391926493746e-05,1112.49366422,1.0,0.0
Central_West|15-24|female|secondary|Q5|formal,6.678214824868874e-05,6.678214824868874e-05,0.9998664357035026,1497.1061575200001,3.0,0.0
Central_West|15-24|female|secondary|Q5|informal,0.29161295628147027,2.9351373250962706e-06,0.7083841085812047,34069.65616354,36.0,0.0
Central_West|15-24|female|secondary|Q5|self_employed,0.9997129977412232,0.00014350112938842186,0.00014350112938842186,696.55862701,1.0,0.0
Central_West|15-24|female|secondary|Q5|unemployed,0.9995818447976508,0.0002090776011746272,0.0002090776011746272,477.99131116,1.0,0.0
Central_West|15-24|female|tertiary|Q1|unemployed,1.5844674846145724e-06,1.5844674846145724e-06,0.9999968310650307,63112.38673609,88.0,0.0
Central_West|15-24|female|tertiary|Q2|formal,0.28962074251059855,0.6571513260163817,0.05322793147301961,3177.49578276,4.0,0.0
Central_West|15-24|female|tertiary|Q2|informal,0.03273529467609447,0.6213471541136781,0.34591755121022727,30192.929808980003,27.0,0.0
Central_West|15-24|female|tertiary|Q2|self_employed,1.6292217606631383e-05,0.3907262726881694,0.6092574350942238,6137.59984976,9.0,0.0
