raw_date,year,month,quarter,di_surprise,mp_shock_monthly
2022-09-30,2022,9,3,0.0,0.0
2022-10-31,2022,10,4,0.0,0.0
2022-11-30,2022,11,4,0.0,0.0
2022-12-31,2022,12,4,0.0,0.0
2023-01-31,2023,1,1,0.0,0.0
2023-02-28,2023,2,1,0.0,0.0
2023-03-31,2023,3,1,0.0,0.0
2023-04-30,2023,4,2,0.0,0.0
2023-05-31,2023,5,2,0.0,0.0
2023-06-30,2023,6,2,0.0,0.0
2023-07-31,2023,7,3,0.0,0.0
2023-08-31,2023,8,3,-0.163433934,-0.163433934
2023-09-30,2023,9,3,0.0,0.0
2023-10-31,2023,10,4,0.0,0.0
2023-11-30,2023,11,4,0.0,0.0
2023-12-31,2023,12,4,0.0,0.0
2024-01-31,2024,1,1,0.0,0.0
2024-02-29,2024,2,1,0.0,0.0
2024-03-31,2024,3,1,-0.078575468,-0.078575468
2024-04-30,2024,4,2,0.0,0.0
