ref_month_yyyymm,year,month,n_obs,n_unmatched,unmatched_share,total_weight,national_share_PH2M,national_share_WH2M,national_share_Ricardian,national_share_H2M,excluded_missing_weight,raw_rows_with_known_month,raw_rows_total,included_rows_total,missing_ref_month_total,missing_weight_monthly_total,excluded_monthly_total,under_15_or_missing_age_total,missing_uf_total,unmatched_rows_total,n_batches,covid_q2q3_2020
202008,2020,8,93767,46478,0.49567545085157894,164005050.40699416,0.4493994205115072,0.21251028574620293,0.3380902937422898,0.6619097062577102,0,116742,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
202009,2020,9,91753,44959,0.4900003269647859,165129581.82718235,0.44710226576142087,0.21459737695282166,0.3383003572857575,0.6616996427142425,0,114049,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
202010,2020,10,90623,44128,0.4869404014433422,163932316.93358982,0.4500327980912236,0.21511435446283747,0.3348528474459389,0.6651471525540611,0,112464,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
202011,2020,11,84013,40653,0.4838893980693464,164372800.33785585,0.4560509482431065,0.21159393639460164,0.3323551153622919,0.6676448846377081,0,103910,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
202012,2020,12,82551,39913,0.48349505154389405,164892436.69998655,0.45490981970671684,0.2111172265501323,0.33397295374315095,0.6660270462568492,0,102333,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
202101,2021,1,83820,40082,0.47819136244333094,164549400.19666135,0.4544566366606314,0.21247972380107114,0.33306363953829754,0.6669363604617026,0,103646,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
202102,2021,2,78057,37449,0.47976478727084054,164240035.52348262,0.45604772600901666,0.21294361742504547,0.3310086565659379,0.6689913434340622,0,96675,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
202103,2021,3,81094,39137,0.48261277036525513,165306316.86742616,0.4534005303728212,0.2118565287639677,0.3347429408632111,0.6652570591367889,0,100412,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
202104,2021,4,87084,41371,0.4750700473106426,164987730.9234156,0.45507395464182065,0.21162636576838428,0.33329967958979506,0.6667003204102049,0,107562,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
202105,2021,5,82404,38960,0.472792582884326,165391388.95434198,0.4543152266182733,0.21203010486108542,0.3336546685206415,0.6663453314793587,0,102058,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
202106,2021,6,98758,46752,0.47339962332165497,164960123.4665176,0.45740134159007506,0.21190973770666663,0.3306889207032582,0.6693110792967417,0,122273,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
202107,2021,7,106650,49451,0.4636755743084857,166072819.42298546,0.46016539501317316,0.2117795376642584,0.32805506732256845,0.6719449326774316,0,131745,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
202108,2021,8,105438,48757,0.4624234147081697,165697183.91202214,0.4613617433395361,0.21225464073875813,0.3263836159217058,0.6736163840782943,0,130575,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
202109,2021,9,115868,53987,0.46593537473676944,165217315.71814775,0.4625887165921143,0.2108389191501226,0.3265723642577631,0.6734276357422369,0,143959,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
202110,2021,10,116604,53817,0.46153648245343215,166464395.1502093,0.46201568223403544,0.2118977484672731,0.32608656929869145,0.6739134307013086,0,144373,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
202111,2021,11,113139,52102,0.4605131740602268,165805826.618598,0.46251342781656124,0.21366253133702934,0.3238240408464095,0.6761759591535905,0,140626,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
202112,2021,12,120776,55905,0.46288169835066567,165951321.83687875,0.46401126235529017,0.21096215167201893,0.32502658597269096,0.6749734140273091,0,150180,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
202201,2022,1,123639,57887,0.4681936929286067,166587968.28708956,0.4587381456962075,0.2111452073881684,0.3301166469156241,0.669883353084376,0,153431,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
202202,2022,2,114884,53660,0.4670798370530274,166618381.42337635,0.45540605216892377,0.2134656498322454,0.3311282979988308,0.6688717020011692,0,142938,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
202203,2022,3,124462,58237,0.4679098841413443,166541168.37714747,0.4574973228393576,0.21176497105955022,0.33073770610109204,0.6692622938989079,0,154602,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
202204,2022,4,124681,57940,0.4647059295321661,167003807.05830315,0.45795111691447676,0.21326843857774586,0.32878044450777744,0.6712195554922227,0,154597,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
202205,2022,5,119873,55696,0.4646250615234456,166941389.04487613,0.4572911136247161,0.21259921234194215,0.3301096740333418,0.6698903259666582,0,148975,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
202206,2022,6,125434,57821,0.4609675207678939,166827558.7431656,0.4582092672998566,0.21154434247637569,0.33024639022376767,0.6697536097762323,0,156029,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
202207,2022,7,126168,58506,0.4637150466045273,167182658.27597705,0.45366735174371337,0.21419377342600995,0.3321388748302768,0.6678611251697233,0,156690,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
202208,2022,8,122432,56553,0.46191355201254575,167407593.03372306,0.45454670337361425,0.21416931158508268,0.331283985041303,0.6687160149586969,0,152028,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
202209,2022,9,126395,58495,0.46279520550654696,167267662.64825082,0.45587507133924476,0.21200126791571533,0.33212366074503996,0.66787633925496,0,157162,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
202210,2022,10,124464,57498,0.46196490551484765,167400145.52830175,0.45474602242660866,0.2141863392652339,0.33106763830815733,0.6689323616918426,0,154450,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
202211,2022,11,120030,55758,0.46453386653336665,167778212.3721584,0.4507890444712895,0.21443464509143698,0.3347763104372736,0.6652236895627265,0,148693,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
