uf_code,date,year,month,pmc_retail_nominal_index
13,2014-11-01,2014,11,62.07465
13,2014-12-01,2014,12,77.53476
13,2015-01-01,2015,1,57.43662
13,2015-02-01,2015,2,52.14271
13,2015-03-01,2015,3,54.81309
13,2015-04-01,2015,4,55.70322
13,2015-05-01,2015,5,58.3736
13,2015-06-01,2015,6,55.42212
13,2015-07-01,2015,7,57.24923
13,2015-08-01,2015,8,60.57549
13,2015-09-01,2015,9,56.5465
13,2015-10-01,2015,10,61.32507
13,2015-11-01,2015,11,60.76289
13,2015-12-01,2015,12,76.50408
13,2016-01-01,2016,1,55.75007
13,2016-02-01,2016,2,51.76792
13,2016-03-01,2016,3,55.32843
13,2016-04-01,2016,4,53.12653
13,2016-05-01,2016,5,55.18788
13,2016-06-01,2016,6,54.20406
13,2016-07-01,2016,7,60.107
13,2016-08-01,2016,8,61.32507
13,2016-09-01,2016,9,56.21855
13,2016-10-01,2016,10,60.2944
13,2016-11-01,2016,11,60.76289
13,2016-12-01,2016,12,78.89337
13,2017-01-01,2017,1,59.68107
13,2017-02-01,2017,2,54.10287
13,2017-03-01,2017,3,58.22575
13,2017-04-01,2017,4,59.44289
13,2017-05-01,2017,5,59.42014
13,2017-06-01,2017,6,57.54059
13,2017-07-01,2017,7,63.4956
13,2017-08-01,2017,8,63.79445
13,2017-09-01,2017,9,62.80867
13,2017-10-01,2017,10,64.02625
13,2017-11-01,2017,11,67.21716
13,2017-12-01,2017,12,83.54479
13,2018-01-01,2018,1,64.45035
13,2018-02-01,2018,2,59.35625
13,2018-03-01,2018,3,66.09576
13,2018-04-01,2018,4,58.65172
13,2018-05-01,2018,5,65.32244
13,2018-06-01,2018,6,61.69371
13,2018-07-01,2018,7,62.31999
13,2018-08-01,2018,8,65.73462
13,2018-09-01,2018,9,63.74409
13,2018-10-01,2018,10,67.1606
13,2018-11-01,2018,11,72.7255
13,2018-12-01,2018,12,84.69184
13,2019-01-01,2019,1,62.82297
13,2019-02-01,2019,2,58.97691
13,2019-03-01,2019,3,66.67878
13,2019-04-01,2019,4,64.33806
13,2019-05-01,2019,5,69.56966
13,2019-06-01,2019,6,72.6884
13,2019-07-01,2019,7,74.55911
13,2019-08-01,2019,8,75.63291
13,2019-09-01,2019,9,72.91671
13,2019-10-01,2019,10,77.08804
13,2019-11-01,2019,11,86.0204
13,2019-12-01,2019,12,96.08133
13,2020-01-01,2020,1,75.04349
13,2020-02-01,2020,2,71.52515
13,2020-03-01,2020,3,67.82079
13,2020-04-01,2020,4,53.5716
13,2020-05-01,2020,5,64.09595
13,2020-06-01,2020,6,82.84868
13,2020-07-01,2020,7,92.46751
13,2020-08-01,2020,8,93.4604
13,2020-09-01,2020,9,88.27707
13,2020-10-01,2020,10,96.26353
13,2020-11-01,2020,11,100.87847
13,2020-12-01,2020,12,112.60178
13,2021-01-01,2021,1,63.32088
13,2021-02-01,2021,2,67.64296
13,2021-03-01,2021,3,90.24967
13,2021-04-01,2021,4,88.9604
13,2021-05-01,2021,5,97.27322
13,2021-06-01,2021,6,92.25306
13,2021-07-01,2021,7,96.80007
13,2021-08-01,2021,8,95.93513
13,2021-09-01,2021,9,90.88111
13,2021-10-01,2021,10,97.77192
13,2021-11-01,2021,11,106.55209
13,2021-12-01,2021,12,120.00559
13,2022-01-01,2022,1,88.91258
13,2022-02-01,2022,2,86.14237
13,2022-03-01,2022,3,92.4359
13,2022-04-01,2022,4,95.65544
13,2022-05-01,2022,5,102.01573
13,2022-06-01,2022,6,96.76757
13,2022-07-01,2022,7,99.47126
13,2022-08-01,2022,8,102.05238
13,2022-09-01,2022,9,95.84278
13,2022-10-01,2022,10,104.30631
13,2022-11-01,2022,11,109.64857
13,2022-12-01,2022,12,126.74911
13,2023-01-01,2023,1,93.97385
13,2023-02-01,2023,2,89.95044
13,2023-03-01,2023,3,101.80307
13,2023-04-01,2023,4,99.46182
13,2023-05-01,2023,5,104.36976
13,2023-06-01,2023,6,99.35299
13,2023-07-01,2023,7,103.05483
13,2023-08-01,2023,8,105.98134
13,2023-09-01,2023,9,100.93341
13,2023-10-01,2023,10,105.54349
13,2023-11-01,2023,11,116.30877
13,2023-12-01,2023,12,134.43473
13,2024-01-01,2024,1,99.30302
13,2024-02-01,2024,2,96.27391
13,2024-03-01,2024,3,107.64789
13,2024-04-01,2024,4,104.57452
13,2024-05-01,2024,5,114.78802
13,2024-06-01,2024,6,108.09444
13,2024-07-01,2024,7,113.11689
13,2024-08-01,2024,8,115.80521
13,2024-09-01,2024,9,111.44563
13,2024-10-01,2024,10,115.62195
13,2024-11-01,2024,11,131.19986
13,2024-12-01,2024,12,141.34656
13,2025-01-01,2025,1,107.44144
13,2025-02-01,2025,2,109.60815
13,2025-03-01,2025,3,111.33284
13,2025-04-01,2025,4,112.6437
13,2025-05-01,2025,5,121.2023
13,2025-06-01,2025,6,114.88162
13,2025-07-01,2025,7,118.6884
13,2025-08-01,2025,8,121.58043
13,2025-09-01,2025,9,115.1745
