uf_code,date,credit_pf,year,month
21,2022-12-31,59264864978.659996,2022,12
21,2023-01-31,60129656087.2,2023,1
21,2023-02-28,60500460833.04,2023,2
21,2023-03-31,61187699255.06,2023,3
21,2023-04-30,61597105110.2,2023,4
21,2023-05-31,62166362778.43,2023,5
21,2023-06-30,62145019653.63,2023,6
21,2023-07-31,62693281092.41,2023,7
21,2023-08-31,63554838817.76,2023,8
21,2023-09-30,64121371460.29,2023,9
21,2023-10-31,64993741977.23,2023,10
21,2023-11-30,66117505919.68,2023,11
21,2023-12-31,66817051299.57,2023,12
22,2022-01-31,23587208286.6,2022,1
22,2022-02-28,23793413856.81,2022,2
22,2022-03-31,24060030872.76,2022,3
22,2022-04-30,24496970562.2,2022,4
22,2022-05-31,24842717995.829998,2022,5
22,2022-06-30,25078946528.08,2022,6
22,2022-07-31,25351194376.35,2022,7
22,2022-08-31,25667516930.45,2022,8
22,2022-09-30,26001113582.69,2022,9
22,2022-10-31,26415355241.68,2022,10
22,2022-11-30,26909491385.98,2022,11
22,2022-12-31,27197861563.09,2022,12
22,2023-01-31,27619665400.59,2023,1
22,2023-02-28,27713951094.99,2023,2
22,2023-03-31,28063404772.91,2023,3
22,2023-04-30,28233326370.4,2023,4
22,2023-05-31,28520809854.85,2023,5
22,2023-06-30,28522953217.68,2023,6
22,2023-07-31,28721823193.27,2023,7
22,2023-08-31,29074706622.3,2023,8
22,2023-09-30,29286431377.23,2023,9
22,2023-10-31,29567705338.41,2023,10
22,2023-11-30,29992317335.44,2023,11
22,2023-12-31,30227624388.44,2023,12
23,2022-01-31,64867447112.38,2022,1
23,2022-02-28,65447524933.95,2022,2
23,2022-03-31,66381355108.82,2022,3
23,2022-04-30,67667268633.21,2022,4
23,2022-05-31,69062942553.84,2022,5
23,2022-06-30,70121308518.85,2022,6
23,2022-07-31,71218304243.77,2022,7
23,2022-08-31,72296783693.48,2022,8
23,2022-09-30,73294208300.71,2022,9
23,2022-10-31,74522511418.71,2022,10
23,2022-11-30,75985647223.88,2022,11
23,2022-12-31,76663717477.56,2022,12
23,2023-01-31,77847678642.6,2023,1
23,2023-02-28,77928813774.99,2023,2
23,2023-03-31,78678394615.08,2023,3
23,2023-04-30,78995946315.01,2023,4
23,2023-05-31,79872658026.49,2023,5
23,2023-06-30,79572113820.24,2023,6
23,2023-07-31,80407081893.86,2023,7
23,2023-08-31,81148383316.23,2023,8
23,2023-09-30,81790552217.05,2023,9
23,2023-10-31,82643712988.01,2023,10
23,2023-11-30,83714831994.46,2023,11
23,2023-12-31,84152228436.74,2023,12
24,2022-01-31,32345602562.15,2022,1
24,2022-02-28,32577102233.68,2022,2
24,2022-03-31,33052924969.35,2022,3
24,2022-04-30,33620347912.89,2022,4
24,2022-05-31,34161750309.28,2022,5
24,2022-06-30,34564929837.11,2022,6
24,2022-07-31,35023282350.99,2022,7
24,2022-08-31,35504932236.39,2022,8
24,2022-09-30,35924501661.13,2022,9
24,2022-10-31,36449101998.14,2022,10
24,2022-11-30,37016156403.62,2022,11
24,2022-12-31,37376762912.62,2022,12
24,2023-01-31,37723285597.88,2023,1
24,2023-02-28,37777476610.92,2023,2
24,2023-03-31,38073952230.76,2023,3
24,2023-04-30,38218811141.47,2023,4
24,2023-05-31,38533629987.37,2023,5
24,2023-06-30,38487031904.08,2023,6
24,2023-07-31,38782484476.79,2023,7
24,2023-08-31,39154317172.47,2023,8
24,2023-09-30,39333883128.69,2023,9
24,2023-10-31,39634709672.159996,2023,10
24,2023-11-30,40178570417.28,2023,11
24,2023-12-31,40488116783.64,2023,12
25,2022-01-31,37921284887.75,2022,1
25,2022-02-28,38244930610.16,2022,2
25,2022-03-31,38795813963.409996,2022,3
25,2022-04-30,39399987166.05,2022,4
25,2022-05-31,40061528285.83,2022,5
