horizon,b_mp_x_ph2m,se_mp_x_ph2m,ci_lo_ph2m,ci_hi_ph2m,b_mp_x_wh2m,se_mp_x_wh2m,ci_lo_wh2m,ci_hi_wh2m,nobs,response_type,spec,shock_type,shock_series,shock_var
10,3.540595766956205,3.2427935381921094,-1.0126303166054593,10.430540931306782,5.272872354202003,5.608677574537872,-2.670794611287077,17.18348258490852,2403,cumulative,lag1_tfe,contractionary,Time-Varying Param,eps_tvp
11,-1.2375597756647803,3.340006289630264,-6.771922923939675,4.612238765707122,-1.5308779075143613,5.935067262025896,-12.324046350950864,8.560612545975937,2376,cumulative,lag1_tfe,contractionary,Time-Varying Param,eps_tvp
12,1.7334521568531462,3.989929103253741,-5.539877294751662,7.713491424802976,2.2935680540800276,6.861043155592378,-9.945481039735434,12.905582311342853,2349,cumulative,lag1_tfe,contractionary,Time-Varying Param,eps_tvp
13,3.6820261437522013,2.758013321173072,-0.44020184385751976,9.358871981409129,6.423700199123342,4.675696293727535,-0.5310354324484678,16.5801693398284,2322,cumulative,lag1_tfe,contractionary,Time-Varying Param,eps_tvp
14,-4.636028577267218,3.503438444030804,-10.477951892536746,1.6558923737424693,-6.798521229595363,6.382916369871252,-17.539728655654343,4.729912643732948,2295,cumulative,lag1_tfe,contractionary,Time-Varying Param,eps_tvp
15,-0.5624640850929464,2.9552260476066534,-6.274563152869919,4.985395470336588,-1.5441625751176147,5.143995547236466,-11.276309009643294,8.234054382825972,2268,cumulative,lag1_tfe,contractionary,Time-Varying Param,eps_tvp
16,-0.9511195288133065,3.1398654373469674,-6.093924045325096,4.629194372456359,-3.241890982247587,5.058852630819766,-11.542328719107049,5.840235203550206,2241,cumulative,lag1_tfe,contractionary,Time-Varying Param,eps_tvp
17,-2.2613513875381135,3.30125593820857,-7.654263414873736,3.29506342549802,-1.3972371603406368,5.8096625925784275,-11.067566953841805,8.38739727095964,2214,cumulative,lag1_tfe,contractionary,Time-Varying Param,eps_tvp
18,-0.890470133259063,2.9485873159967695,-6.10078222854248,3.8276471316287406,-1.8094740562719294,5.263031123849588,-11.27298796906899,7.027748850549615,2187,cumulative,lag1_tfe,contractionary,Time-Varying Param,eps_tvp
19,0.14460614638801134,2.997313086464485,-4.824100004262622,5.691701438379964,-1.3710409491044167,4.9805366088424545,-9.520640662551411,7.9110210415568245,2160,cumulative,lag1_tfe,contractionary,Time-Varying Param,eps_tvp
20,0.4030156976723454,4.149173069065797,-5.312178813290024,8.399843686297993,3.1285720255948584,7.1825492490089795,-6.618985574020488,16.83677235044729,2133,cumulative,lag1_tfe,contractionary,Time-Varying Param,eps_tvp
21,-3.19577047849345,2.5293617036496636,-7.64041504632793,1.4675651588046326,-6.363395259636726,4.294867376435312,-13.497620490838202,1.1782365143151357,2106,cumulative,lag1_tfe,contractionary,Time-Varying Param,eps_tvp
22,-2.6586087439310524,4.386500491617771,-9.331239330239177,5.5256414444015,-7.544654225379567,7.666812218561935,-19.316975870478323,6.411735100155401,2079,cumulative,lag1_tfe,contractionary,Time-Varying Param,eps_tvp
23,-3.8594324689011454,4.0466135331955675,-9.784755082776586,3.2935482995095553,-4.56711785030309,7.150706790174071,-14.7962526571904,7.737797190056644,2052,cumulative,lag1_tfe,contractionary,Time-Varying Param,eps_tvp
24,-5.957825305908661,2.814151359120965,-10.897919794246683,-0.845669505249832,-9.950700357178123,5.185058201312712,-18.607951675233345,-0.6203089303377486,2025,cumulative,lag1_tfe,contractionary,Time-Varying Param,eps_tvp
