horizon,b_mp_x_ph2m,se_mp_x_ph2m,ci_lo_ph2m,ci_hi_ph2m,b_mp_x_wh2m,se_mp_x_wh2m,ci_lo_wh2m,ci_hi_wh2m,nobs,response_type,spec,shock_type,shock_series,shock_var
10,1.1344229748858516,3.3062650039677584,-5.391398324153679,6.240713994229818,0.8712338815859545,5.624592934882233,-9.701539411555302,9.34425587431123,2403,cumulative,lag1_tfe,expansionary,Time-Varying Param,eps_tvp
11,8.70075193598093,4.580243616301577,2.199800288187499,17.696039135158284,16.82439194940301,7.580029799100457,5.838427119586496,32.31244224525755,2376,cumulative,lag1_tfe,expansionary,Time-Varying Param,eps_tvp
12,-2.3338520320719027,3.2321763942955077,-8.738667282486762,3.0517043777442323,-3.8652354763031744,6.163116069066812,-15.803636781967839,6.487694081220949,2349,cumulative,lag1_tfe,expansionary,Time-Varying Param,eps_tvp
13,2.870022752539059,2.91464938863923,-2.662878417554698,6.7013035316188745,3.7169897624003068,4.579077785593109,-5.521642891731429,9.932918370289716,2322,cumulative,lag1_tfe,expansionary,Time-Varying Param,eps_tvp
14,4.209621450037382,3.7606395663989973,-0.9111732996445794,11.181412412974716,8.777859821593973,6.505358359179124,-0.19544941296137716,21.305978457679807,2295,cumulative,lag1_tfe,expansionary,Time-Varying Param,eps_tvp
15,-4.407646453950319,2.776218748764968,-9.339657061726303,0.1120952283984278,-7.220255712593876,5.0406333938435095,-16.259221232047754,0.9253896906439139,2268,cumulative,lag1_tfe,expansionary,Time-Varying Param,eps_tvp
16,2.006318952245354,2.715374376014282,-2.7518767797308463,6.561525022127103,3.241804466308308,4.73625066846145,-4.9062719155663626,11.019840168094161,2241,cumulative,lag1_tfe,expansionary,Time-Varying Param,eps_tvp
17,-0.02300564595728177,3.12469923922736,-4.807563284308469,5.034444977424899,0.2599032346471427,5.478455408254609,-8.35021468523257,9.46966898812989,2214,cumulative,lag1_tfe,expansionary,Time-Varying Param,eps_tvp
18,-0.9968592859055091,3.2816000381749,-7.015556000399131,3.958912632506344,-1.9566399993003911,5.396312133282522,-11.747673985799912,6.237082100379283,2187,cumulative,lag1_tfe,expansionary,Time-Varying Param,eps_tvp
19,-0.12381024037775985,3.2140271847077537,-5.7912132412649235,4.576558332334147,-0.16256524466375386,5.811819698821432,-10.62402432882487,8.450215553438856,2160,cumulative,lag1_tfe,expansionary,Time-Varying Param,eps_tvp
20,-0.8105042119603952,3.9830102321294505,-7.164235170730352,5.797538391997141,-0.6161125259046353,6.757119912687051,-11.376571051227067,10.037121969335958,2133,cumulative,lag1_tfe,expansionary,Time-Varying Param,eps_tvp
21,-0.8679148803036956,3.7408474228130957,-7.548475160074052,4.550389265276774,-2.101966773937873,6.230225112912323,-13.908368015216134,6.954791830687412,2106,cumulative,lag1_tfe,expansionary,Time-Varying Param,eps_tvp
22,-2.7661253543737976,3.518888540972447,-8.410139657130188,3.591348333411487,-3.8682662866466417,5.936129473515421,-13.438804235467032,6.960308677790185,2079,cumulative,lag1_tfe,expansionary,Time-Varying Param,eps_tvp
23,-3.576247213303437,3.4258223494212112,-9.356640615714438,1.6504220040486663,-5.488775193268253,5.668914751147945,-15.183671205671883,3.298747617954081,2052,cumulative,lag1_tfe,expansionary,Time-Varying Param,eps_tvp
24,-2.20610531859622,3.9356830202857913,-9.394026218208756,3.708165738969765,-5.622193070401528,6.726031608821243,-18.14379406374621,4.33112578283412,2025,cumulative,lag1_tfe,expansionary,Time-Varying Param,eps_tvp
