horizon,b_mp_x_ph2m,se_mp_x_ph2m,ci_lo_ph2m,ci_hi_ph2m,b_mp_x_wh2m,se_mp_x_wh2m,ci_lo_wh2m,ci_hi_wh2m,nobs,response_type,spec,shock_type,shock_series,shock_var
12,-1.456957812952225,1.8517173918734302,-4.275961246218916,1.9677883350761172,-2.499919602162744,3.2322222662167457,-7.282083209180818,3.671781649739237,2349,cumulative,lag1_tfe,contractionary,Sign-Based,eps_sb
13,0.10961564645598071,1.4449348050394961,-1.6740271178079489,3.0075346959375158,0.5445985511097654,2.32864705668216,-2.2721436243859583,5.55956403189034,2322,cumulative,lag1_tfe,contractionary,Sign-Based,eps_sb
14,-1.038522363954494,1.8393658197633347,-3.294375074745988,2.6423144840633834,-1.2651775527747473,3.2096037744167383,-5.331139953757155,5.254045550450742,2295,cumulative,lag1_tfe,contractionary,Sign-Based,eps_sb
15,-1.161874570554974,1.4439965049396326,-3.1680936404205897,1.9087075725996865,-1.6596256963592402,2.505908892590183,-5.076743487339834,3.570309269318464,2268,cumulative,lag1_tfe,contractionary,Sign-Based,eps_sb
16,-0.6311786095317073,1.3116835778850493,-2.3939301259894354,2.0262683961146606,-1.120258684480374,2.242996119168705,-4.099999916955953,3.485559731722763,2241,cumulative,lag1_tfe,contractionary,Sign-Based,eps_sb
17,-1.0917692865930768,2.0635190240120185,-3.8680085284145997,2.4941863129264097,-0.7662462448869913,3.634759174330316,-5.897710162558208,5.754954499005435,2214,cumulative,lag1_tfe,contractionary,Sign-Based,eps_sb
18,-1.2552228199351052,1.288029171186299,-3.0695333186014753,1.2701182346806097,-2.409108977479532,2.1573125077489457,-5.47714310566543,1.8081677840608854,2187,cumulative,lag1_tfe,contractionary,Sign-Based,eps_sb
19,-1.1430890936147842,1.2499957543448244,-3.02262565865563,1.2453018298797538,-2.590923937661386,2.182307443889698,-5.876659049764002,1.4392311142220209,2160,cumulative,lag1_tfe,contractionary,Sign-Based,eps_sb
20,-0.12014575968302288,2.1004323224912027,-2.6983776613879655,4.228960932283807,0.5895048520671798,3.6694122631164596,-4.038413402215853,8.17992213902759,2133,cumulative,lag1_tfe,contractionary,Sign-Based,eps_sb
21,-0.5766490612239228,1.28714512509675,-2.47333246317314,2.1145795420288813,-1.0908784092395496,2.1694748425939685,-4.267229583513553,3.5311898247219933,2106,cumulative,lag1_tfe,contractionary,Sign-Based,eps_sb
22,-0.5418796478768043,1.4337895070324818,-2.6178499832108098,2.285214384130779,-1.9842735428781815,2.4913092598036775,-5.711922037150575,2.9162132275129946,2079,cumulative,lag1_tfe,contractionary,Sign-Based,eps_sb
23,-1.2574378345289474,1.78301394590302,-3.67967934012449,1.8691319949907137,-2.069683478816389,3.1039281981666558,-6.416418616102286,3.2131339152356264,2052,cumulative,lag1_tfe,contractionary,Sign-Based,eps_sb
24,-0.409943010668377,1.4080314190111278,-2.65063232240088,2.2083883638451756,-0.45026560301179475,2.534941377000598,-4.404863055133948,4.127798546326706,2025,cumulative,lag1_tfe,contractionary,Sign-Based,eps_sb
