"uf_code","horizon","variant","beta_mp","se_mp","lo95_mp","hi95_mp","lo95_mp_wild","hi95_mp_wild","uf_label","macro_region"
22,11,"nearest",-0.204090304745797,NA,NA,NA,NA,NA,"22 - Piauí","Northeast"
22,12,"nearest",0.335139282297389,NA,NA,NA,NA,NA,"22 - Piauí","Northeast"
23,0,"nearest",-0.0104222400452467,0.051756030250015,-0.111864059335276,0.0910195792447827,NA,NA,"23 - Ceará","Northeast"
23,1,"nearest",0.0676896492207854,0.0464814212403359,-0.023413936410273,0.158793234851844,NA,NA,"23 - Ceará","Northeast"
23,2,"nearest",-0.0835120182188293,0.0349914878948626,-0.15209533449276,-0.0149287019448986,NA,NA,"23 - Ceará","Northeast"
23,3,"nearest",-0.000271249778540008,NA,NA,NA,NA,NA,"23 - Ceará","Northeast"
23,4,"nearest",0.116154360550947,NA,NA,NA,NA,NA,"23 - Ceará","Northeast"
23,5,"nearest",0.0660923806091923,NA,NA,NA,NA,NA,"23 - Ceará","Northeast"
23,6,"nearest",0.320362396942011,NA,NA,NA,NA,NA,"23 - Ceará","Northeast"
23,7,"nearest",-0.0690879269138649,NA,NA,NA,NA,NA,"23 - Ceará","Northeast"
23,8,"nearest",-0.0321705013351334,NA,NA,NA,NA,NA,"23 - Ceará","Northeast"
23,9,"nearest",-0.0623793545054967,NA,NA,NA,NA,NA,"23 - Ceará","Northeast"
23,10,"nearest",0.106291344642193,NA,NA,NA,NA,NA,"23 - Ceará","Northeast"
23,11,"nearest",-0.0030791147278692,NA,NA,NA,NA,NA,"23 - Ceará","Northeast"
23,12,"nearest",0.098848557328201,NA,NA,NA,NA,NA,"23 - Ceará","Northeast"
24,0,"nearest",-0.0572453435472468,0.0360366714146298,-0.127877219519921,0.0133865324254276,NA,NA,"24 - Rio Grande do Norte","Northeast"
24,1,"nearest",0.0686405666151366,0.0423308678761565,-0.0143279344221301,0.151609067652403,NA,NA,"24 - Rio Grande do Norte","Northeast"
24,2,"nearest",-0.0161128135379774,0.0161250962001583,-0.0477180020902877,0.0154923750143329,NA,NA,"24 - Rio Grande do Norte","Northeast"
24,3,"nearest",0.575581460852653,NA,NA,NA,NA,NA,"24 - Rio Grande do Norte","Northeast"
24,4,"nearest",-0.543116451501111,NA,NA,NA,NA,NA,"24 - Rio Grande do Norte","Northeast"
24,5,"nearest",-0.088968585909695,NA,NA,NA,NA,NA,"24 - Rio Grande do Norte","Northeast"
24,6,"nearest",0.3416234699936,NA,NA,NA,NA,NA,"24 - Rio Grande do Norte","Northeast"
24,7,"nearest",1.12139053567574,NA,NA,NA,NA,NA,"24 - Rio Grande do Norte","Northeast"
24,8,"nearest",0.0571026369235036,NA,NA,NA,NA,NA,"24 - Rio Grande do Norte","Northeast"
24,9,"nearest",-0.00329668030525598,NA,NA,NA,NA,NA,"24 - Rio Grande do Norte","Northeast"
