uf_code,uf,state,year_month,consumption_index,year,month_num,date,mp_shock,share_PH2M_nearest,share_WH2M_nearest,share_Ricardian_nearest,total_weight_nearest,share_PH2M_linear,share_WH2M_linear,share_Ricardian_linear,total_weight_linear
41,PR,Paraná,2019.09,100.55196,2019,9,716,0.0,0.1893084553302645,0.2686722236860051,0.5420193209837302,9018322.80103695,,,,
41,PR,Paraná,2019.1,101.73147,2019,10,717,0.0,0.1893084553302645,0.2686722236860051,0.5420193209837302,9018322.80103695,,,,
41,PR,Paraná,2019.11,101.88422,2019,11,718,0.0,0.1893084553302645,0.2686722236860051,0.5420193209837302,9018322.80103695,,,,
41,PR,Paraná,2019.12,101.60991,2019,12,719,0.0,0.1893084553302645,0.2686722236860051,0.5420193209837302,9018322.80103695,,,,
42,SC,Santa Catarina,2016.01,67.57675,2016,1,672,-0.207600025,0.1909508432014347,0.2659354862885563,0.5431136705100088,5693281.03751354,,,,
42,SC,Santa Catarina,2016.02,67.43201,2016,2,673,0.0,0.1909508432014347,0.2659354862885563,0.5431136705100088,5693281.03751354,,,,
42,SC,Santa Catarina,2016.03,66.7158,2016,3,674,0.0,0.1909508432014347,0.2659354862885563,0.5431136705100088,5693281.03751354,,,,
42,SC,Santa Catarina,2016.04,67.75069,2016,4,675,0.0,0.1909508432014347,0.2659354862885563,0.5431136705100088,5693281.03751354,,,,
42,SC,Santa Catarina,2016.05,70.11486,2016,5,676,0.0,0.1909508432014347,0.2659354862885563,0.5431136705100088,5693281.03751354,,,,
42,SC,Santa Catarina,2016.06,69.72884,2016,6,677,0.0,0.1909508432014347,0.2659354862885563,0.5431136705100088,5693281.03751354,,,,
42,SC,Santa Catarina,2016.07,69.36282,2016,7,678,0.0,0.1909508432014347,0.2659354862885563,0.5431136705100088,5693281.03751354,,,,
42,SC,Santa Catarina,2016.08,68.43551,2016,8,679,0.0,0.1909508432014347,0.2659354862885563,0.5431136705100088,5693281.03751354,,,,
42,SC,Santa Catarina,2016.09,69.76771,2016,9,680,0.0,0.1909508432014347,0.2659354862885563,0.5431136705100088,5693281.03751354,,,,
42,SC,Santa Catarina,2016.1,68.78684,2016,10,681,0.0,0.1909508432014347,0.2659354862885563,0.5431136705100088,5693281.03751354,,,,
42,SC,Santa Catarina,2016.11,70.38242,2016,11,682,0.0,0.1909508432014347,0.2659354862885563,0.5431136705100088,5693281.03751354,,,,
42,SC,Santa Catarina,2016.12,70.78514,2016,12,683,0.0,0.1909508432014347,0.2659354862885563,0.5431136705100088,5693281.03751354,,,,
42,SC,Santa Catarina,2017.01,73.56249,2017,1,684,-0.224587529,0.1909508432014347,0.2659354862885563,0.5431136705100088,5693281.03751354,,,,
42,SC,Santa Catarina,2017.02,76.66396,2017,2,685,0.0,0.1909508432014347,0.2659354862885563,0.5431136705100088,5693281.03751354,,,,
