"uf_code","horizon","n_obs","beta_mp","se_mp","lo95_mp","hi95_mp","beta_ph2m","se_ph2m","lo95_ph2m","hi95_ph2m","beta_wh2m","se_wh2m","lo95_wh2m","hi95_wh2m"
12,7,14,0.741395831821999,NA,NA,NA,-26.0602829614085,NA,NA,NA,62.2373959606676,NA,NA,NA
12,8,13,-0.0143612889282297,NA,NA,NA,4.9881614087459,NA,NA,NA,-33.3579537586693,NA,NA,NA
12,9,12,0.335184344379776,NA,NA,NA,10.2599825391239,NA,NA,NA,-83.407594987361,NA,NA,NA
12,10,11,-0.36474057302238,NA,NA,NA,26.6310388827749,NA,NA,NA,-169.284928761855,NA,NA,NA
12,11,10,0.290751948278529,NA,NA,NA,-13.3120872359974,NA,NA,NA,186.129409409308,NA,NA,NA
12,12,9,0.115571970175359,NA,NA,NA,23.2319970632358,NA,NA,NA,-151.97391643303,NA,NA,NA
13,0,21,-0.206260019500273,0.201725180555624,-0.601641373389297,0.189121334388751,-0.936341643881368,4.7833089608485,-10.3116272071444,8.43894391938169,-4.35234931889888,3.94576388493593,-12.0860465333733,3.38134789557555
13,1,20,0.051795197045029,0.135950342013465,-0.214667473301363,0.318257867391421,6.58518689366757,4.64136236839393,-2.51188334838454,15.6822571357197,6.31368516500056,2.93952156222102,0.55222290304736,12.0751474269538
13,2,19,-0.0323544903326463,0.130164599362434,-0.287477105083018,0.222768124417725,-2.83248946662863,15.5239613241372,-33.2594536619375,27.5944747286803,5.99505715501432,2.85616409651052,0.396975525853714,11.5931387841749
13,3,18,0.0905932496429399,NA,NA,NA,-8.39385946725958,NA,NA,NA,0.910153699561034,NA,NA,NA
13,4,17,0.163576188835418,NA,NA,NA,3.28207603848,NA,NA,NA,-3.53494425864904,NA,NA,NA
13,5,16,0.531137970577541,NA,NA,NA,31.7951854452121,NA,NA,NA,47.6968372305989,NA,NA,NA
13,6,15,1.08861103470241,NA,NA,NA,14.2156434984993,NA,NA,NA,-11.2214179512573,NA,NA,NA
13,7,14,-0.143165470372193,NA,NA,NA,-7.3701979052705,NA,NA,NA,3.49881325503601,NA,NA,NA
13,8,13,0.0361123190983653,NA,NA,NA,-4.02461323423552,NA,NA,NA,3.1340417794082,NA,NA,NA
13,9,12,5.60558253569925,NA,NA,NA,42.6015901581636,NA,NA,NA,-323.900321206519,NA,NA,NA
13,10,11,0.965355384289937,NA,NA,NA,11.0719247284606,NA,NA,NA,-54.3913875092002,NA,NA,NA
13,11,10,-3.15796731870955,NA,NA,NA,-21.243613803754,NA,NA,NA,193.578136365685,NA,NA,NA
13,12,9,-0.241690562788609,NA,NA,NA,13.3257920900625,NA,NA,NA,-37.5707709675675,NA,NA,NA
14,0,21,-0.0388345927510051,0.232147831021876,-0.493844341553882,0.416175156051872,-1.89650811567915,2.64616037839827,-7.08298245733975,3.28996622598145,-1.61077080136565,5.56395153105868,-12.5161158022407,9.29457419950936
14,1,20,0.219827332275101,0.246534480601446,-0.263380249703732,0.703034914253935,-5.37412697378292,1.46862433566569,-8.25263067168767,-2.49562327587816,13.2013820740241,14.0355258354317,-14.308248563422,40.7110127114703
14,2,19,0.117299081941197,0.157551472874181,-0.191501804892198,0.426099968774592,-12.5734181716096,3.6027920444702,-19.6348905787712,-5.51194576444798,-1.65230681853784,3.93951440292379,-9.37375504826848,6.0691414111928
14,3,18,0.143113325690798,NA,NA,NA,141.655704479653,NA,NA,NA,174.715169629077,NA,NA,NA
14,4,17,-2.25299442685301,NA,NA,NA,2541.00207602878,NA,NA,NA,3035.32574695519,NA,NA,NA
14,5,16,0.396541628164445,NA,NA,NA,10.402174969023,NA,NA,NA,-3.42588770743586,NA,NA,NA
14,6,15,-0.396859514050387,NA,NA,NA,4.2980815020036,NA,NA,NA,-4.19466070975191,NA,NA,NA
14,7,14,0.136170148621538,NA,NA,NA,-3.21337783163671,NA,NA,NA,-16.5044389208154,NA,NA,NA
14,8,13,0.172660235806752,NA,NA,NA,-0.473215079084605,NA,NA,NA,-2.28189514226451,NA,NA,NA
14,9,12,0.0739316820102089,NA,NA,NA,-5.0022954484861,NA,NA,NA,-0.522825023207697,NA,NA,NA
14,10,11,-0.0501076916193637,NA,NA,NA,-2.15122563267231,NA,NA,NA,9.99355764520962,NA,NA,NA
14,11,10,0.0350408637206997,NA,NA,NA,0.864816882029055,NA,NA,NA,-4.08886263841497,NA,NA,NA
14,12,9,-0.104743653318119,NA,NA,NA,-0.5668447011495,NA,NA,NA,6.32285795920908,NA,NA,NA
15,0,21,-0.0357459134198628,0.0436212658179874,-0.121243594423118,0.0497517675833924,-4.38365564847937,3.17248650992912,-10.6017292079404,1.8344179109817,-3.92164440333186,2.50857234463268,-8.83844619881191,0.995157392148193
15,1,20,0.0687356699965452,0.106355556841009,-0.139721221411833,0.277192561404923,-1.74638400428549,2.39087434552527,-6.43249772151502,2.93972971294405,-3.67744916824312,2.68406731110406,-8.93822109800707,1.58332276152083
