horizon,term,estimate,ci_low,ci_high,se,shock_sd,estimate_1sd,ci_low_1sd,ci_high_1sd,nobs,se_method,response_type,spec
15,mp_pos_x_ph2m,79.73437170658389,31.818573849329916,127.65016956383786,29.130736663820876,0.007804617340971183,0.6222962600926467,0.24833179322945248,0.996260726955841,2235,driscoll_kraay,cumulative,twfe_directional_dummies
16,mp_pos_x_ph2m,67.6236005793546,22.168949905408574,113.07825125330064,27.634465419388405,0.007804617340971183,0.5277763257405399,0.17302017086287325,0.8825324806182065,2208,driscoll_kraay,cumulative,twfe_directional_dummies
17,mp_pos_x_ph2m,71.13447827898803,28.15505041828648,114.11390613968958,26.12963679957255,0.007804617340971183,0.5551773827171279,0.21973939473047663,0.8906153707037793,2181,driscoll_kraay,cumulative,twfe_directional_dummies
18,mp_pos_x_ph2m,61.50542769104988,21.85928260474676,101.15157277735301,24.103144764183213,0.007804617340971183,0.4800263275214171,0.1706033360781963,0.789449318964638,2154,driscoll_kraay,cumulative,twfe_directional_dummies
19,mp_pos_x_ph2m,54.14411314279721,13.903843241581754,94.38438304401267,24.464347004417476,0.007804617340971183,0.42257408434578086,0.10851417606939395,0.7366339926221678,2127,driscoll_kraay,cumulative,twfe_directional_dummies
20,mp_pos_x_ph2m,29.564338354710394,-22.26132560084301,81.3900023102638,31.507766470142226,0.007804617340971183,0.2307383477975122,-0.1737411278173451,0.6352178234123695,2100,driscoll_kraay,cumulative,twfe_directional_dummies
21,mp_pos_x_ph2m,20.993668289357952,-29.711857782201275,71.69919436091718,30.826770990884768,0.007804617340971183,0.1638475475817199,-0.23188968047943767,0.5595847756428775,2073,driscoll_kraay,cumulative,twfe_directional_dummies
22,mp_pos_x_ph2m,26.235813759634414,-35.31035469020081,87.78198220946963,37.417413587069916,0.007804617340971183,0.20476048702293312,-0.2755838065309844,0.6851047805768506,2046,driscoll_kraay,cumulative,twfe_directional_dummies
23,mp_pos_x_ph2m,29.230711948509708,-40.14176445991008,98.6031883569295,42.175470979136854,0.007804617340971183,0.22813452136227244,-0.31329111100099494,0.7695601537255398,2019,driscoll_kraay,cumulative,twfe_directional_dummies
24,mp_pos_x_ph2m,49.545361023790974,-24.731797024936725,123.82251907251867,45.157305690714274,0.007804617340971183,0.3866825838109568,-0.1930222119342007,0.9663873795561143,1992,driscoll_kraay,cumulative,twfe_directional_dummies
25,mp_pos_x_ph2m,46.913695419866805,-24.05944940329227,117.88684024302589,43.148608277502994,0.007804617340971183,0.3661434408029329,-0.18777479602715363,0.9200616776330194,1965,driscoll_kraay,cumulative,twfe_directional_dummies
26,mp_pos_x_ph2m,50.66284983066715,-7.80578451900891,109.13148418034321,35.54640570543671,0.007804617340971183,0.3954041563314438,-0.06092116121694134,0.851729473879829,1938,driscoll_kraay,cumulative,twfe_directional_dummies
27,mp_pos_x_ph2m,50.055489090273625,-11.451864900145203,111.56284308069246,37.393816071290765,0.007804617340971183,0.39066393816474343,-0.08937742338613248,0.8707052997156194,1911,driscoll_kraay,cumulative,twfe_directional_dummies
28,mp_pos_x_ph2m,39.811073376972296,-13.983562618352245,93.60570937229684,32.70481647356434,0.007804617340971183,0.3107101936405942,-0.10913635529974834,0.7305567425809367,1884,driscoll_kraay,cumulative,twfe_directional_dummies
29,mp_pos_x_ph2m,22.13821946376697,-25.544286688612974,69.82072561614692,28.988905378014362,0.007804617340971183,0.17278033152514147,-0.19936338285268818,0.5449240459029712,1857,driscoll_kraay,cumulative,twfe_directional_dummies
30,mp_pos_x_ph2m,10.097719148657642,-32.487242066595215,52.68268036391051,25.889818107510703,0.007804617340971183,0.0788088339718702,-0.2535504927932775,0.411168160737018,1830,driscoll_kraay,cumulative,twfe_directional_dummies
