dataset,response_label,group,model_series,horizon,lp_estimate_1sd,lp_ci_low_1sd,lp_ci_high_1sd,lp_shock_sd,model_cum_response_at_model_shock,model_1sd_termshock,gap_model_minus_lp,model_in_lp_ci,sign_match
lp_controls,consumption,PH2M,cP,20,-0.0119792563004943,-0.0314704645642313,0.0075119519632426,0.0079895938006006,-0.0018276039083082,-0.02157082799363528,-0.009591571693140979,True,True
lp_controls,consumption,PH2M,cP,21,-0.0042383768423322,-0.0208837086450815,0.0124069549604171,0.0079895938006006,-0.0018240945515638,-0.021529407787452947,-0.017291030945120748,False,True
lp_controls,consumption,PH2M,cP,22,-0.0124421225557384,-0.0315941004610798,0.006709855349603,0.0079895938006006,-0.0018207629988529,-0.021490086165217484,-0.009047963609479084,True,True
lp_controls,consumption,PH2M,cP,23,-0.0213363510085582,-0.0455447658666342,0.0028720638495177,0.0079895938006006,-0.0018175986773416,-0.02145273833797411,-0.00011638732941591026,True,True
lp_controls,consumption,PH2M,cP,24,-0.0029427062589542,-0.0208499994259809,0.0149645869080724,0.0079895938006006,-0.0018145913891154,-0.02141724394186358,-0.01847453768290938,False,True
lp_controls,consumption,PH2M,cP,25,-0.0083680598042242,-0.024725017370857,0.0079888977624085,0.0079895938006006,-0.001811731212523,-0.021383485873703617,-0.013015426069479417,True,True
lp_controls,consumption,PH2M,cP,26,-0.0015347711226621,-0.0172600325465011,0.0141904903011768,0.0079895938006006,-0.0018090083714035,-0.021351348747504807,-0.019816577624842707,False,True
lp_controls,consumption,PH2M,cP,27,-0.0167043363941847,-0.0342273000259005,0.0008186272375311941,0.0079895938006006,-0.0018064130557088,-0.02132071677731419,-0.00461638038312949,True,True
lp_controls,consumption,PH2M,cP,28,-0.0204756606686921,-0.0339778814991617,-0.0069734398382225,0.0079895938006006,-0.0018039351691845,-0.021291470799145482,-0.0008158101304533809,True,True
lp_controls,consumption,PH2M,cP,29,-0.0217521652277222,-0.0360125984330083,-0.0074917320224362,0.0079895938006006,-0.0018015639683045,-0.021263484009399456,0.0004886812183227431,True,True
