dataset,response_label,horizon,lp_diff_ph_minus_wh,model_diff_ph_minus_wh,gap_diff_model_minus_lp
lp_controls,consumption,35,0.024363261604212403,0.0825564168587173,0.0581931552545049
lp_controls,consumption,36,0.0150973661288775,0.0833542160787967,0.06825684994991921
lp_controls,consumption,37,0.0089223679678418,0.08412320344766698,0.07520083547982517
lp_controls,consumption,38,-0.0025004727435584007,0.08486642986150936,0.08736690260506776
lp_controls,consumption,39,0.00027583343800960045,0.08558709271994998,0.08531125928194037
lp_controls,consumption,40,0.0056302930070984,0.08628855381559855,0.08065826080850015
lp_controls,consumption,41,0.007866113886799399,0.08697424260998171,0.07910812872318232
lp_controls,consumption,42,0.006353517550694299,0.08764724882430605,0.08129373127361175
lp_controls,consumption,43,0.0067010857835176005,0.0883091494729788,0.08160806368946119
lp_controls,consumption,44,0.015011653892787599,0.08895704640535755,0.07394539251256996
lp_controls,consumption,45,0.0105678981069719,0.08957658186760797,0.07900868376063608
lp_controls,consumption,46,-0.008087439090481399,0.09012635487279527,0.09821379396327667
lp_controls,consumption,47,-0.009441207546804801,0.09050600875741938,0.09994721630422418
lp_income,income,0,-0.0094337438950804,-9.915602663382317e-05,0.009334587868446577
lp_income,income,1,-0.0244037297055985,0.011093173289087231,0.03549690299468573
lp_income,income,2,0.0085482128188851,0.013809964466496166,0.005261751647611066
lp_income,income,3,0.0162116939816715,0.018447700039745094,0.0022360060580735933
lp_income,income,4,-0.0008910456620170388,0.022294922507411413,0.02318596816942845
lp_income,income,5,-0.009299195512449801,0.026078671678467016,0.03537786719091682
lp_income,income,6,0.025043741137770296,0.029622931444308286,0.00457919030653799
lp_income,income,7,-0.0234098840124021,0.03298785047755409,0.05639773448995619
lp_income,income,8,-0.034876378075981096,0.03617086637237948,0.07104724444836058
lp_income,income,9,0.0041728447664871,0.039185168046991875,0.03501232328050478
lp_income,income,10,-0.0307655034248458,0.04203914662158423,0.07280465004643003
lp_income,income,11,-0.008489840271091639,0.044741823778448805,0.053231664049540446
lp_income,income,12,0.0203930190354759,0.047301461991272546,0.026908442955796648
lp_income,income,13,-0.0346274304770432,0.04972596193480893,0.08435339241185213
lp_income,income,14,-0.0367510710287215,0.05202278923852134,0.08877386026724285
lp_income,income,15,0.016966944524913017,0.054199023112019615,0.0372320785871066
lp_income,income,16,-0.052562039535341304,0.056261371461773554,0.10882341099711486
lp_income,income,17,-0.0187388970281954,0.058216193357418865,0.07695509038561427
lp_income,income,18,-0.0095822620212696,0.0600695182118227,0.0696517802330923
lp_income,income,19,-0.025535199124008,0.06182706454808141,0.08736226367208941
lp_income,income,20,0.0036308499503465014,0.06349425768053671,0.05986340773019021
lp_income,income,21,0.004261447246713991,0.06507624656746552,0.06081479932075153
lp_income,income,22,-0.0346080129084422,0.06657791985103804,0.10118593275948023
lp_income,income,23,0.010777134450133901,0.06800392116874888,0.05722678671861498
lp_income,income,24,0.0006875360886036998,0.06935866381195394,0.06867112772335024
lp_income,income,25,-0.0097840709974218,0.07064634482508761,0.08043041582250941
lp_income,income,26,0.023859827256283404,0.07187095865932758,0.04801113140304417
lp_income,income,27,-0.010359001343493624,0.07303631052747223,0.08339531187096585
lp_income,income,28,0.0491358107119721,0.07414602965593522,0.025010218943963124
lp_income,income,29,0.015036289105816225,0.0752035827026798,0.06016729359686357
lp_income,income,30,-0.0079981682067203,0.07621228771606665,0.08421045592278695
lp_income,income,31,0.0195071936957448,0.07717532916131833,0.05766813546557353
lp_income,income,32,0.019469085265635,0.07809577475145238,0.05862668948581738
lp_income,income,33,-0.0170242343460531,0.07897659509716257,0.09600082944321567
lp_income,income,34,0.0069143833612255005,0.07982068752449822,0.07290630416327272
lp_income,income,35,0.0129574299329394,0.08063090573397574,0.06767347580103635
lp_income,income,36,-0.006489858780709699,0.08141009707968382,0.08789995586039351
lp_income,income,37,0.034828776867453504,0.08216114857796719,0.04733237171051369
lp_income,income,38,0.019298671216822633,0.08288703996426725,0.06358836874744461
lp_income,income,39,-0.0016866938970760996,0.08359089405985012,0.08527758795692622
lp_income,income,40,0.0325167023146078,0.08427599424408538,0.051759291929477584
lp_income,income,41,0.0199325186359816,0.08494568998669014,0.06501317135070854
