t,Y,cR,cW,cP,pi,R,r,X,q,hW,bW,A,j,u,TP,dP,dW
32,0.0007578979862595209,-0.0038327789061359204,-0.0023072326051105266,0.03838449067795625,-8.058102548987712e-05,5.9356861658794295e-05,0.0001262849469727856,4.387589557273789e-05,-0.0037017815952995825,-0.001957477106191467,-0.005649811079042981,2.0574593283728188e-16,-0.0,1.8403648705863451e-16,0.8159740897644288,1.1514903671522783,0.49414303807758525
33,0.0007657390332855843,-0.0038871242658972396,-0.002310362945418967,0.03881691760137814,-8.082738130303189e-05,6.16377250482008e-05,0.00012874194542266095,4.409944190024507e-05,-0.003752660348134638,-0.0018489265811649305,-0.005592281991497592,2.1910309005679156e-16,-0.0,2.0773665466700945e-16,0.8251753852762077,1.168935618558165,0.502702760103659
34,0.000773144342481244,-0.003939012627208684,-0.0023128722253309532,0.03922763583560792,-8.100351636348863e-05,6.391375265015808e-05,0.00013111191093967615,4.435969980172589e-05,-0.0038012247871659225,-0.0017395201266834739,-0.005531584076856134,2.2532620295381087e-16,-0.0,2.634601493323691e-16,0.8339166160123976,1.1855161647637962,0.510854431404527
35,0.000780124526170999,-0.0039885310230031125,-0.002314900244505557,0.039617693738954664,-8.109745427854546e-05,6.620312072732244e-05,0.00013339275696649366,4.468253144279706e-05,-0.003847563361488908,-0.0016294949576180242,-0.005468042732698791,2.237024567208647e-16,-0.0,2.9429892487600365e-16,0.8422207852117781,1.2012736992938096,0.5186154425275167
36,0.000786682264026403,-0.0040357685727707236,-0.0023165848062985423,0.039988067033019256,-8.108893222819983e-05,6.853404027601361e-05,0.0001355801291252022,4.5106302139879615e-05,-0.003891766340370197,-0.0015190639930231207,-0.0054019609257128,2.225363130195775e-16,-0.0,3.030399156864409e-16,0.8501097459511895,1.2162481236212062,0.5260027529552544
37,0.000792809570384456,-0.0040808187503796264,-0.0023180647059390506,0.04033965383643312,-8.094538483821706e-05,7.094998312478745e-05,0.00013766692344885178,4.5687140521435815e-05,-0.003933928125820401,-0.0014084219699500413,-0.005333627612390281,2.2663120594440483e-16,-0.0,3.0853514215662647e-16,0.8576042586536304,1.2304775704543955,0.5330328404018195
38,0.0007984844878518937,-0.00412378213366488,-0.0023194830989604134,0.04067326800331602,-8.06162363130943e-05,7.351747070365794e-05,0.00013964332968820453,4.650526308469016e-05,-0.003974150041247313,-0.0012977527706698492,-0.0052633278437681265,2.299576382601024e-16,-0.0,3.1153912304765247e-16,0.8647240457209493,1.243998436352368,0.5397216612580484
39,0.0008036678916530903,-0.00416476911071078,-0.0023209906342279985,0.04098963265245576,-8.002515497357425e-05,7.633742773056837e-05,0.00014149846433239653,4.767107720000361e-05,-0.004012543065665999,-0.0011872378897023728,-0.00519135394307645,1.8213084973446948e-16,-0.0,3.1596741129589796e-16,0.8714878434349022,1.2568454211931248,0.5460846205453721
40,0.0008083024464668246,-0.004203900953112489,-0.002322746562492736,0.04128937949703232,-7.90603325908714e-05,7.956121317469902e-05,0.00014322598941145004,4.9327229333465504e-05,-0.004049228911297607,-0.001077065066916215,-0.005118015165880597,1.4778255868977633e-16,-0.0,3.439320245883764e-16,0.8779134512631575,1.2690515742168833,0.5521365515317207
41,0.0008123188034886839,-0.004241305270435144,-0.002324913413382288,0.04157306794104022,-7.756407222579288e-05,8.341216429500775e-05,0.0001448388834650662,5.163704976363545e-05,-0.00408433543180886,-0.0009674338895825034,-0.0050436386032702936,1.215736090766027e-16,-0.0,3.6068671792011044e-16,0.8840177787,1.280648350532615,0.5578917088552277
42,0.0008156606813161782,-0.004277096693704183,-0.002327635219913448,0.041841255892828895,-7.532601515909984e-05,8.821217653075439e-05,0.00014640419528097966,5.473754509764597e-05,-0.004117977152478655,-0.000858550101837313,-0.004968543798302817,1.0642481643103418e-16,-0.0,3.800301816571485e-16,0.8898168897650003,1.291665690475269,0.5633637867599797
43,0.0008183542004785507,-0.004311322805157308,-0.002330977546028556,0.04209469189881943,-7.209131473926396e-05,9.440906699412448e-05,0.00014812004409458206,5.860933909039105e-05,-0.004150200823440458,-0.0007505893610551598,-0.004892951598992565,7.95628964554964e-17,-0.0,3.906824680018186e-16,0.8953260452767506,1.302132151782115,0.56856599025255
44,0.0008206750239739013,-0.004343833067796831,-0.0023347835607310757,0.04233477550495055,-6.761027308950157e-05,0.00010259120886321594,0.0001504799794205666,6.276309500310773e-05,-0.0041808535160987575,-0.0006435881304130711,-0.004816742267485438,6.027117577380094e-17,-0.0,3.9769372536756484e-16,0.9005597430129134,1.3120751607101622,0.5735112203986663
45,0.0008235236735458517,-0.0043739833951103695,-0.00233835250111227,0.042564588570415215,-6.178806654639541e-05,0.00011345491033730187,0.0001546149796969764,6.553540424593565e-05,-0.004209285479907735,-0.0005371755419830743,-0.004738889771024608,4.47947392103466e-17,-0.0,4.025961144520982e-16,0.9055317558622681,1.321521521592511,0.578212502825908
46,0.0008292256904302771,-0.004399998722147498,-0.002339770311651202,0.04279109092906258,-5.505936534872631e-05,0.00012764442471578115,0.00016298744417914693,6.258867237811907e-05,-0.004233710571600493,-0.00043007886373134656,-0.004656365757418383,3.280463820971539e-17,-0.0,3.9440423841128348e-16,0.9102551680691551,1.3304984659448025,0.5826839197291749
47,0.0008429641221396689,-0.004417641584702456,-0.002335133719628486,0.04302902245953887,-4.924231545241711e-05,0.00014528728727073915,0.00018063030673410492,4.425416733388947e-05,-0.0042499107717638256,-0.00032251705581164765,-0.004566446812053642,2.5605922947416005e-17,-0.0,3.9237042613677857e-16,0.9147424096656976,1.3390356235687915,0.58694240927334
