t,Y,cR,cW,cP,pi,R,r,X,q,hW,bW,A,j,u,TP
11,7.404418724866469e-06,0.0001228033586164627,-0.00025361921065189037,3.4525567492107404e-06,-7.40866236845822e-06,-2.237873887561711e-05,-1.592995433478722e-05,3.7846022402892772e-06,9.680896008977627e-05,-0.0011410641589156866,-0.0010408815564801376,-0.0,-0.0,-0.0,-0.0
12,6.444163250157446e-06,0.00010687340428167548,-0.00022071930020087476,3.0053734383373928e-06,-6.4487845408297825e-06,-1.9477160309080057e-05,-1.3863597974778508e-05,3.293193952725605e-06,8.425264810076267e-05,-0.0009930504998622303,-0.0009058618047336785,-0.0,-0.0,-0.0,-0.0
13,5.608497088530461e-06,9.300980630689697e-05,-0.00019208692892813057,2.616280541566172e-06,-5.613562334301157e-06,-1.6952128999788824e-05,-1.2065285542646879e-05,2.865470363537532e-06,7.332509715377383e-05,-0.0008642368859057789,-0.000788356572702989,-0.0,-0.0,-0.0,-0.0
14,4.8812630324446795e-06,8.09445207642501e-05,-0.00016716850832127617,2.2777548272870973e-06,-4.886843457141855e-06,-1.4754821033482728e-05,-1.0500247680282963e-05,2.493161961108505e-06,6.38150276601438e-05,-0.0007521327612476607,-0.0006860939474184786,-0.0,-0.0,-0.0,-0.0
15,4.248399855603482e-06,7.044427308396713e-05,-0.0001454822583007618,1.983249356547206e-06,-4.2545733531998524e-06,-1.2842748168831725e-05,-9.138224970346046e-06,2.1690716257350476e-06,5.553856614889859e-05,-0.0006545706385568764,-0.0005970967231129151,-0.0,-0.0,-0.0,-0.0
16,3.697670817165598e-06,6.130604811362109e-05,-0.00012660889195348503,1.7270679087156984e-06,-3.704523198485857e-06,-1.1178936497434141e-05,-7.952883115400131e-06,1.886934791644082e-06,4.833569047361541e-05,-0.0005696641915743863,-0.0005196441725219161,-0.0,-0.0,-0.0,-0.0
17,3.2184271229152393e-06,5.335316499822096e-05,-0.00011018350886298132,1.5042549855540392e-06,-3.226053382034009e-06,-9.731211545549452e-06,-6.921303807833604e-06,1.6412982328656548e-06,4.2067135937070196e-05,-0.0004957717837455987,-0.0004522387772188603,-0.0,-0.0,-0.0,-0.0
18,2.8014020396360047e-06,4.643186119038736e-05,-9.588854003583063e-05,1.3105000024224897e-06,-2.809907737715822e-06,-8.47157613859039e-06,-6.023541614913479e-06,1.4274146278746165e-06,3.6611702718905146e-05,-0.0004314647277681807,-0.00039357727357459873,-0.0,-0.0,-0.0,-0.0
19,2.438531723331634e-06,4.0408319575473875e-05,-8.344760797943611e-05,1.1420539268692589e-06,-2.448034523675749e-06,-7.375669021191358e-06,-5.242238337207216e-06,1.2411507876808294e-06,3.186391257866855e-05,-0.0003754996623716529,-0.0003425254545010242,-0.0,-0.0,-0.0,-0.0
20,2.1227993034960262e-06,3.516608123826666e-05,-7.262018321473969e-05,9.956567701719597e-07,-2.1334306839832776e-06,-6.4222937683479075e-06,-4.562287387935847e-06,1.0789077612431017e-06,2.7731969533421946e-05,-0.00032679451224283044,-0.00029809623977244807,-0.0,-0.0,-0.0,-0.0
21,1.8480992099654555e-06,3.060379385033081e-05,-6.319693391167064e-05,8.684745327170308e-07,-1.8600063804116758e-06,-5.593008879289595e-06,-3.970541704653516e-06,9.375512716344663e-07,2.4135985082446524e-05,-0.00028440756628761557,-0.0002594305909169845,-0.0,-0.0,-0.0,-0.0
22,1.6091191194086049e-06,2.6633252145677297e-05,-5.499567873754437e-05,7.580443845228144e-07,-1.6224671746360308e-06,-4.87177112822057e-06,-3.455559545709131e-06,8.14351137748598e-07,2.1006433665978943e-05,-0.0002475192697098718,-0.0002257809016676738,-0.0,-0.0,-0.0,-0.0
23,1.4012372390800017e-06,2.3177692599968166e-05,-4.785786467206325e-05,6.622270211365901e-07,-1.4162115825105889e-06,-4.2446252756676994e-06,-3.0073832564134707e-06,7.069285102833884e-07,1.8282808496488883e-05,-0.00021541637785715554,-0.0001964965428254478,-0.0,-0.0,-0.0,-0.0
24,1.2204329419723514e-06,2.0170309343554697e-05,-4.164550169300998e-05,5.791652737621308e-07,-1.2372420192530653e-06,-3.69943414051808e-06,-2.617346727243984e-06,6.13209901905572e-07,1.5912451775294227e-05,-0.00018747816544513444,-0.00017101128203880246,-0.0,-0.0,-0.0,-0.0
25,1.0632090254353733e-06,1.7552962616310712e-05,-3.6238495071133815e-05,5.072481727685948e-07,-1.0820874132709425e-06,-3.225643813152089e-06,-2.2779078213412824e-06,5.313871233104729e-07,1.3849536679083189e-05,-0.00016316442451084722,-0.00014883233525410538,-0.0,-0.0,-0.0,-0.0
26,9.265240898438802e-07,1.527505479496943e-05,-3.1532323700982254e-05,4.4507976854339495e-07,-9.477359918133195e-07,-2.8140794694995837e-06,-1.982502531450342e-06,4.5988235151662934e-07,1.2054181435403924e-05,-0.00014200501902756184,-0.00012953083813636211,-0.0,-0.0,-0.0,-0.0
27,8.077337286494274e-07,1.3292552263519088e-05,-2.7436019587068617e-05,3.9145210305328153e-07,-8.315769380505863e-07,-2.4567678374234555e-06,-1.7254180475030543e-06,3.973176577539663e-07,1.0491678359751572e-05,-0.00012359079421045516,-0.00011273355321418031,-0.0,-0.0,-0.0,-0.0
28,7.045393899893436e-07,1.1567134216016034e-05,-2.3870409429220335e-05,3.4532180155356784e-07,-7.313497899183295e-07,-2.14678288200873e-06,-1.50168228277877e-06,3.424884113824747e-07,9.131822948769588e-06,-0.00010756566473481413,-9.81156523958801e-05,-0.0,-0.0,-0.0,-0.0
