t,Y,cR,cW,cP,pi,R,r,X,q,hW,bW,A,j,u,TP
31,1.0179375100600663e-05,-6.557875730782347e-05,1.375078108118218e-05,0.0004802399371392138,3.4330065635552447e-06,6.827121294462983e-06,3.1983289626874597e-06,5.892777521041111e-07,-5.926622635845028e-05,0.00012169594373715138,6.206329478860323e-05,-0.0,-0.0,-0.0,0.010195341287289519
32,9.586803192972414e-06,-6.238042834513601e-05,1.3023717682071074e-05,0.0004560025592011541,3.628792331775707e-06,6.916844623660911e-06,3.0565969952046486e-06,7.125104201851074e-07,-5.643431998586108e-05,0.00011702079281487393,6.0233249574484794e-05,-0.0,-0.0,-0.0,0.009685574222925042
33,9.014536474115784e-06,-5.9323831349931355e-05,1.2268192354521012e-05,0.00043294803719939466,3.860247628456873e-06,7.051409047630851e-06,2.9195934780979867e-06,8.5067654697211e-07,-5.3730946245185515e-05,0.00011244150481478148,5.837024852679155e-05,-0.0,-0.0,-0.0,0.00920129551177879
34,8.460104415061873e-06,-5.6404237871833366e-05,1.148706314901666e-05,0.000411013441462942,4.131815569532341e-06,7.235792496473724e-06,2.787324867240458e-06,1.0055445199816423e-06,-5.115166280989178e-05,0.00010797098006928042,5.649159658679519e-05,-0.0,-0.0,-0.0,0.00874123073618985
35,7.921134141988132e-06,-5.361691300459291e-05,1.0682437615550289e-05,0.00039013888083327714,4.448467629232992e-06,7.475581533809855e-06,2.6598728544835844e-06,1.1788816378055989e-06,-4.869205861524447e-05,0.00010361839343901815,5.4610856168894604e-05,-0.0,-0.0,-0.0,0.008304169199380356
36,7.395510098199254e-06,-5.0957040150109325e-05,9.85597283315539e-06,0.0003702678061854589,4.815708679325497e-06,7.77705296988293e-06,2.5375564409090803e-06,1.3721411983699115e-06,-4.634766441563894e-05,9.938985944404945e-05,5.273860336361286e-05,-0.0,-0.0,-0.0,0.007888960739411338
37,6.881744632676556e-06,-4.841948370920024e-05,9.009364485354263e-06,0.0003513478953757939,5.239496528974133e-06,8.147241356271722e-06,2.4212731406445247e-06,1.5857586373037798e-06,-4.411369963952767e-05,9.528939971845955e-05,5.0883653258025196e-05,-0.0,-0.0,-0.0,0.0074945127024407705
38,6.379797374171919e-06,-4.599821056855572e-05,8.145249170997174e-06,0.00033333316766783345,5.725968215627408e-06,8.593964333484433e-06,2.3132209604139886e-06,1.8176147427804637e-06,-4.198447331979006e-05,9.13206705921413e-05,4.905539746855104e-05,-0.0,-0.0,-0.0,0.007119787067318732
39,5.892846377869066e-06,-4.368498960814173e-05,7.268989489107482e-06,0.00031618869815519567,6.280743373070671e-06,9.125744262250049e-06,2.218427015763326e-06,2.0597316537587813e-06,-3.9952052163176495e-05,8.749041434396841e-05,4.726861085352797e-05,-0.0,-0.0,-0.0,0.006763797713952795
40,5.431073901357003e-06,-4.1466562592378404e-05,6.392329440134323e-06,0.0002999008283026589,6.907317246486504e-06,9.751493427545173e-06,2.1479820967017125e-06,2.2912277255507983e-06,-3.8003376474676956e-05,8.381566844702895e-05,4.555359470269579e-05,-0.0,-0.0,-0.0,0.006425607828255154
41,5.019711828420969e-06,-3.931858049567669e-05,5.541001210916958e-06,0.0002844989899942619,7.6035113308439704e-06,1.047967951218291e-05,2.1258801512771076e-06,2.463362203644772e-06,-3.6114091647631846e-05,8.033903091114061e-05,4.397771567641906e-05,-0.0,-0.0,-0.0,0.006104327436842396
42,4.716087659861829e-06,-3.7192700344399585e-05,4.7706726283426165e-06,0.0002701020614923868,8.353799360906133e-06,1.1316369629928475e-05,2.2034722112624937e-06,2.467866072311593e-06,-3.4235435083445034e-05,7.716106155034562e-05,4.269114104803946e-05,-0.0,-0.0,-0.0,0.005799111065000276
43,4.645679476608132e-06,-3.498922813313709e-05,4.200491879524614e-06,0.000257016526668897,9.112897418665312e-06,1.2260878413364851e-05,2.4899990605171427e-06,2.069974657591325e-06,-3.226644829104279e-05,7.450897646559046e-05,4.20237783921113e-05,-0.0,-0.0,-0.0,0.005509155511750262
44,5.078265030680109e-06,-3.2499229072619944e-05,4.083648300647299e-06,0.0002459438863260292,9.770879352848189e-06,1.3296324506552663e-05,3.217047006886483e-06,7.670149205217663e-07,-2.9995199012962576e-05,7.288163285242428e-05,4.26898382145316e-05,-0.0,-0.0,-0.0,0.005233697736162749
45,6.587730610145112e-06,-2.928218206573346e-05,4.95351217794537e-06,0.00023841592113212016,1.0079277499666198e-05,1.4369397615317628e-05,4.874061627093962e-06,-2.508232283219465e-06,-2.69747476310064e-05,7.334583594316686e-05,4.620651979215957e-05,-0.0,-0.0,-0.0,0.0049720128493546106
46,1.036812271262932e-05,-2.4408120438639497e-05,7.877279497727413e-06,0.00023765332513950237,9.495335988223654e-06,1.5347277975944736e-05,8.482327190391894e-06,-9.971803117711272e-06,-2.226525452391334e-05,7.795030868651972e-05,5.549431457574249e-05,-0.0,-0.0,-0.0,0.00472341220688688
47,1.8464095074713206e-05,-1.5925793248247603e-05,1.3876609836795983e-05,0.00024914268123937567,6.864950785551536e-06,1.5925793248247603e-05,1.5925793248247603e-05,-2.536311866583038e-05,-1.3973666920385084e-05,8.627361346064741e-05,7.03478202123999e-05,-0.0,-0.0,-0.0,0.004487241596542535
