draw,loss,weighted_mse,h0_sign_penalty,persistence_penalty,impact_cP,impact_cW,mae_lp_controls,mae_lp_income,mae_lp_wealth,mae_term_controls_wh2m,mae_term_controls_ph2m,r_R,r_pi,r_Y,rho_A,rho_j,rho_u,phi,kappa
2439,1.600589638540237,0.10780963027128582,0.32,1.172780008268951,-13.467219705664371,-8.432494707783784,0.31799474972514985,0.3152841876100847,0.3957225108165126,0.43635638106388996,0.19963311838640974,0.8756663606064661,0.4888980823382128,0.11834938478506156,0.8675576404286514,0.8382495056679871,0.6639757972373246,0.01,0.17527012393415575
2050,1.6039403926033775,0.11441906265684955,0.32,1.169521329946528,-17.31589104367336,-13.6858743112493,0.3260839372680343,0.3233733751529692,0.4022083937528225,0.4516654747849398,0.2005023997511288,0.8580139887190071,0.36998732567858805,0.08823849196950959,0.9647259681491582,0.7722946944636706,0.4859436621604969,0.08864142152470267,0.21880600554654334
2185,1.6046102505720528,0.11054911336344697,0.32,1.1740611372086058,-13.730109387745664,-8.465471308492257,0.32457860066089994,0.32186803854583484,0.40210198930610885,0.43774098360688374,0.2114162177149161,0.8499477815624652,0.33850969678428283,0.041242302875242734,0.9129165133235566,0.9415177747456054,0.5414879200133785,0.01,0.15213080616647373
556,1.6078793139859062,0.12216796845769165,0.32,1.1657113455282146,-17.043816865191662,-11.858497299336888,0.34680445938742555,0.3440938972723604,0.4229990863952551,0.4489503414781385,0.2446585772967126,0.8874057507011177,0.9162076888218222,0.1065282588018511,0.9478571004565575,0.6574382841435918,0.3772847430306616,0.061993131154703965,0.11934743993705965
38,1.6094475549797678,0.10210700151095967,0.32,1.1873405534688082,-13.193571646943113,-10.242734985336181,0.29570586734507115,0.29299530523000605,0.373062869655041,0.4426517479503064,0.14875998673983595,0.8725063926685452,0.30886534174638486,0.17794245476024945,0.8807812744473107,0.7937449167254577,0.3657554398852465,0.037959577795188444,0.3579697437008948
2139,1.6117068614952759,0.12023092804598318,0.32,1.1714759334492926,-19.565217050020074,-16.877483033873286,0.33316621767608,0.33045565556101486,0.4082786568974098,0.46291772265755404,0.20341471269460593,0.8914879751582343,0.7439051900526051,0.15957413004255883,0.872828810622691,0.7199875780131744,0.4970728915352974,0.14014133617468005,0.2484341557189834
282,1.6122803481282328,0.1205844235612883,0.32,1.1716959245669445,-19.483335492811687,-16.59078495698975,0.3344462774592054,0.33173571534414026,0.4095944196536481,0.4624783058365277,0.20641424908188308,0.9218805664320189,1.4860551811364278,0.2045068705310201,0.7895576473287405,0.5965727674013916,0.3759471170437836,0.13521141140460163,0.23832944028491293
1491,1.6210258332341518,0.12049621868001927,0.32,1.1805296145541326,-19.071743989846645,-16.141805475718048,0.3336627367173277,0.33095217460226267,0.40883890413145185,0.4638263660703293,0.2034991073643262,0.9077213542519472,1.0266518581890187,0.19024654141764918,0.9132279969010177,0.7140142681858321,0.5092473267110859,0.12580116932629415,0.2439794869036798
2802,1.6211866549202028,0.13643101886491082,0.32,1.164755636055292,-24.460664150062428,-22.048323159717846,0.3592217736156952,0.3565112115006301,0.4326117442249018,0.47985369849497767,0.23858984873641276,0.8475187569541898,0.39948696235419273,0.08874106084639355,0.9870276093422888,0.5915082488338174,0.4915253204023958,0.2382474082312294,0.20644630163516042
3075,1.6233790646090984,0.10284392600241829,0.32,1.20053513860668,-12.77563603175027,-9.793957859255666,0.2953403491343807,0.2926297870193156,0.3726824148264941,0.4456023286415711,0.1450783696271902,0.8689908206671468,0.28577174912362896,0.12620472374906389,0.9115822520294148,0.8049252754310923,0.4492696343794429,0.030750213761232437,0.37383767789001965
