uf_code,uf,state_name,year,quarter,consumption_index,share_PH2M,share_WH2M,share_Ricardian,total_weight,mp_shock_quarterly,macro_region,t_index,t_order
16,AP,Amapá,2020,1,80.90123,0.2233127970243015,0.271712839184413,0.5049743637912855,557335.08939815,0.0,North,2020Q1,8081
16,AP,Amapá,2020,2,60.034459999999996,0.2338152283398857,0.2668395821686344,0.4993451894914798,567000.18667858,-0.293676167,North,2020Q2,8082
16,AP,Amapá,2020,3,102.25076333333334,0.2041910882029256,0.2540614601768878,0.5417474516201867,572334.25289393,-0.084446286,North,2020Q3,8083
16,AP,Amapá,2020,4,100.26586333333334,0.2269758053551363,0.247421376092868,0.5256028185519955,581979.85805116,0.0,North,2020Q4,8084
17,TO,Tocantins,2015,1,107.96256333333334,0.2391403654524027,0.2660079581251718,0.4948516764224254,1044359.1631925,0.092851242,North,2015Q1,8061
17,TO,Tocantins,2015,2,109.9631,0.2310622251165318,0.2848786775899691,0.4840590972934989,1051247.7083218,0.0,North,2015Q2,8062
17,TO,Tocantins,2015,3,104.42376999999999,0.2347397253006046,0.2693172963410671,0.4959429783583283,1043925.40603995,0.077390703,North,2015Q3,8063
17,TO,Tocantins,2015,4,101.83897,0.2371705374215644,0.2811646923959127,0.4816647701825228,1058250.72694261,0.0,North,2015Q4,8064
17,TO,Tocantins,2016,1,101.11768333333333,0.2467545732546554,0.2625912821096193,0.4906541446357254,1066151.80343028,-0.207600025,North,2016Q1,8065
17,TO,Tocantins,2016,2,96.08891333333334,0.2359585073944998,0.2538419302944657,0.5101995623110345,1080669.98376395,0.0,North,2016Q2,8066
17,TO,Tocantins,2016,3,94.71367333333335,0.2265264413384894,0.2654998370556807,0.5079737216058298,1080943.51702326,0.0,North,2016Q3,8067
17,TO,Tocantins,2016,4,95.57501666666667,0.222982379639222,0.2618987801636287,0.5151188401971492,1087509.72373068,0.0,North,2016Q4,8068
17,TO,Tocantins,2017,1,94.61719333333333,0.2299575980403383,0.251492389247841,0.5185500127118207,1093876.80887489,-0.224587529,North,2017Q1,8069
17,TO,Tocantins,2017,2,96.27038,0.2317049547111597,0.253382081572655,0.514912963716185,1102191.08866911,0.0,North,2017Q2,8070
17,TO,Tocantins,2017,3,99.19371666666666,0.2283260473472101,0.2489229113549155,0.5227510412978742,1112820.25601156,-0.328460526,North,2017Q3,8071
17,TO,Tocantins,2017,4,100.83668666666667,0.2291464951600676,0.2550705998330563,0.5157829050068761,1114994.40304673,-0.195035395,North,2017Q4,8072
17,TO,Tocantins,2018,1,102.85117333333334,0.2331075944354145,0.2550973399039673,0.5117950656606182,1124088.34496604,0.0,North,2018Q1,8073
17,TO,Tocantins,2018,2,104.46746666666667,0.2293393700224682,0.2523109747496299,0.5183496552279019,1132985.69293621,0.08898676,North,2018Q2,8074
17,TO,Tocantins,2018,3,103.92853333333333,0.2365219078988094,0.256161675253166,0.5073164168480246,1135818.60563189,0.0,North,2018Q3,8075
17,TO,Tocantins,2018,4,104.42698333333334,0.2343104240855415,0.2639939128301311,0.5016956630843273,1136386.55276524,0.0,North,2018Q4,8076
17,TO,Tocantins,2019,1,103.51026,0.2278172568391714,0.2534791999668886,0.5187035431939399,1129439.40979961,0.0,North,2019Q1,8077
17,TO,Tocantins,2019,2,112.08363000000001,0.2231961554155052,0.2562925066143406,0.5205113379701543,1135665.58273477,0.0,North,2019Q2,8078
17,TO,Tocantins,2019,3,112.06243,0.224674755494266,0.2616711524030437,0.5136540921026902,1144271.30204444,-0.104547698,North,2019Q3,8079
17,TO,Tocantins,2019,4,112.81664,0.2247163778821073,0.2679485305922722,0.5073350915256205,1149733.93134881,0.0,North,2019Q4,8080
17,TO,Tocantins,2020,1,111.40941666666667,0.2174433796200026,0.2573086560874874,0.5252479642925099,1157676.29308459,0.0,North,2020Q1,8081
17,TO,Tocantins,2020,2,109.76079,0.215152979019083,0.2397141062791742,0.5451329147017426,1152107.20863774,-0.293676167,North,2020Q2,8082
17,TO,Tocantins,2020,3,114.88620333333334,0.1996288509087939,0.255390272973211,0.5449808761179951,1136312.66832833,-0.084446286,North,2020Q3,8083
17,TO,Tocantins,2020,4,105.30672666666668,0.2318277586966171,0.2457844293896991,0.5223878119136837,1144185.11001664,0.0,North,2020Q4,8084
21,MA,Maranhão,2015,1,92.32221333333332,0.2519937847579988,0.2644126949106787,0.4835935203313226,4760669.723901,0.092851242,Northeast,2015Q1,8061
21,MA,Maranhão,2015,2,90.56143000000002,0.2518790171464646,0.2627167523366882,0.4854042305168472,4772183.69670493,0.0,Northeast,2015Q2,8062
21,MA,Maranhão,2015,3,88.57638666666666,0.2516534928300177,0.2678609821901559,0.4804855249798264,4807685.10662811,0.077390703,Northeast,2015Q3,8063
21,MA,Maranhão,2015,4,86.93475333333333,0.2431415124253818,0.2771204856655589,0.4797380019090592,4818804.55875325,0.0,Northeast,2015Q4,8064
21,MA,Maranhão,2016,1,84.52161666666667,0.2487523458389617,0.2612122457217227,0.4900354084393155,4843476.81159194,-0.207600025,Northeast,2016Q1,8065
21,MA,Maranhão,2016,2,84.37274333333333,0.2363388033695992,0.2573892325021221,0.5062719641282785,4845053.61693624,0.0,Northeast,2016Q2,8066
21,MA,Maranhão,2016,3,80.9157,0.2399120598283328,0.2498855178819523,0.5102024222897148,4878363.40436331,0.0,Northeast,2016Q3,8067
21,MA,Maranhão,2016,4,82.29666666666667,0.2411995553395085,0.2515399030100988,0.5072605416503927,4881940.09525967,0.0,Northeast,2016Q4,8068
21,MA,Maranhão,2017,1,85.21462666666666,0.2330936043045283,0.2498020210049753,0.5171043746904963,4896587.1486986,-0.224587529,Northeast,2017Q1,8069
21,MA,Maranhão,2017,2,87.44878,0.227271770021247,0.2509444546987709,0.521783775279982,4910913.67963552,0.0,Northeast,2017Q2,8070
21,MA,Maranhão,2017,3,87.83231333333333,0.2276933407813398,0.252694744486194,0.519611914732466,4932243.66954515,-0.328460526,Northeast,2017Q3,8071
21,MA,Maranhão,2017,4,88.05553333333334,0.2327956658383654,0.2470226347544502,0.5201816994071844,4949995.12039073,-0.195035395,Northeast,2017Q4,8072
21,MA,Maranhão,2018,1,92.18879,0.2223401319716622,0.2529893115911061,0.5246705564372316,4967165.60169816,0.0,Northeast,2018Q1,8073
21,MA,Maranhão,2018,2,90.82010666666667,0.2248479251340759,0.2459854858092169,0.5291665890567072,5001045.20534677,0.08898676,Northeast,2018Q2,8074
21,MA,Maranhão,2018,3,92.23848,0.2288594864359613,0.2432726645093531,0.5278678490546854,4987170.13579536,0.0,Northeast,2018Q3,8075
21,MA,Maranhão,2018,4,93.36060333333334,0.226845280402544,0.243661785585104,0.5294929340123519,5032028.02575287,0.0,Northeast,2018Q4,8076
21,MA,Maranhão,2019,1,92.55781666666667,0.2175993993883286,0.238887244833634,0.5435133557780373,5054061.46729175,0.0,Northeast,2019Q1,8077
21,MA,Maranhão,2019,2,91.81092333333333,0.2206799787700976,0.2420409660315322,0.5372790551983703,5076189.37893826,0.0,Northeast,2019Q2,8078
21,MA,Maranhão,2019,3,91.51668333333333,0.2214804284973675,0.2494886273676644,0.529030944134968,5077116.86845583,-0.104547698,Northeast,2019Q3,8079
21,MA,Maranhão,2019,4,94.02968,0.2296034361341767,0.2505858285377472,0.5198107353280761,5089300.87222268,0.0,Northeast,2019Q4,8080
