uf_code,uf,state,year_month,consumption_index,year,month_num,date,mp_shock,share_PH2M_nearest,share_WH2M_nearest,share_Ricardian_nearest,total_weight_nearest,share_PH2M_linear,share_WH2M_linear,share_Ricardian_linear,total_weight_linear,log_y,lag_log_y,lag2_log_y,lag_shock,share_PH2M,share_WH2M,share_Ricardian,t_order,uf_code_str,t_order_str,region
25,PB,Paraíba,2019.11,98.59777,2019,11,718,0.0,0.2203676276772742,0.2538186917063229,0.5258136806164028,3088654.59259469,,,,,4.59104864471997,4.504969004712588,4.485587907664958,0.0,0.22815161190387603,0.24608174624230622,0.5257666418538178,24239,25,24239,Northeast
25,PB,Paraíba,2019.12,98.46918,2019,12,719,0.0,0.2203676276772742,0.2538186917063229,0.5258136806164028,3088654.59259469,,,,,4.589743605815674,4.59104864471997,4.504969004712588,0.0,0.22517378577638983,0.24586046461571,0.5289657496079002,24240,25,24240,Northeast
26,PE,Pernambuco,2016.03,98.29249,2016,3,674,0.0,0.2201582383024609,0.2300226410877028,0.5498191206098363,7169202.75755203,,,,,4.587947625455338,4.6087991931688155,4.638062358411893,0.0,0.22175022004427314,0.2392688157752558,0.538980964180471,24195,26,24195,Northeast
26,PE,Pernambuco,2016.04,98.368,2016,4,675,0.0,0.2201582383024609,0.2300226410877028,0.5498191206098363,7169202.75755203,,,,,4.588715547916131,4.587947625455338,4.6087991931688155,0.0,0.2244457996412768,0.23780379763787216,0.5377504027208511,24196,26,24196,Northeast
26,PE,Pernambuco,2016.05,95.5678,2016,5,676,0.0,0.2201582383024609,0.2300226410877028,0.5498191206098363,7169202.75755203,,,,,4.559835943237049,4.588715547916131,4.587947625455338,0.0,0.22714137923828046,0.23633877950048846,0.5365198412612311,24197,26,24197,Northeast
26,PE,Pernambuco,2016.06,98.05698,2016,6,677,0.0,0.2201582383024609,0.2300226410877028,0.5498191206098363,7169202.75755203,,,,,4.585548738277899,4.559835943237049,4.588715547916131,0.0,0.22475490968395992,0.236409395361954,0.5388356949540861,24198,26,24198,Northeast
26,PE,Pernambuco,2016.07,97.76392,2016,7,678,0.0,0.2201582383024609,0.2300226410877028,0.5498191206098363,7169202.75755203,,,,,4.5825555928190465,4.585548738277899,4.559835943237049,0.0,0.22236844012963938,0.23648001122341952,0.5411515486469411,24199,26,24199,Northeast
26,PE,Pernambuco,2016.08,95.4565,2016,8,679,0.0,0.2201582383024609,0.2300226410877028,0.5498191206098363,7169202.75755203,,,,,4.558670646334041,4.5825555928190465,4.585548738277899,0.0,0.21998197057531882,0.23655062708488503,0.5434674023397962,24200,26,24200,Northeast
26,PE,Pernambuco,2016.09,94.78844,2016,9,680,0.0,0.2201582383024609,0.2300226410877028,0.5498191206098363,7169202.75755203,,,,,4.551647460897307,4.558670646334041,4.5825555928190465,0.0,0.21946055880227594,0.23539641432076258,0.5451430268769615,24201,26,24201,Northeast
26,PE,Pernambuco,2016.1,96.9863,2016,10,681,0.0,0.2201582383024609,0.2300226410877028,0.5498191206098363,7169202.75755203,,,,,4.574569731415081,4.551647460897307,4.558670646334041,0.0,0.21893914702923303,0.2342422015566401,0.5468186514141269,24202,26,24202,Northeast
