response_type,horizon,spec,n_obs,n_states,n_months,sample_min_date,sample_max_date,outcome_min_date,outcome_max_date,nonzero_shock_months,identifying_nonzero_shock_months,identifying_nonzero_shock_dates,includes_2020_outcomes,with_time_fe,mp_shock_level_identified,interaction_terms_identified,note
cumulative,8,lag2_time_fe,2430,27,90,2012-03,2019-08,2012-11,2020-04,13,13,2012-03;2013-04;2013-05;2014-01;2014-10;2015-01;2015-07;2016-01;2017-01;2017-07;2017-10;2018-05;2019-08,True,True,False,True,Average mp_shock level effect is absorbed by month fixed effects; mp_shock x lagged household-share interactions remain identified from cross-state exposure variation.
cumulative,9,lag1,2430,27,90,2012-02,2019-07,2012-11,2020-04,12,12,2012-03;2013-04;2013-05;2014-01;2014-10;2015-01;2015-07;2016-01;2017-01;2017-07;2017-10;2018-05,False,False,True,True,No month fixed effects; mp_shock is reported as the omitted Ricardian-share baseline level effect alongside share interactions.
cumulative,9,lag2,2403,27,89,2012-03,2019-07,2012-12,2020-04,12,12,2012-03;2013-04;2013-05;2014-01;2014-10;2015-01;2015-07;2016-01;2017-01;2017-07;2017-10;2018-05,False,False,True,True,No month fixed effects; mp_shock is reported as the omitted Ricardian-share baseline level effect alongside share interactions.
cumulative,9,lag1_time_fe,2430,27,90,2012-02,2019-07,2012-11,2020-04,12,12,2012-03;2013-04;2013-05;2014-01;2014-10;2015-01;2015-07;2016-01;2017-01;2017-07;2017-10;2018-05,False,True,False,True,Average mp_shock level effect is absorbed by month fixed effects; mp_shock x lagged household-share interactions remain identified from cross-state exposure variation.
cumulative,9,lag2_time_fe,2403,27,89,2012-03,2019-07,2012-12,2020-04,12,12,2012-03;2013-04;2013-05;2014-01;2014-10;2015-01;2015-07;2016-01;2017-01;2017-07;2017-10;2018-05,False,True,False,True,Average mp_shock level effect is absorbed by month fixed effects; mp_shock x lagged household-share interactions remain identified from cross-state exposure variation.
cumulative,10,lag1,2403,27,89,2012-02,2019-06,2012-12,2020-04,12,12,2012-03;2013-04;2013-05;2014-01;2014-10;2015-01;2015-07;2016-01;2017-01;2017-07;2017-10;2018-05,False,False,True,True,No month fixed effects; mp_shock is reported as the omitted Ricardian-share baseline level effect alongside share interactions.
cumulative,10,lag2,2376,27,88,2012-03,2019-06,2013-01,2020-04,12,12,2012-03;2013-04;2013-05;2014-01;2014-10;2015-01;2015-07;2016-01;2017-01;2017-07;2017-10;2018-05,False,False,True,True,No month fixed effects; mp_shock is reported as the omitted Ricardian-share baseline level effect alongside share interactions.
cumulative,10,lag1_time_fe,2403,27,89,2012-02,2019-06,2012-12,2020-04,12,12,2012-03;2013-04;2013-05;2014-01;2014-10;2015-01;2015-07;2016-01;2017-01;2017-07;2017-10;2018-05,False,True,False,True,Average mp_shock level effect is absorbed by month fixed effects; mp_shock x lagged household-share interactions remain identified from cross-state exposure variation.
cumulative,10,lag2_time_fe,2376,27,88,2012-03,2019-06,2013-01,2020-04,12,12,2012-03;2013-04;2013-05;2014-01;2014-10;2015-01;2015-07;2016-01;2017-01;2017-07;2017-10;2018-05,False,True,False,True,Average mp_shock level effect is absorbed by month fixed effects; mp_shock x lagged household-share interactions remain identified from cross-state exposure variation.
cumulative,11,lag1,2376,27,88,2012-02,2019-05,2013-01,2020-04,12,12,2012-03;2013-04;2013-05;2014-01;2014-10;2015-01;2015-07;2016-01;2017-01;2017-07;2017-10;2018-05,False,False,True,True,No month fixed effects; mp_shock is reported as the omitted Ricardian-share baseline level effect alongside share interactions.
cumulative,11,lag2,2349,27,87,2012-03,2019-05,2013-02,2020-04,12,12,2012-03;2013-04;2013-05;2014-01;2014-10;2015-01;2015-07;2016-01;2017-01;2017-07;2017-10;2018-05,False,False,True,True,No month fixed effects; mp_shock is reported as the omitted Ricardian-share baseline level effect alongside share interactions.
cumulative,11,lag1_time_fe,2376,27,88,2012-02,2019-05,2013-01,2020-04,12,12,2012-03;2013-04;2013-05;2014-01;2014-10;2015-01;2015-07;2016-01;2017-01;2017-07;2017-10;2018-05,False,True,False,True,Average mp_shock level effect is absorbed by month fixed effects; mp_shock x lagged household-share interactions remain identified from cross-state exposure variation.
cumulative,11,lag2_time_fe,2349,27,87,2012-03,2019-05,2013-02,2020-04,12,12,2012-03;2013-04;2013-05;2014-01;2014-10;2015-01;2015-07;2016-01;2017-01;2017-07;2017-10;2018-05,False,True,False,True,Average mp_shock level effect is absorbed by month fixed effects; mp_shock x lagged household-share interactions remain identified from cross-state exposure variation.
cumulative,12,lag1,2349,27,87,2012-02,2019-04,2013-02,2020-04,12,12,2012-03;2013-04;2013-05;2014-01;2014-10;2015-01;2015-07;2016-01;2017-01;2017-07;2017-10;2018-05,False,False,True,True,No month fixed effects; mp_shock is reported as the omitted Ricardian-share baseline level effect alongside share interactions.
cumulative,12,lag2,2322,27,86,2012-03,2019-04,2013-03,2020-04,12,12,2012-03;2013-04;2013-05;2014-01;2014-10;2015-01;2015-07;2016-01;2017-01;2017-07;2017-10;2018-05,False,False,True,True,No month fixed effects; mp_shock is reported as the omitted Ricardian-share baseline level effect alongside share interactions.
cumulative,12,lag1_time_fe,2349,27,87,2012-02,2019-04,2013-02,2020-04,12,12,2012-03;2013-04;2013-05;2014-01;2014-10;2015-01;2015-07;2016-01;2017-01;2017-07;2017-10;2018-05,False,True,False,True,Average mp_shock level effect is absorbed by month fixed effects; mp_shock x lagged household-share interactions remain identified from cross-state exposure variation.
cumulative,12,lag2_time_fe,2322,27,86,2012-03,2019-04,2013-03,2020-04,12,12,2012-03;2013-04;2013-05;2014-01;2014-10;2015-01;2015-07;2016-01;2017-01;2017-07;2017-10;2018-05,False,True,False,True,Average mp_shock level effect is absorbed by month fixed effects; mp_shock x lagged household-share interactions remain identified from cross-state exposure variation.
cumulative,13,lag1,2322,27,86,2012-02,2019-03,2013-03,2020-04,12,12,2012-03;2013-04;2013-05;2014-01;2014-10;2015-01;2015-07;2016-01;2017-01;2017-07;2017-10;2018-05,False,False,True,True,No month fixed effects; mp_shock is reported as the omitted Ricardian-share baseline level effect alongside share interactions.
cumulative,13,lag2,2295,27,85,2012-03,2019-03,2013-04,2020-04,12,12,2012-03;2013-04;2013-05;2014-01;2014-10;2015-01;2015-07;2016-01;2017-01;2017-07;2017-10;2018-05,False,False,True,True,No month fixed effects; mp_shock is reported as the omitted Ricardian-share baseline level effect alongside share interactions.
cumulative,13,lag1_time_fe,2322,27,86,2012-02,2019-03,2013-03,2020-04,12,12,2012-03;2013-04;2013-05;2014-01;2014-10;2015-01;2015-07;2016-01;2017-01;2017-07;2017-10;2018-05,False,True,False,True,Average mp_shock level effect is absorbed by month fixed effects; mp_shock x lagged household-share interactions remain identified from cross-state exposure variation.
