dataset,response_label,group,direction,term,model_series,linear_sign_assumption,shock_sd_mean,corr_h0_h24,sign_match_share_h0_h24,ci_hit_share_h0_h24,impact_h0_lp,impact_h0_model,peak_h_lp,peak_val_lp,peak_h_model,peak_val_model,h24_lp,h24_model,mean_abs_gap_h0_h24,half_life_lp,half_life_model,run
lp_wealth,wealth,PH2M,expansionary,mp_neg_x_ph2m,cP,1.0,0.0115305629408613,0.4731775994403746,0.04,0.72,0.0032104263575938,0.0165377432122165,48,0.5213783391235606,0,0.0165377432122165,-0.1186735052688556,0.0103348026981481,0.2514204444725923,,,candidate_wrich_c_based_h49_tmp
lp_wealth,wealth,WH2M,contractionary,mp_pos_x_wh2m,cW,1.0,0.009145853557827,0.2333873451431076,1.0,0.8,-0.0486968576420772,-0.0279066405162564,7,-0.4435586264429097,48,-0.0946481424152477,-0.3094631579151077,-0.0782778465642987,0.2068507929771846,37.0,,candidate_wrich_c_based_h49_tmp
lp_wealth,wealth,WH2M,expansionary,mp_neg_x_wh2m,cW,1.0,0.0135086976937041,0.2946417609889573,0.96,1.0,0.019707426734624,0.0163417460687935,33,0.5802097682070637,48,0.0554246545130374,0.0937361319453684,0.0458384337097344,0.1025875202115925,35.0,,candidate_wrich_c_based_h49_tmp
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,0.0078032329793046,-0.1936661450564646,0.52,0.56,0.003844544744185,-0.022407210119484,29,-0.026334317606744,0,-0.022407210119484,-0.0072795213903107,-0.0127141658709448,0.0125782437176524,3.0,1.0,candidate_wm_wealth_measurement_h49_tmp
lp_controls,consumption,PH2M,expansionary,mp_neg_x_ph2m,cP,1.0,0.0115285465340016,-0.1553110188047112,0.52,0.44,-0.0001506999218977,0.0233221411660134,46,0.0444489250396069,0,0.0233221411660134,0.0109976786246138,0.0132333106026641,0.013453874881551,18.0,1.0,candidate_wm_wealth_measurement_h49_tmp
lp_controls,consumption,WH2M,contractionary,mp_pos_x_wh2m,cW,1.0,0.0091442313928424,0.8350021074628436,0.96,0.12,0.0004299991061211,-0.0232613947259864,24,-0.042945453896272,48,-0.0864534781477606,-0.042945453896272,-0.0713691557276195,0.0297137749824652,,,candidate_wm_wealth_measurement_h49_tmp
lp_controls,consumption,WH2M,expansionary,mp_neg_x_wh2m,cW,1.0,0.0135063367525997,0.6097362317445036,0.96,0.0,0.0023135019679142,0.0242050936546327,48,-0.0423541742253943,48,0.0899608368279624,0.0216347820142919,0.0742645537289827,0.041447165712772,1.0,,candidate_wm_wealth_measurement_h49_tmp
lp_income,income,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,0.0078032329793046,0.0197446963668111,0.84,0.72,-0.0160633151498368,-0.022407210119484,17,-0.0339497309833431,0,-0.022407210119484,0.0060631442752831,-0.0127141658709448,0.0086960511053154,2.0,1.0,candidate_wm_wealth_measurement_h49_tmp
lp_income,income,PH2M,expansionary,mp_neg_x_ph2m,cP,1.0,0.0115285465340016,-0.097626453409459,0.56,0.6,0.0005420658682156,0.0233221411660134,48,-0.0387513365244412,0,0.0233221411660134,-0.0038755995448703,0.0132333106026641,0.0124611149402125,,1.0,candidate_wm_wealth_measurement_h49_tmp
lp_income,income,WH2M,contractionary,mp_pos_x_wh2m,cW,1.0,0.0091442313928424,-0.1261331768265439,0.48,0.16,-0.0066295712547564,-0.0232613947259864,6,-0.0399033150127451,48,-0.0864534781477606,0.0053756081866794,-0.0713691557276195,0.0508155345329272,2.0,,candidate_wm_wealth_measurement_h49_tmp
lp_income,income,WH2M,expansionary,mp_neg_x_wh2m,cW,1.0,0.0135063367525997,0.2469198781104008,1.0,0.68,0.0413165057532263,0.0242050936546327,39,0.0969026949954573,48,0.0899608368279624,0.0326105575482093,0.0742645537289827,0.0219043161193017,2.0,,candidate_wm_wealth_measurement_h49_tmp
lp_wealth,wealth,PH2M,contractionary,mp_pos_x_ph2m,wP,1.0,0.007804617340971,0.5573482889621548,1.0,0.4,0.0483479483551631,0.0288622564936214,8,0.6360724223308901,16,0.0357177828698447,0.3866825838109568,0.0353714107803082,0.3633841280207002,34.0,,candidate_wm_wealth_measurement_h49_tmp
lp_wealth,wealth,PH2M,expansionary,mp_neg_x_ph2m,wP,1.0,0.0115305629408613,0.684788952631041,0.96,0.88,0.0032104263575938,-0.0300406847645343,48,0.5213783391235606,16,-0.0371761180875897,-0.1186735052688556,-0.0368156038375916,0.2084622004101866,,,candidate_wm_wealth_measurement_h49_tmp
lp_wealth,wealth,WH2M,contractionary,mp_pos_x_wh2m,wW,1.0,0.009145853557827,0.2566522086331134,1.0,0.96,-0.0486968576420772,-0.041001778807395,7,-0.4435586264429097,48,-0.2354585906479567,-0.3094631579151077,-0.1959309780314849,0.1409527112910179,37.0,,candidate_wm_wealth_measurement_h49_tmp
lp_wealth,wealth,WH2M,expansionary,mp_neg_x_wh2m,wW,1.0,0.0135086976937041,0.3096651001949158,0.96,1.0,0.019707426734624,0.0426650823229095,33,0.5802097682070637,48,0.2450103494490256,0.0937361319453684,0.2038792352543961,0.0563856308295953,35.0,,candidate_wm_wealth_measurement_h49_tmp
