draw,loss,weighted_mse,h0_sign_penalty,persistence_penalty,impact_cP,impact_cW,mae_lp_controls,mae_lp_income,mae_lp_wealth,mae_term_controls_wh2m,mae_term_controls_ph2m,r_R,r_pi,r_Y,rho_A,rho_j,rho_u,phi,kappa,chi_R_neg
519,0.5270535508004982,0.019526891831731955,0.015,0.4925266589687663,-5.610208833678616,-3.7828400358993446,0.1251525508915219,0.12244198877645682,0.25745403231821307,0.18874289004339911,0.061562211739644726,0.7265098601320106,0.48697802634375054,0.12673756283726742,0.8552418765765011,0.8173424800539663,0.46987817184047975,0.015993394405102397,0.33670737610600776,1.153662572807713
105,0.5278984972908946,0.02136466556961975,0.015,0.4915338317212748,-6.613776050005038,-5.065279300542171,0.1322660404223352,0.1295554783072701,0.2623982303717373,0.19590685261327204,0.06862522823139838,0.7555436567575062,0.8503344559390785,0.06612701974020103,0.8948592105686862,0.8959095254181261,0.610411001398187,0.05761795038062181,0.32942784987685536,1.1766760152377749
24,0.5282521347404073,0.010800469950802253,0.015,0.5024516647896051,-10.735118594546277,-8.081623470997723,0.09938275875501132,0.09667219663994621,0.23966210175755215,0.12301969963481019,0.07574581787521245,0.7645753170199703,1.8245595369798489,0.13598510394636035,0.9606752874316906,0.3169044541426543,0.571918335977801,0.16215402680346042,0.08871280572534652,0.4368150329533903
175,0.5283147802427148,0.019456231126556627,0.015,0.49385854911615823,-8.085982557459028,-5.760450464176795,0.1340264202955796,0.1313158581805145,0.2637446429454721,0.18140553606590953,0.08664730452524969,0.662632553634915,0.40755781904730254,0.07781772290462272,0.8628634299076698,0.6813256724211885,0.5206625937805165,0.0762697642562135,0.15875688391158796,1.009046336037772
968,0.5291913420380062,0.030956080187588084,0.015,0.4832352618504181,-6.534794800716472,-4.935458741383392,0.15472696861384644,0.15201640649878134,0.28459055618741597,0.22886977289750815,0.08058416433018474,0.7202184573798567,0.6494982264651814,0.03,0.8808996214819043,0.6619665729435263,0.5282067666050794,0.05550334560032007,0.3162807138325143,1.502801369901349
281,0.5294120924527196,0.01479957579977206,0.015,0.4996125166529475,-6.039363972937093,-4.609244647464738,0.11045937385948074,0.10774881174441567,0.2439248529828048,0.16772848322000014,0.053190264498961345,0.7402085511889397,0.550438509015409,0.13060955053832327,0.9840056500394113,0.8566344875765013,0.28178717213436644,0.042251199563258436,0.39124493836329177,0.9230331297340159
96,0.5295318773829255,0.052149969284887715,0.015,0.4623819080980378,-7.930197721158555,-5.22294860904408,0.20702890890968312,0.20431834679461802,0.3373091258301183,0.2680924930486427,0.1459653247707236,0.6167588404262152,0.42288477814457376,0.09026245520518532,0.8669792086235342,0.5308448728620538,0.9116636330774365,0.06846321888606578,0.08550527234821827,1.9084109512006189
241,0.5299592066485509,0.030724185917920387,0.015,0.4842350207306305,-6.6176768603276255,-4.341418920019392,0.15839422485934002,0.15568366274427492,0.2887392918485654,0.2241013412520282,0.09268710846665182,0.7485045278424816,0.8532446175984737,0.14845554337691907,0.8526469568478063,0.8691034538933222,0.4051577317953066,0.031224608787690202,0.2031338734608485,1.468417005514731
227,0.5300197434531722,0.013644193240653392,0.015,0.5013755502125188,-6.688044518711592,-5.058240107787799,0.10846701087583163,0.10575644876076651,0.24239073435553668,0.1597355018957871,0.05719851985587611,0.746946368474304,0.5780888202727748,0.20260768668183501,0.8711321097644983,0.8672673898536934,0.4493934852421816,0.05409493352550117,0.3191083873001502,0.8334799421231511
5,0.530377601415556,0.016490144665982625,0.015,0.4988874567495734,-8.042819864365544,-5.722836621056709,0.1240943264034296,0.12138376428836448,0.2553823279807656,0.16852086642156508,0.0796677863852941,0.7480418092301435,0.9222143383767883,0.14240955295699487,0.9397164434397058,0.806893065087867,0.536862723332973,0.07272637613018745,0.16772291509662568,0.8849183621113715
