horizon,term,estimate,ci_low,ci_high,se,shock_sd,estimate_1sd,ci_low_1sd,ci_high_1sd,nobs,se_method,response_type,spec
14,mp_pos_x_ph2m,-0.4148305172489731,-2.2584054090507895,1.4287443745528432,1.1208139506119152,0.007803232979304636,-0.0032370191730191874,-0.017622863568545095,0.01114882522250672,2263,driscoll_kraay,cumulative,twfe_directional_dummies
15,mp_pos_x_ph2m,0.8691577785304638,-0.7888362086427794,2.527151765703707,1.0079887717706077,0.007803232979304636,0.00678224064164807,-0.006155472718550968,0.01971995400184711,2236,driscoll_kraay,cumulative,twfe_directional_dummies
16,mp_pos_x_ph2m,-0.3364554700978287,-3.02957827236879,2.356667332173133,1.6373024068180002,0.007803232979304636,-0.002625440420334822,-0.023640505088332906,0.01838962424766326,2209,driscoll_kraay,cumulative,twfe_directional_dummies
17,mp_pos_x_ph2m,0.2611873394170817,-2.399850626746155,2.922225305580318,1.6177962115055393,0.007803232979304636,0.002038105660716206,-0.018726593556030496,0.022802804877462904,2182,driscoll_kraay,cumulative,twfe_directional_dummies
18,mp_pos_x_ph2m,0.3536634655039637,-2.1645896748773708,2.8719166058852985,1.5309892011781006,0.007803232979304636,0.002759718417595697,-0.016890797537665397,0.022410234372856795,2155,driscoll_kraay,cumulative,twfe_directional_dummies
19,mp_pos_x_ph2m,-1.837347404066013,-4.665994920014767,0.9913001118827411,1.7196955823913007,0.007803232979304636,-0.014337249857847673,-0.036409845441127124,0.007735345725431781,2128,driscoll_kraay,cumulative,twfe_directional_dummies
20,mp_pos_x_ph2m,-1.8677414378177577,-4.408823115356807,0.6733402397212909,1.5448679663056843,0.007803232979304636,-0.014574421584393385,-0.03440307393367284,0.005254230764886066,2101,driscoll_kraay,cumulative,twfe_directional_dummies
21,mp_pos_x_ph2m,-0.9368889742060984,-3.127635638886047,1.2538576904738503,1.331879401780097,0.007803232979304636,-0.007310762941471917,-0.024405669564604125,0.009784143681660293,2074,driscoll_kraay,cumulative,twfe_directional_dummies
22,mp_pos_x_ph2m,-2.0108586738286642,-4.617846616431802,0.5961292687744733,1.5849361304171852,0.007803232979304636,-0.015691198720340617,-0.03603413301071096,0.004651735570029727,2047,driscoll_kraay,cumulative,twfe_directional_dummies
23,mp_pos_x_ph2m,-3.2163477434938024,-6.521937616343296,0.08924212935569154,2.009655946697207,0.007803232979304636,-0.025097910784942886,-0.05089219869681747,6.963771269317025e-4,2020,driscoll_kraay,cumulative,twfe_directional_dummies
24,mp_pos_x_ph2m,-0.9328853065924243,-3.4529561448247934,1.587185531639945,1.5320942830049884,0.007803232979304636,-0.007279521390310722,-0.026944221265389423,0.012385178484767981,1993,driscoll_kraay,cumulative,twfe_directional_dummies
25,mp_pos_x_ph2m,-1.6144927055180736,-3.990968332645125,0.7619829216089777,1.4447945933836974,0.007803232979304636,-0.0125982627245454,-0.031142455712656874,0.005945930263566074,1966,driscoll_kraay,cumulative,twfe_directional_dummies
26,mp_pos_x_ph2m,-0.8186117224387675,-3.1327490924400188,1.4955256475624836,1.4068956240745947,0.007803232979304636,-0.006387817989779563,-0.02444557103401462,0.011669935054455493,1939,driscoll_kraay,cumulative,twfe_directional_dummies
27,mp_pos_x_ph2m,-2.7466616301106166,-5.230984839312261,-0.2623384209089723,1.5103612677111116,0.007803232979304636,-0.021432840615069795,-0.040818593412364,-0.0020470878177755937,1912,driscoll_kraay,cumulative,twfe_directional_dummies
28,mp_pos_x_ph2m,-3.2065923131977656,-5.316675308829524,-1.096509317566007,1.28283937309518,0.007803232979304636,-0.025021786889529544,-0.041487256110113196,-0.008556317668945886,1885,driscoll_kraay,cumulative,twfe_directional_dummies
29,mp_pos_x_ph2m,-3.374795764343666,-5.533891081422013,-1.215700447265319,1.312636748766489,0.007803232979304636,-0.02633431760674409,-0.043182241390432044,-0.009486393823056133,1858,driscoll_kraay,cumulative,twfe_directional_dummies
30,mp_pos_x_ph2m,-2.5189820999317445,-4.882912177876982,-0.1550520219865068,1.4371674410485287,0.007803232979304636,-0.019656204196465434,-0.03810250134145789,-0.0012099070514729774,1831,driscoll_kraay,cumulative,twfe_directional_dummies
31,mp_pos_x_ph2m,-2.653074827327542,-4.610714854726101,-0.6954347999289836,1.190160629080897,0.007803232979304636,-0.02070256098916523,-0.0359784822125685,-0.0054266397657619665,1804,driscoll_kraay,cumulative,twfe_directional_dummies
32,mp_pos_x_ph2m,-2.328432444304995,-4.827395433170318,0.17053054456032823,1.519261621775328,0.007803232979304636,-0.01816930083948364,-0.03766929124825922,0.001330689569291932,1777,driscoll_kraay,cumulative,twfe_directional_dummies
33,mp_pos_x_ph2m,-2.271129616108854,-4.146571861384754,-0.39568737083295336,1.140187925871432,0.007803232979304636,-0.017722153520696084,-0.032356666299814124,-0.003087640741578045,1750,driscoll_kraay,cumulative,twfe_directional_dummies
34,mp_pos_x_ph2m,-1.5212454128307253,-3.4842316951490533,0.4417408694876028,1.193410921284513,0.007803232979304636,-0.011870632375016612,-0.02718827167112559,0.003447006921092367,1723,driscoll_kraay,cumulative,twfe_directional_dummies
35,mp_pos_x_ph2m,-1.0428425421377858,-2.9468997219378608,0.8612146376622893,1.157584570810112,0.007803232979304636,-0.008137543317031455,-0.022995345096929177,0.0067202584628662685,1696,driscoll_kraay,cumulative,twfe_directional_dummies
36,mp_pos_x_ph2m,-2.3810025066088762,-4.067682688099282,-0.6943223251184703,1.0254287395872754,0.007803232979304636,-0.018579517283377388,-0.03174107570112285,-0.0054179588656319225,1669,driscoll_kraay,cumulative,twfe_directional_dummies
37,mp_pos_x_ph2m,-2.5881221268233205,-4.164364655936715,-1.0118795977099262,0.9582874143243741,0.007803232979304636,-0.02019571993449579,-0.03249550762105598,-0.007895932247935604,1642,driscoll_kraay,cumulative,twfe_directional_dummies
38,mp_pos_x_ph2m,-2.6743575752897435,-4.498060880564343,-0.8506542700151438,1.108732883821768,0.007803232979304636,-0.020868635229954108,-0.03509941700613973,-0.006637853453768481,1615,driscoll_kraay,cumulative,twfe_directional_dummies
39,mp_pos_x_ph2m,-2.1838856743656674,-4.026655806956121,-0.34111554177521364,1.1203246917513234,0.007803232979304636,-0.017041368717241122,-0.03142093338914853,-0.0026618040453337153,1588,driscoll_kraay,cumulative,twfe_directional_dummies
40,mp_pos_x_ph2m,-1.2109648759229639,-3.0178505036588303,0.5959207518129026,1.0985084618652061,0.007803232979304636,-0.009449441056581617,-0.02354899057676169,0.004650108463598455,1561,driscoll_kraay,cumulative,twfe_directional_dummies
41,mp_pos_x_ph2m,-1.8695362553617074,-3.753074035300644,0.014001524577228919,1.1451096614778031,0.007803232979304636,-0.01458842696384417,-0.029286111086029916,1.092571583415771e-4,1534,driscoll_kraay,cumulative,twfe_directional_dummies
42,mp_pos_x_ph2m,-2.465757077514695,-4.25907157374934,-0.6724425812800503,1.0902577997522653,0.007803232979304636,-0.019240876946216488,-0.03323452776549975,-0.005247226126933227,1507,driscoll_kraay,cumulative,twfe_directional_dummies
43,mp_pos_x_ph2m,-1.1142605576251778,-2.8157523234780486,0.5872312082276929,1.0344335434918734,0.007803232979304636,-0.008694834730799161,-0.021971971392117564,0.004582301930519241,1480,driscoll_kraay,cumulative,twfe_directional_dummies
44,mp_pos_x_ph2m,-1.0938140901733673,-2.7749370058926557,0.5873088255459209,1.0220501618949749,0.007803232979304636,-0.008535286181668914,-0.021653479959874433,0.004582907596536603,1453,driscoll_kraay,cumulative,twfe_directional_dummies
