horizon,term,estimate,ci_low,ci_high,se,shock_sd,estimate_1sd,ci_low_1sd,ci_high_1sd,nobs,se_method,response_type,state_regime,switching_var,logistic_gamma,spec
39,mp_pos_x_ph2m,-15.717685161004127,-69.1370427164758,37.70167239446755,32.4766633821866,0.007989593800600683,-0.12557791992215192,-0.5523768878794196,0.30122104803511585,1458,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
40,mp_pos_x_ph2m,-67.8686601526995,-99.14212743875598,-36.59519286664303,19.012918094127254,0.007989593800600683,-0.5422430264110826,-0.7921053267630476,-0.29238072605911747,1431,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
41,mp_pos_x_ph2m,4.739416207605716,-59.031980484197064,68.51081289940849,38.770256299337106,0.007989593800600683,0.03786601035075303,-0.4716415453137213,0.5473735660152274,1404,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
42,mp_pos_x_ph2m,25.052288443776614,-17.849058527702798,67.95363541525603,26.082166989528204,0.007989593800600683,0.20015760844125777,-0.14260672735949304,0.5429219442420086,1377,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
43,mp_pos_x_ph2m,-21.75143453176377,-65.6634027141856,22.160533650658046,26.696581059195587,0.007989593800600683,-0.17378512648915143,-0.5246239152516032,0.17705366227330033,1350,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
44,mp_pos_x_ph2m,-0.03233396193354388,-35.96421253021514,35.89954460634805,21.845031059010882,0.007989593800600683,-2.5833522181310066e-4,-0.2873394494748923,0.2868227790312661,1323,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
45,mp_pos_x_ph2m,-45.02836384967638,-85.04511223888562,-5.011615460467141,24.328455574114052,0.007989593800600683,-0.3597583366645663,-0.6794759015151898,-0.040040771813942805,1296,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
46,mp_pos_x_ph2m,-63.950771781187065,-115.79879890133348,-12.102744661040646,31.521362308839716,0.007989593800600683,-0.5109406897666012,-0.9251853658190992,-0.09669601371410336,1269,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
47,mp_pos_x_ph2m,-52.62548451060557,-120.15609140869094,14.9051223874798,41.05569382683906,0.007989593800600683,-0.42045624479954147,-0.9599983630232861,0.11908587342420306,1242,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
48,mp_pos_x_ph2m,21.41317343416823,-43.05554855569591,85.88189542403236,39.19419997835842,0.007989593800600683,0.1710825577208177,-0.3439963438220497,0.6861614592636851,1215,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
0,mp_neg_x_ph2m,-5.046503660982447,-13.03620425930266,2.943196937337766,4.857393063678325,0.01134040072148436,-0.05722937375797881,-0.1478357801876134,0.03337703267165576,2511,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
1,mp_neg_x_ph2m,1.5359456743575084,-5.283689512126851,8.355580860841869,4.146043802769061,0.01134040072148436,0.01741823943364467,-0.05991915635542269,0.09475563522271205,2484,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
2,mp_neg_x_ph2m,-2.694649578072942,-15.664840503540761,10.275541347394876,7.885316184338195,0.01134040072148436,-0.03055840601932592,-0.17764556854829108,0.11652875650963923,2457,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
3,mp_neg_x_ph2m,2.2987741436134828,-7.614610604298401,12.212158891525366,6.0269099848629635,0.01134040072148436,0.026069019956763934,-0.08635273559080806,0.13849077550433592,2430,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
4,mp_neg_x_ph2m,8.435922363015433,-0.10511118413726628,16.97695591016813,5.192579696579096,0.01134040072148436,0.09566674005192627,-0.00119200294842633,0.19252548305227885,2403,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
5,mp_neg_x_ph2m,2.9808085991619593,-8.553775185987954,14.515392384311872,7.012529015440606,0.01134040072148436,0.03380356398854307,-0.09700323829059282,0.16461036626767894,2376,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
6,mp_neg_x_ph2m,1.1518198651742728,-10.019411079357615,12.323050809706162,6.79162617359233,0.01134040072148436,0.013062098830042342,-0.1136241366331955,0.13974833429328018,2349,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
7,mp_neg_x_ph2m,0.674512202510712,-9.833306159202944,11.182330564224369,6.388299961491754,0.01134040072148436,0.007649238668002483,-0.11151363226240169,0.12681210959840664,2322,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
8,mp_neg_x_ph2m,-7.916196673059417,-20.409726184434362,4.577332838315529,7.595526621131708,0.01134040072148436,-0.08977284246257511,-0.23145447354725768,0.05190878862210748,2295,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
9,mp_neg_x_ph2m,-8.007416271906909,-17.64300566150567,1.6281731176918512,5.858022398903122,0.01134040072148436,-0.09080730926715871,-0.20007875413289153,0.01846413559857411,2268,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
10,mp_neg_x_ph2m,-8.23488183031671,-19.213040083171528,2.7432764225381074,6.674246311631659,0.01134040072148436,-0.09338685984986206,-0.21788357362110633,0.03110985392138219,2241,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
11,mp_neg_x_ph2m,-5.22131664608636,-14.38498968746644,3.942356395293719,5.571117630912721,0.01134040072148436,-0.05921182306037606,-0.16313154743028951,0.04470790130953737,2214,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
12,mp_neg_x_ph2m,-6.94153561226561,-15.558655939018884,1.6755847144876634,5.238837174055431,0.01134040072148436,-0.0787197954655463,-0.17644139303617667,0.019001802105084065,2187,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
13,mp_neg_x_ph2m,-10.318384087103821,-20.131280734277595,-0.5054874399300449,5.965817557493393,0.01134040072148436,-0.11701461034594492,-0.22829679056340585,-0.005732430128483963,2160,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
14,mp_neg_x_ph2m,-6.401742942082117,-21.839961059343803,9.036475175179568,9.385770176933294,0.01134040072148436,-0.07259833027914545,-0.2476739101545728,0.10247724959628189,2133,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
15,mp_neg_x_ph2m,-5.916256108210306,-16.617165653761553,4.78465343734094,6.505691065887747,0.01134040072148436,-0.0670927150380344,-0.18844531736894266,0.05425988729287382,2106,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
16,mp_neg_x_ph2m,-1.108650153303632,-11.42443266553178,9.207132358924516,6.271550454825059,0.01134040072148436,-0.012572536998398255,-0.1295576444427461,0.10441257044594959,2079,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
17,mp_neg_x_ph2m,-10.711963013354955,-22.64406695606649,1.2201409293565781,7.254204111052837,0.01134040072148436,-0.12147795308516432,-0.2567927932459166,0.013836887075587938,2052,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
18,mp_neg_x_ph2m,-7.845838081848093,-19.08250436115386,3.3908281974576724,6.831408032416542,0.01134040072148436,-0.08897494784403959,-0.21640324622495768,0.038453350536878504,2025,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
19,mp_neg_x_ph2m,-0.713838466582468,-9.99346748343093,8.565790550265994,5.641613858399718,0.01134040072148436,-0.00809521426145511,-0.11332992585923062,0.0971394973363204,1998,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
20,mp_neg_x_ph2m,-5.744785878297589,-14.825858728503167,3.336286971907991,5.520900280370966,0.01134040072148436,-0.06514817391901914,-0.16813117902134253,0.03783483118330425,1971,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
21,mp_neg_x_ph2m,2.0783482967397293,-10.989336721096596,15.146033314576055,7.944588383864666,0.01134040072148436,0.023569302523843018,-0.12462348208055841,0.17176208712824445,1944,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
