t,Y,cR,cW,cP,pi,R,r,X,q,hW,bW,A,j,u,TP,dP,dW
10,-0.00032529242612333456,0.0012496590289109214,-0.0036257467111277773,-0.0011090797307403324,-0.0002749351158394888,0.00030459002744560344,0.0002623748035536935,0.0008375168725107998,0.0009179430113455248,-0.013560383902755761,-0.012591139180711947,-0.0,-0.0,-0.0,-0.0,-0.0012594287018665037,-0.001093355569410123
11,-0.00031869313748739565,0.0013406786339288585,-0.0038108341967623104,-0.0011033252529025906,-0.0002787802696362077,0.0002957811126833021,0.00025721139331654554,0.0008380829065906902,0.000990151983443829,-0.014413278108938186,-0.013370754281669351,-0.0,-0.0,-0.0,-0.0,-0.0012761600610474014,-0.0011221257338167438
12,-0.00031249894161431243,0.001426534828709648,-0.003985502061430874,-0.0010979849888008246,-0.000282425774161361,0.00028750896685257615,0.00025237320970152775,0.0008386781283029613,0.001058267678431702,-0.015218191353693046,-0.014106541511699204,-0.0,-0.0,-0.0,-0.0,-0.0012885324595411183,-0.0011461863062724618
13,-0.00030664171968756716,0.0015075528398754193,-0.004150295502731786,-0.0010929111444386423,-0.0002858597363770694,0.0002796853014045853,0.00024779302049314977,0.0008392157025608869,0.0011225555095416909,-0.01597782523002532,-0.014800934155879335,-0.0,-0.0,-0.0,-0.0,-0.0012974668815555572,-0.001166260891707315
14,-0.00030112039508556424,0.001583990661832813,-0.0043057851226944895,-0.001088137769216359,-0.0002891032126166828,0.00027230760492835053,0.0002434754805519686,0.0008397324049157269,0.0011832165524854536,-0.016694736349409503,-0.015456284348744834,-0.0,-0.0,-0.0,-0.0,-0.001303708666800612,-0.001182970995868685
15,-0.00029590907715702433,0.0016561109438490253,-0.004452487159115532,-0.0010836286966547602,-0.0002921633691517363,0.00026534169428712903,0.000239398172374915,0.0008402162074479271,0.0012404599390629558,-0.017371334820963567,-0.016074790121049985,-0.0,-0.0,-0.0,-0.0,-0.001307846400801735,-0.00119684067755314
16,-0.0002909931299397503,0.001724153917688184,-0.004590897375359318,-0.0010793766854623665,-0.0002950519716159044,0.00025876782746779044,0.00023555049018146094,0.0008406741540225318,0.0012944753301348138,-0.018009896339811485,-0.01665853462239103,-0.0,-0.0,-0.0,-0.0,-0.0013103499024174421,-0.001208315459185411
17,-0.0002863548908898611,0.0017883492093338888,-0.004721480070028595,-0.0010753643222227267,-0.00029777815624178915,0.0002525624403921518,0.00023191826871446112,0.0008411056501708656,0.0013454446654482337,-0.018612568272621973,-0.017209480597920733,-0.0,-0.0,-0.0,-0.0,-0.0013115915957019795,-0.0012177725082125805
18,-0.00028197921347235353,0.0018489122795125937,-0.0048446746197468235,-0.0010715793425912338,-0.00030035132185042763,0.0002467052301508814,0.00022848977218115714,0.0008415129839349347,0.0013935384012620175,-0.019181377496618413,-0.017729481921391985,-0.0,-0.0,-0.0,-0.0,-0.0013118671441389143,-0.001225531605634983
19,-0.000277851210856444,0.0019060468531579946,-0.004960894994817537,-0.001068008535353871,-0.0003027800355583945,0.00024117626689606857,0.00022525327873176756,0.0008418971909118564,0.0014389178052539027,-0.01971823697333432,-0.018220287888788617,-0.0,-0.0,-0.0,-0.0,-0.001311410553454666,-0.001231863553333636
20,-0.0002739570735174526,0.001959944933354006,-0.0050705319223538076,-0.0010646400800593408,-0.00030507250536381816,0.0002359570360534742,0.00022219797651406434,0.0008422596875311147,0.0014817348211237872,-0.020224952277788387,-0.018683549865639536,-0.0,-0.0,-0.0,-0.0,-0.0013104067949047504,-0.0012369976760662003
21,-0.00027028368056316524,0.0020107877113323142,-0.005173953895225822,-0.0010614625676505435,-0.00030723643398870935,0.00023102993829418375,0.00021931355939233235,0.0008426016329139921,0.001522132846509232,-0.02070322763313814,-0.019120826539752035,-0.0,-0.0,-0.0,-0.0,-0.0013090016795417043,-0.001241128053442858
22,-0.0002668186892115323,0.0020587460721888905,-0.0052715085293890285,-0.001058465328845358,-0.00030927911462626777,0.00022637840088989423,0.00021659033760668627,0.0008429241836851175,0.0015602471106247527,-0.02115467165668784,-0.01953358928096294,-0.0,-0.0,-0.0,-0.0,-0.001307309834848992,-0.0012444188693647624
23,-0.00026355043892911916,0.0021039812112598204,-0.005363523683832683,-0.001055638248986457,-0.00031120743024491107,0.00022198675207198035,0.00021401914877128747,0.0008432283957141968,0.0015962051711778985,-0.021580802763252534,-0.019923227041353866,-0.0,-0.0,-0.0,-0.0,-0.0013054210446383208,-0.0012470089335730246
24,-0.00026046793082186957,0.002146645161495352,-0.005450308578958844,-0.0010529717850555828,-0.0003130278902274261,0.00021784019149422715,0.0002115913505133072,0.0008435152625637857,0.0016301273285162703,-0.02198305427248208,-0.020291051041792366,-0.0,-0.0,-0.0,-0.0,-0.001303405326016007,-0.0012490155296372126
25,-0.00025756077891973247,0.002186881313472903,-0.005532154825305861,-0.0010504569013383867,-0.00031474665254719935,0.00021392472451733013,0.00020929878414255394,0.0008437856967527723,0.0016621270390493382,-0.022362779225452715,-0.020638299169127832,-0.0,-0.0,-0.0,-0.0,-0.0013013169769995289,-0.0012505376777047555
26,-0.00025481917293112964,0.0022248248990797007,-0.005609337401436234,-0.0010480850326270344,-0.00031636955315334306,0.000210227110713531,0.0002071337531663582,0.00084404052842186,0.0016923112983137523,-0.02272125493033192,-0.02096614013302835,-0.0,-0.0,-0.0,-0.0,-0.0012991978066845633,-0.0012516589033446936
27,-0.00025223383526379805,0.0022606034537103028,-0.005682115569120238,-0.0010458480279520168,-0.0003179021359809466,0.0002067348042765065,0.00020508899991588452,0.0008442804893186125,0.0017207810083162414,-0.023059687249312993,-0.021275677380166835,-0.0,-0.0,-0.0,-0.0,-0.001297079706499984,-0.001252449582772096
28,-0.0002497959766496544,0.002294337255090431,-0.00575073373292956,-0.0010437380869626658,-0.00031934968916749767,0.00020343589137337167,0.00020315768774398566,0.000844506190471048,0.0017476313269083577,-0.02337921463983562,-0.021567952780928826,-0.0,-0.0,-0.0,-0.0,-0.0012949866919606454,-0.0012529689256188317
29,-0.00024749724497434014,0.0023261397442986605,-0.005815422242543671,-0.0010417476743339283,-0.0003207172898987339,0.00020031901671242232,0.00020133338727516587,0.0008447180836182882,0.0017729520044970945,-0.023680911960144543,-0.021843950093391216,-0.0,-0.0,-0.0,-0.0,-0.0012929365147346615,-0.0012532666444032652
30,-0.0002453296638049883,0.00235611793303807,-0.005876398137630871,-0.0010398694027656632,-0.00032200986409086353,0.00019737329349560904,0.0001996100695345267,0.0008449164000139697,0.001796827711874806,-0.02396579404700675,-0.02210459820857068,-0.0,-0.0,-0.0,-0.0,-0.001290941922179708,-0.0012533843500763956
31,-0.0002432855534032401,0.0023843728040368406,-0.005933865831783044,-0.0010380958649591951,-0.0003232322695670377,0.00019458818529283957,0.00019798210825939022,0.0008451010532498534,0.001819338365816912,-0.024234819069697575,-0.022350774174375358,-0.0,-0.0,-0.0,-0.0,-0.00128901162074629,-0.001253356702656654
32,-0.00024135742401136252,0.002410999713760475,-0.0059880177292820054,-0.0010364193867196695,-0.0003243894164946707,0.00019195334299132395,0.00019644429558431052,0.0008452714871110618,0.0018405594614279248,-0.024488891659417592,-0.02258330598840096,-0.0,-0.0,-0.0,-0.0,-0.0012871509807308946,-0.0012532123351450019
33,-0.000239537825804298,0.002436088810809029,-0.006039034763720338,-0.001034831658523951,-0.0003254864461211066,0.00018945837032646054,0.00019499187679340607,0.0008454264393431677,0.0018605624244472602,-0.024728865806135564,-0.022802975138310002,-0.0,-0.0,-0.0,-0.0,-0.001285362500728111,-0.0012529745563837414
34,-0.00023781913262783562,0.002459725489066679,-0.0060870868411891975,-0.0010333231829375601,-0.0003265289999950656,0.00018709247720651243,0.00019362061192152762,0.0008455635785609736,0.0018794150024652842,-0.02495554750468628,-0.02301051885262186,-0.0,-0.0,-0.0,-0.0,-0.0012836460294259704,-0.0012526618233757207
35,-0.00023619322677092527,0.0024819909024524503,-0.006132333162295854,-0.001031882448182273,-0.00032752362824313533,0.00018484395811547925,0.00019232687354374953,0.0008456789530071306,0.001897181721832265,-0.025169697117742494,-0.023206632002706735,-0.0,-0.0,-0.0,-0.0,-0.0012819987186017917,-0.001252287954793419
36,-0.00023465104028525503,0.0025029625774604437,-0.006174922387429142,-0.001030494705977111,-0.00032847840895639056,0.0001826994001186056,0.0001911077892739095,0.0008457661678658356,0.001913924446425825,-0.02537203140435289,-0.023391968568508698,-0.0,-0.0,-0.0,-0.0,-0.0012804146537772948,-0.0012518620348135456
37,-0.0002331818979198895,0.002522715168198597,-0.0062149926013895605,-0.0010291402031626315,-0.00032940388268342427,0.00018064247699098573,0.00018996142898874976,0.0008458151882832041,0.0019297030829644188,-0.025563225139891777,-0.023567142549289967,-0.0,-0.0,-0.0,-0.0,-0.0012788840802535107,-0.0012513879324838279
38,-0.0002317726076390205,0.0025413213986515905,-0.00625267103588525,-0.0010277917191925518,-0.00033031444552588437,0.0001786521181628378,0.0001888870079423258,0.0008458106670444801,0.0019445764774368775,-0.025743912231848482,-0.02373272817974909,-0.0,-0.0,-0.0,-0.0,-0.0012773921222382992,-0.001250863346356613
39,-0.00023040628342049782,0.00255885320805816,-0.00628807354530563,-0.0010264113680654452,-0.0003312303833076085,0.00017669975100465367,0.00018788499818784776,0.0008457297687762044,0.001958603517888039,-0.025914686233085266,-0.0238892593392833,-0.0,-0.0,-0.0,-0.0,-0.0012759169109847885,-0.0012502783051142924
40,-0.00022906102635337258,0.0025753830077102514,-0.006321303960609943,-0.001024947011495682,-0.0003321807407113146,0.0001747452087422544,0.00018695684498913032,0.0008455397282550309,0.0019718443498361344,-0.026076100215976415,-0.024037228214997194,-0.0,-0.0,-0.0,-0.0,-0.0012744271698408027,-0.0012496131835204678
41,-0.00022770898555722562,0.0025909846541636253,-0.006352453803419849,-0.0010233297163051982,-0.00033320712977499644,0.0001727308058847774,0.00018610352218397102,0.0008451961237030517,0.0019843613038146735,-0.02622866621026961,-0.02417708383003126,-0.0,-0.0,-0.0,-0.0,-0.0012728797314129955,-0.0012488366995168656
42,-0.00022631731572603255,0.00260573297781184,-0.006381603735324556,-0.0010214764219810956,-0.00033436820982731414,0.0001705731060703663,0.00018532109904840677,0.000844644716031842,0.0019962183602686414,-0.026372855090173147,-0.024309232516366772,-0.0,-0.0,-0.0,-0.0,-0.0012712186051459943,-0.0012479054360836578
43,-0.0002248549174305195,0.0026196988783244906,-0.006408830234512461,-0.0010193084897945454,-0.00033574348650616104,0.00016815229941146822,0.00018458910312258616,0.000843834156274424,0.0020074761307011047,-0.02650909952756663,-0.024434046012122398,-0.0,-0.0,-0.0,-0.0,-0.0012693800242932261,-0.0012467690699437181
44,-0.00022331430184263822,0.0026329327829113206,-0.006434225849445831,-0.0010168117829620039,-0.00033743229723923857,0.00016530049021212624,0.0001838421615365029,0.0008427571116162698,0.0020181750764131424,-0.02663780674106543,-0.024551891275316654,-0.0,-0.0,-0.0,-0.0,-0.0012673144998763895,-0.001245391667913475
45,-0.00022177017075475014,0.0026454197459120673,-0.006457952169564952,-0.0010141975498353733,-0.0003395371648524973,0.00016179402525092404,0.00018290377936935678,0.0008415603625814871,0.002028290085131603,-0.02675939673413271,-0.024663214589648905,-0.0,-0.0,-0.0,-0.0,-0.0012650519308856241,-0.001243813457488306
46,-0.00022052243083682595,0.002656968326745668,-0.0064803658014221275,-0.001012294979385213,-0.0003421052476465534,0.0001573645848092356,0.00018133659394196764,0.0008408133616801231,0.0020376183816994855,-0.026874391974984244,-0.024768740591007785,-0.0,-0.0,-0.0,-0.0,-0.001262868565322381,-0.001242308108277163
47,-0.00022040800812584926,0.002666949722151879,-0.006502251721921914,-0.0010134044165292643,-0.00034496750266085267,0.0001517666837745418,0.00017812695528210282,0.0008420909684179971,0.0020455204357647506,-0.02698342224146317,-0.02486966102338885,-0.0,-0.0,-0.0,-0.0,-0.0012616694399713,-0.0012417426440520507
48,-0.00022305880518790522,0.0026737214788982258,-0.006524215141761588,-0.0010219513360479996,-0.00034735576503568165,0.00014499492702819524,0.00017135519853575626,0.0008484011479346305,0.0020504206312027444,-0.02708322845361887,-0.024962695478798206,-0.0,-0.0,-0.0,-0.0,-0.0012634921243748153,-0.001244069958288395
