t,Y,cR,cW,cP,pi,R,r,X,q,hW,bW,A,j,u,TP,dP,dW
10,2.8280274009706442e-05,-0.0001409879651790315,-8.259191740217943e-05,0.0014096761348709615,-2.6755051601431656e-06,2.6925429828328357e-06,5.147723051980124e-06,6.080828469415619e-07,-0.0001357352355601554,-9.504319985198636e-05,-0.00023067004870336218,-0.0,-0.0,-0.0,0.02993684696191893,0.04832860963674319,0.020112857386040697
11,2.6734847559272354e-05,-0.00013584024212705137,-7.457842040884298e-05,0.0013390905720151352,-2.455180069147456e-06,2.7403928904435567e-06,4.995312753806971e-06,5.529516601640643e-07,-0.0001304791257993957,-7.191015404378234e-05,-0.00020230958491757335,-0.0,-0.0,-0.0,0.028440004613822983,0.04720183419253653,0.019945914915609785
12,2.52659821827245e-05,-0.0001308449293732444,-6.720076623280807e-05,0.0012720171525007911,-2.254919863363408e-06,2.7867740511450296e-06,4.853974961542436e-06,5.178316839433447e-07,-0.00012540411811998398,-5.094644102527187e-05,-0.00017629676223880877,-0.0,-0.0,-0.0,0.027018004383131834,0.045873444024590405,0.01966150584292549
13,2.388166219535955e-05,-0.00012599095441170196,-6.0404030743436544e-05,0.0012083135165661776,-2.067200910397393e-06,2.8167090832782834e-06,4.710315974666238e-06,4.786766448639866e-07,-0.00012049634625199448,-3.1983755586807343e-05,-0.00015244975206269522,-0.0,-0.0,-0.0,0.02566710416397524,0.0444051140405305,0.019284377527390487
14,2.257243044972196e-05,-0.00012128063843703573,-5.415194083157152e-05,0.0011477975858816191,-1.8936068913879147e-06,2.83775972512201e-06,4.569984239053724e-06,4.447058976209179e-07,-0.00011575568050122188,-1.4867287134094869e-05,-0.00013061375509524663,-0.0,-0.0,-0.0,0.024383748955776476,0.042845113449034494,0.018835206836405837
15,2.133604538988172e-05,-0.00011671065419798201,-4.8404749451474045e-05,0.0010903148517568166,-1.7322245139319059e-06,2.8484892172722394e-06,4.4310884974530795e-06,4.120602651547861e-07,-0.00011117648372209806,5.477616992606523e-07,-0.0001106385381432038,-0.0,-0.0,-0.0,0.023164561507987652,0.04123104469498487,0.018331231422043293
16,2.016775590185346e-05,-0.00011227956570052893,-4.312769991294251e-05,0.00103571128997455,-1.5825992801807704e-06,2.8508854815244005e-06,4.294664870615889e-06,3.8204364452564867e-07,-0.0001067552113450116,1.4395820398911601e-05,-9.238628685401293e-05,-0.0,-0.0,-0.0,0.02200633343258827,0.039592025787018356,0.01778678139417768
17,1.9064111021767225e-05,-0.00010798490082991304,-3.8287464755573566e-05,0.0009838434535912365,-1.443779389091495e-06,2.8454795505270724e-06,4.160560123083582e-06,3.5394193820165313e-07,-0.00010248744238230864,2.6802041559842297e-05,-7.572758704929684e-05,-0.0,-0.0,-0.0,0.020906016760958854,0.03795043604498308,0.01721373197898209
18,1.8021442877356962e-05,-0.00010382434070682946,-3.38533326619521e-05,0.0009345739597218562,-1.3150805725564517e-06,2.8332752130946e-06,4.029055258080097e-06,3.2784927679588347e-07,-9.836906848605533e-05,3.788276247528666e-05,-6.0542137045706805e-05,-0.0,-0.0,-0.0,0.019860715922910912,0.036323309335680516,0.01662188685143469
19,1.7036447243555823e-05,-9.979528544874937e-05,-2.9796540057049212e-05,0.0008877727524321565,-1.195780044985553e-06,2.814997235547259e-06,3.900229269901591e-06,3.0355535294053996e-07,-9.439584426291334e-05,4.7746157839510884e-05,-4.671765227516846e-05,-0.0,-0.0,-0.0,0.018867680126765367,0.03472344674788828,0.01601930344916463
20,1.61059391419007e-05,-9.589505617884778e-05,-2.6090345901691295e-05,0.0008433161172052865,-1.0852320343542967e-06,2.7913948706258403e-06,3.7742121381562437e-06,2.8098360734795513e-07,-9.056358084477773e-05,5.649276404733946e-05,-3.4149532777158594e-05,-0.0,-0.0,-0.0,0.017924296120427098,0.03316030441029345,0.01541256866676028
21,1.5226933736762742e-05,-9.212084404069154e-05,-2.2709826152948592e-05,0.0008010866040928544,-9.828172675305185e-07,2.76312996743088e-06,3.651087461348629e-06,2.6001954044424405e-07,-8.686808468634184e-05,6.421600406394116e-05,-2.274027874525073e-05,-0.0,-0.0,-0.0,0.01702808131440574,0.03164070173810247,0.014807032544145279
22,1.4396599543720059e-05,-8.846975657934291e-05,-1.96317902001604e-05,0.0007609726151440253,-8.879574939176703e-07,2.7308288675331513e-06,3.5309326134013907e-06,2.4057998004242384e-07,-8.330519534784312e-05,7.100266502842008e-05,-1.2399050930830855e-05,-0.0,-0.0,-0.0,0.016176677248685455,0.0301693860445876,0.01420700623119678
23,1.3612261954918323e-05,-8.493882396594152e-05,-1.6834660460063635e-05,0.0007228681440744421,-8.001037458685565e-07,2.69507052575769e-06,3.4138042757505358e-06,2.225888758264576e-07,-7.987078334584952e-05,7.693335005366198e-05,-3.0412174150267814e-06,-0.0,-0.0,-0.0,0.015367843386251181,0.028749482374157267,0.013615929640399562
24,1.2871386566366283e-05,-8.152501969019098e-05,-1.4298377357357748e-05,0.0006866724738825569,-7.187337499928634e-07,2.656401077047377e-06,3.2997448115713914e-06,2.0599201929411337e-07,-7.656076319293826e-05,8.208289805775039e-05,5.412052705178759e-06,-0.0,-0.0,-0.0,0.014599451216938621,0.02738285159262909,0.013036513356664642
25,1.2171569389660925e-05,-7.822527487861959e-05,-1.200430514461197e-05,0.0006522899061019592,-6.433437345236985e-07,2.6153403353229953e-06,3.188779506360307e-06,1.907597615222648e-07,-7.337110054100026e-05,8.652077590174062e-05,1.3034173780496194e-05,-0.0,-0.0,-0.0,0.013869478656091689,0.026070375175698327,0.012470858697625696
26,1.1510522257935645e-05,-7.503649537225928e-05,-9.935148515809106e-06,0.0006196294889645246,-5.734391710373876e-07,2.572395364628671e-06,3.080916047351212e-06,1.7689963500306038e-07,-7.029782261488414e-05,9.031144242295116e-05,1.989349673567214e-05,-0.0,-0.0,-0.0,0.013176004723287104,0.024812181436484317,0.011920559227242241
