horizon,agent_type,estimate,conf_low,conf_high,region
16,Ricardian,-0.4751695511409804,-1.3076134221620148,0.3572743198800539,Northeast
16,PH2M,-0.3826862969857012,-1.7210160371474488,0.9556434431760463,Northeast
16,WH2M,-0.14260743525223085,-1.8765040435178963,1.5912891730134346,Northeast
17,Ricardian,0.2284218126367808,-0.47044638109451503,0.9272900063680767,Northeast
17,PH2M,0.10971917906239928,-1.3544339833811136,1.5738723415059122,Northeast
17,WH2M,0.08400762995332867,-1.0571294869133392,1.2251447468199967,Northeast
18,Ricardian,0.5931160232891567,-0.275885172926434,1.4621172195047474,Northeast
18,PH2M,0.09962051978848657,-1.8139817078407767,2.0132227474177498,Northeast
18,WH2M,0.5105982974145218,-0.9832408603455773,2.004437455174621,Northeast
19,Ricardian,0.6295356687230493,-0.1030618697536505,1.3621332071997492,Northeast
19,PH2M,-1.452889259345216,-4.332711714281309,1.4269331955908775,Northeast
19,WH2M,2.1030679802064447,-0.3371180798477589,4.543254040260648,Northeast
20,Ricardian,-0.4480885505565657,-2.0203854296131305,1.124208328499999,Northeast
20,PH2M,-1.4256165656636597,-3.5372778705723777,0.6860447392450584,Northeast
20,WH2M,1.013497823831935,-1.1475197043319134,3.174515351995783,Northeast
21,Ricardian,-0.7411695760890991,-2.420705481152565,0.9383663289743669,Northeast
21,PH2M,-0.2771876485780922,-2.430003195499078,1.8756278983428936,Northeast
21,WH2M,-0.3832199280357223,-2.5346637612485297,1.768223905177085,Northeast
22,Ricardian,-0.8279378819214468,-2.5993125723240267,0.943436808481133,Northeast
22,PH2M,-2.057447209801304,-4.984217532731343,0.8693231131287349,Northeast
22,WH2M,1.270654425471963,-1.5356445907547633,4.07695344169869,Northeast
23,Ricardian,-1.038522025566243,-3.3137903251483145,1.2367462740158282,Northeast
23,PH2M,-0.1644826927931491,-3.85935948818001,3.530394102593712,Northeast
23,WH2M,-0.7738581403690754,-3.6306260063108935,2.0829097255727422,Northeast
24,Ricardian,-0.7322299138264688,-2.3294274517940963,0.8649676241411585,Northeast
24,PH2M,-0.7742260522529234,-3.4066464557793985,1.8581943512735517,Northeast
24,WH2M,0.12790128755107322,-1.9985256620421978,2.2543282371443443,Northeast
0,Ricardian,1.1355875306886063,-3.314655135130673,5.585830196507885,South
0,PH2M,-1.1412436003852704,-7.344330780583515,5.061843579812974,South
0,WH2M,2.2267833872402227,-2.2798782368098354,6.73344501129028,South
1,Ricardian,5.419126202942903,0.9606111707760201,9.877641235109785,South
1,PH2M,0.28790611556571566,-5.445713138645923,6.021525369777354,South
1,WH2M,5.045260500645092,0.504755444027924,9.58576555726226,South
2,Ricardian,4.248313284711113,-3.588138271421202,12.084764840843427,South
2,PH2M,-0.3834554670159225,-10.878978537419309,10.112067603387464,South
2,WH2M,4.528402455832666,-3.2962084443825646,12.353013356047896,South
3,Ricardian,7.964954663454623,1.113720170490895,14.816189156418352,South
3,PH2M,0.47302623123932985,-7.661105970890316,8.607158433368976,South
3,WH2M,7.385550253984988,0.11827638568529508,14.652824122284681,South
4,Ricardian,1.7911496374385174,-4.896038130474807,8.47833740535184,South
4,PH2M,-0.2345038292009436,-8.465272050191992,7.9962643917901035,South
4,WH2M,1.9235756783052227,-5.8652045647472875,9.712355921357734,South
5,Ricardian,2.8216461203952385,-5.205915063593714,10.84920730438419,South
5,PH2M,-1.089516911564559,-10.546185209413341,8.367151386284224,South
5,WH2M,3.806128472871771,-4.7633169210794915,12.375573866823034,South
6,Ricardian,4.922034351625973,0.01140729000634444,9.832661413245601,South
6,PH2M,0.1990458767507599,-5.869505914146112,6.267597667647632,South
6,WH2M,4.604907887936405,-0.9553261888344942,10.165141964707304,South
7,Ricardian,-3.70964210092993,-6.420731324487706,-0.9985528773721541,South
7,PH2M,-3.4244188386233896,-7.462100732464266,0.6132630552174865,South
7,WH2M,-0.3337205579302527,-3.089995772206366,2.4225546563458606,South
8,Ricardian,-5.523710191227078,-7.378200677212765,-3.6692197052413915,South
8,PH2M,-2.820724856134847,-5.117725923127235,-0.523723789142458,South
8,WH2M,-2.7608174191378567,-4.903450020038767,-0.618184818236946,South
9,Ricardian,-5.449678037846934,-6.92093250932427,-3.9784235663695973,South
9,PH2M,-2.799241290609413,-6.022839535566696,0.42435695434787,South
9,WH2M,-2.667605584609115,-4.686648482330931,-0.6485626868872991,South
10,Ricardian,-4.067252526685723,-6.004111394385441,-2.130393658986006,South
10,PH2M,-3.437141241107422,-5.846509433307238,-1.0277730489076053,South
10,WH2M,-0.6074622232986395,-3.130675218168909,1.9157507715716298,South
11,Ricardian,-5.326696303404109,-8.738080190309304,-1.9153124164989133,South
11,PH2M,-3.47941539185039,-7.774807690015869,0.8159769063150897,South
11,WH2M,-1.80723856247611,-5.256323273208396,1.6418461482561764,South
12,Ricardian,0.36557406847134705,-5.994195823707312,6.725343960650006,South
12,PH2M,-0.8219226654921279,-9.496453272036035,7.8526079410517795,South
12,WH2M,1.1978796928994668,-5.091624830410864,7.487384216209798,South
13,Ricardian,-0.8919036294482748,-6.735045651968701,4.951238393072151,South
13,PH2M,-1.4005514641971857,-8.707931467327711,5.906828538933341,South
13,WH2M,0.4375734222710278,-5.5274191801019406,6.4025660246439955,South
