horizon,agent_type,estimate,conf_low,conf_high,uf_code,region
20,WH2M,-107.1729981935141,-130.3155861771599,-84.03041020986832,33,Southeast
21,Ricardian,0.5436008108570363,-6.218599753638036,7.305801375352108,33,Southeast
21,PH2M,8.377831464337689,-5.5991607058564234,22.3548236345318,33,Southeast
21,WH2M,-7.775564775726782,-16.650601083811026,1.0994715323574606,33,Southeast
22,Ricardian,17.729630559956654,12.528936466347123,22.930324653566185,33,Southeast
22,PH2M,10.298927359887651,-1.831355652320953,22.429210372096257,33,Southeast
22,WH2M,7.479276294965095,-0.6619464518015743,15.620499041731764,33,Southeast
23,Ricardian,17.711480784999488,5.882689280753404,29.54027228924557,33,Southeast
23,PH2M,-6.942599871145934,-36.026763804537836,22.14156406224597,33,Southeast
23,WH2M,24.733943645513413,5.7923460270006295,43.675541264026194,33,Southeast
24,Ricardian,32.472402336994165,23.963416050034173,40.98138862395416,33,Southeast
24,PH2M,-28.195402946636968,-50.02630508833506,-6.364500804938878,33,Southeast
24,WH2M,60.717852562986955,46.124858990662986,75.31084613531092,33,Southeast
0,Ricardian,0.37621729997960784,-8.131058578825437,8.883493178784652,35,Southeast
0,PH2M,-3.914687203072285,-13.992652434364182,6.163278028219612,35,Southeast
0,WH2M,4.262579046374082,-5.14857343716935,13.673731529917514,35,Southeast
1,Ricardian,14.06383424234442,-0.5126360392592915,28.64030452394813,35,Southeast
1,PH2M,-2.079998371755753,-19.773219502484345,15.613222758972839,35,Southeast
1,WH2M,16.159638134169416,0.5144513530976518,31.80482491524118,35,Southeast
2,Ricardian,13.921805720029685,-0.3113275956791668,28.154939035738536,35,Southeast
2,PH2M,9.17946610759304,-7.920522472852934,26.279454688039014,35,Southeast
2,WH2M,4.76465049184133,-11.153470731397467,20.68277171508013,35,Southeast
3,Ricardian,25.401893101282887,12.221157984765005,38.58262821780077,35,Southeast
3,PH2M,6.404274870605018,-8.962269125808245,21.77081886701828,35,Southeast
3,WH2M,18.997932714854677,4.094729368688302,33.90113606102105,35,Southeast
4,Ricardian,22.152568384226292,2.5839599613212485,41.721176807131336,35,Southeast
4,PH2M,2.3109836359626925,-20.41292225645191,25.034889528377295,35,Southeast
4,WH2M,19.841169792667586,-1.85056094918248,41.53290053451765,35,Southeast
