region,horizon,coefficient,estimate,std_error,conf_low,conf_high
Southeast,18,ricardian,1.2393837701247523,0.8397040016166079,-0.42578077621953225,2.904548316469037
Southeast,18,ph2m_diff,-8.183503486297385,4.504421085444523,-17.115939533818434,0.748932561223663
Southeast,18,wh2m_diff,1.2740659308476348,0.6458853350308732,-0.006748926324100513,2.55488078801937
Southeast,19,ricardian,3.307926320536458,0.8412036150505635,1.63900230699709,4.976850334075825
Southeast,19,ph2m_diff,-19.590143110864577,5.789672199116502,-31.076687855499337,-8.103598366229818
Southeast,19,wh2m_diff,1.383907763268739,0.9318500144034783,-0.46485612484352345,3.2326716513810014
Southeast,20,ricardian,1.7936332587936592,2.6055818653077343,-3.3784058662296133,6.965672383816932
Southeast,20,ph2m_diff,-12.282842908373672,15.035131737605713,-42.12734352919439,17.56165771244705
Southeast,20,wh2m_diff,2.050325083507937,1.0869956519945179,-0.10734423239430546,4.207994399410179
Southeast,21,ricardian,2.978938114942161,1.5977872750764122,-0.19440532948573264,6.152281559370055
Southeast,21,ph2m_diff,-14.388990435821226,9.584233261125034,-33.42410497420956,4.646124102567109
Southeast,21,wh2m_diff,-1.2001044327393866,1.0367020192989962,-3.259084128024729,0.8588752625459559
Southeast,22,ricardian,4.059549062085976,0.3802995726468959,3.303783575765175,4.815314548406777
Southeast,22,ph2m_diff,-24.525583573286426,2.348164609781412,-29.192067303260263,-19.85909984331259
Southeast,22,wh2m_diff,2.0277995830833575,0.28586512592276087,1.459702715628369,2.595896450538346
Southeast,23,ricardian,1.1906944359501506,0.4365873844907903,0.32249254267212457,2.0588963292281766
Southeast,23,ph2m_diff,-5.0701491192375405,3.161623742584585,-11.357384657081164,1.2170864186060832
Southeast,23,wh2m_diff,-1.014632354290143,0.7030102365502992,-2.4126453066769473,0.38338059809666136
Southeast,24,ricardian,1.4042817013342714,0.6947486765925923,0.02168777308241876,2.786875629586124
Southeast,24,ph2m_diff,-6.132606221146832,5.047811043557112,-16.178070336334073,3.9128578940404077
Southeast,24,wh2m_diff,-1.2424514723333029,1.0238946499947665,-3.280066762506011,0.7951638178394054
South,0,ricardian,1.1355875306886063,2.2494372940444336,-3.314655135130673,5.585830196507885
South,0,ph2m_diff,-12.296430625766796,12.023328046664894,-36.083147241550236,11.490285990016648
South,0,wh2m_diff,4.100813141658801,1.7900952357322533,0.5593238034020427,7.642302479915559
South,1,ricardian,5.419126202942903,2.2531185658809396,0.9606111707760201,9.877641235109785
South,1,ph2m_diff,-27.71206479428945,10.076179486984604,-47.65100559830677,-7.773123990272136
South,1,wh2m_diff,-1.405021267257566,2.0238606386331797,-5.409876234501096,2.5998336999859637
South,2,ricardian,4.248313284711113,3.9592433079025318,-3.588138271421202,12.084764840843427
South,2,ph2m_diff,-25.014689211203496,19.471598907724662,-63.55443776776773,13.525059345360738
South,2,wh2m_diff,1.0526005454248657,1.9222971604873136,-2.7521640025336462,4.857365093383377
South,3,ricardian,7.964954663454623,3.460632335392131,1.113720170490895,14.816189156418352
