uf_code,region,horizon,coefficient,estimate,std_error,conf_low,conf_high
28,Northeast,12,ricardian,-1.1210365021646225,2.0730150709987534,-5.184071380730922,2.9419983764016773
28,Northeast,12,ph2m_diff,-5.056411011687903,9.035698162967433,-22.7660539862788,12.653231962902993
28,Northeast,12,wh2m_diff,9.212461778770066,2.2079861509070273,4.884888444629072,13.54003511291106
28,Northeast,13,ricardian,-3.709018121802736,2.2949931953486047,-8.207122129450498,0.7890858858450263
28,Northeast,13,ph2m_diff,29.272898565295968,11.632480385880603,6.473655958101396,52.07214117249054
28,Northeast,13,wh2m_diff,-11.815638241946331,2.230393031470034,-16.187128254996708,-7.444148228895953
28,Northeast,14,ricardian,-0.5819672477361584,3.3875688741655425,-7.22148023624952,6.057545740777203
28,Northeast,14,ph2m_diff,-0.5665462205867584,19.27368889477592,-38.34228230357716,37.20918986240364
28,Northeast,14,wh2m_diff,2.80409065851779,4.473507058025627,-5.963822059798172,11.572003376833752
28,Northeast,15,ricardian,-5.000525035492702,2.151347171629186,-9.217088010128016,-0.7839620608573874
28,Northeast,15,ph2m_diff,15.821229347068392,9.431515628373997,-2.6642016041713,34.30666029830809
28,Northeast,15,wh2m_diff,6.1308276877065815,1.8455694007999974,2.5135781311694183,9.748077244243746
28,Northeast,16,ricardian,0.899987504427787,2.540757947973864,-4.079806567034879,5.879781575890453
28,Northeast,16,ph2m_diff,1.1857533838813978,15.080786308975105,-28.372044640254543,30.74355140801734
28,Northeast,16,wh2m_diff,-5.253401877894774,3.5348593049122528,-12.181598805939078,1.6747950501495303
28,Northeast,17,ricardian,-1.1635987786209396,2.1671892684837255,-5.411211692530747,3.084014135288868
28,Northeast,17,ph2m_diff,12.041139646880147,8.813137939258189,-5.232293304849453,29.314572598609747
28,Northeast,17,wh2m_diff,-6.356799782883449,1.5467128432602006,-9.388301250098989,-3.32529831566791
28,Northeast,18,ricardian,6.151814531881457,2.151050244417866,1.9358335238863589,10.367795539876555
28,Northeast,18,ph2m_diff,-24.285593113001298,7.719778889003528,-39.41608170406084,-9.15510452194175
28,Northeast,18,wh2m_diff,-3.3897201861864845,3.4845276751733794,-10.219268932659393,3.439828560286423
28,Northeast,19,ricardian,9.487625629639107,0.9113517219603904,7.70140907734818,11.273842181930032
28,Northeast,19,ph2m_diff,-44.591482967230554,4.306663889307698,-53.032389083792836,-36.15057685066827
28,Northeast,19,wh2m_diff,1.4278722651042575,1.7517936724044811,-2.0055802411536834,4.861324771362199
28,Northeast,20,ricardian,-150.05972322666832,6.971788627675716,-163.72417784473865,-136.395268608598
28,Northeast,20,ph2m_diff,717.5341811237968,33.44034226738437,651.992314649031,783.0760475985626
28,Northeast,20,wh2m_diff,-38.12353156004,2.730834726633292,-43.475869271972535,-32.771193848107465
28,Northeast,21,ricardian,-108.62647461352222,8.545031092960647,-125.37442780250002,-91.87852142454442
28,Northeast,21,ph2m_diff,537.5758265202556,42.2827843597813,454.7030920090108,620.4485610315005
28,Northeast,21,wh2m_diff,-44.24070729067304,3.6404136398230498,-51.37578691355459,-37.105627667791495
28,Northeast,22,ricardian,-11.542994548745284,10.573099608575152,-32.26588898650712,9.179899889016557
28,Northeast,22,ph2m_diff,44.40768071301437,52.47422765869135,-58.439915614576236,147.255277040605
28,Northeast,22,wh2m_diff,7.022260453592958,4.50385038449315,-1.805124091770491,15.849644998956407
28,Northeast,23,ricardian,28.03887281173199,6.9946689218305895,14.329573641162426,41.74817198230156
28,Northeast,23,ph2m_diff,-135.4989528836278,34.286840957195814,-202.69992630338442,-68.29797946387117
28,Northeast,23,wh2m_diff,8.877378895172157,2.654931705567037,3.673808370847265,14.080949419497049
28,Northeast,24,ricardian,-53.54739015546177,16.88581731493069,-86.64298394224876,-20.451796368674778
28,Northeast,24,ph2m_diff,260.8913995412211,81.95929317520817,100.25413671945364,421.5286623629886
28,Northeast,24,wh2m_diff,-17.813502025134742,5.734260030409801,-29.052445162725505,-6.5745588875439775
29,Northeast,0,ricardian,-27.096822595889343,4.946943268489222,-36.79265323569108,-17.40099195608761
29,Northeast,0,ph2m_diff,68.314825818261,12.130320917371375,44.53983369930023,92.08981793722177
29,Northeast,0,wh2m_diff,50.33608336380141,11.95200723301936,26.910579644121235,73.76158708348157
29,Northeast,1,ricardian,-2.8089364585823713,4.201394463596958,-11.043518292078387,5.425645374913644
29,Northeast,1,ph2m_diff,5.462131455663458,12.117786407263791,-18.28829347492259,29.212556386249503
29,Northeast,1,wh2m_diff,6.635887919033305,10.480662778838553,-13.90583366159974,27.17760949966635
29,Northeast,2,ricardian,5.782586493897059,4.30517385382775,-2.6553992067888377,14.220572194582955
29,Northeast,2,ph2m_diff,12.296791587756864,8.406301408711338,-4.17925641650568,28.77283959201941
29,Northeast,2,wh2m_diff,-34.76329164301735,11.597323076316611,-57.49362718967317,-12.032956096361524
29,Northeast,3,ricardian,-1.4594673188020817,8.62125029422154,-18.35680739718164,15.437872759577479
29,Northeast,3,ph2m_diff,-9.112566500361307,25.882817708742426,-59.84195702791199,41.61682402718937
29,Northeast,3,wh2m_diff,14.285649289608285,23.34613840493234,-31.471941162146486,60.04323974136306
29,Northeast,4,ricardian,1.5634065624585052,14.546919572076941,-26.948031884813112,30.074845009730126
29,Northeast,4,ph2m_diff,-31.331118996350174,44.160513071309275,-117.88413415492664,55.2218961622263
29,Northeast,4,wh2m_diff,21.542091068120836,34.80557978665863,-46.67559177476538,89.75977391100706
29,Northeast,5,ricardian,-3.246960935785909,9.441465637495899,-21.75189354655037,15.257971674978554
29,Northeast,5,ph2m_diff,21.748844830357413,31.853530426101937,-40.68292758525318,84.18061724596801
29,Northeast,5,wh2m_diff,-6.249913194017822,22.107525583471826,-49.57986712492045,37.080040736884804
29,Northeast,6,ricardian,12.248782292365476,4.201845451159429,4.013316539489539,20.484248045241415
29,Northeast,6,ph2m_diff,-49.67828562116001,12.515250193932946,-74.2077252587765,-25.148845983543506
29,Northeast,6,wh2m_diff,-5.754435440204038,11.41284671375651,-28.12320396024311,16.614333079835035
29,Northeast,7,ricardian,-1.3010396929407557,5.844635032929912,-12.756313860264456,10.154234474382946
29,Northeast,7,ph2m_diff,-5.170001773560796,19.84281799845302,-44.061210402311886,33.72120685519029
29,Northeast,7,wh2m_diff,10.26321078516727,12.614799826439228,-14.461342546835741,34.987764117170286
29,Northeast,8,ricardian,6.495009854505959,4.233394337120263,-1.8022905786055716,14.79231028761749
29,Northeast,8,ph2m_diff,-4.100619761157589,14.207120771015346,-31.94606479635859,23.744825274043414
29,Northeast,8,wh2m_diff,-22.970594770152243,6.3221763236857536,-35.36183266848816,-10.579356871816323
29,Northeast,9,ricardian,1.8016496653764906,3.675503252297306,-5.402204334186065,9.005503664939047
29,Northeast,9,ph2m_diff,-6.613748542376184,13.58448585565379,-33.23885156795139,20.01135448319902
29,Northeast,9,wh2m_diff,-1.2199833435330878,7.104912698063758,-15.145356345039355,12.70538965797318
29,Northeast,10,ricardian,-17.60523093764863,2.968549793266012,-23.423481618763837,-11.786980256533425
29,Northeast,10,ph2m_diff,45.529618339821845,9.430443102982524,27.046289499721944,64.01294717992175
29,Northeast,10,wh2m_diff,31.832345076634198,5.967113038577561,20.13701842934281,43.527671723925586
29,Northeast,11,ricardian,-15.439798608094748,3.0550436680620447,-21.427574168693496,-9.452023047496
29,Northeast,11,ph2m_diff,33.63711945440187,9.569360496143561,14.881517526880145,52.39272138192359
29,Northeast,11,wh2m_diff,33.46547010554166,4.325010579135694,24.98860513768098,41.94233507340235
29,Northeast,12,ricardian,-10.25488900780504,3.753677999046523,-17.6119626954966,-2.89781532011348
29,Northeast,12,ph2m_diff,14.840625510284976,7.621924952797403,-0.0980728900650849,29.779323910635036
29,Northeast,12,wh2m_diff,29.476730751495825,10.53221998091035,8.833958911658403,50.119502591333244
29,Northeast,13,ricardian,15.975198090554603,8.869516206396234,-1.408734234276345,33.35913041538555
29,Northeast,13,ph2m_diff,-6.397426433313202,23.05477388304556,-51.58395291579715,38.78910004917075
29,Northeast,13,wh2m_diff,-60.27461238675905,16.427249592620147,-92.47142995334482,-28.07779482017329
29,Northeast,14,ricardian,0.929958599529753,2.4100684326327566,-3.7936887287073473,5.653605927766853
29,Northeast,14,ph2m_diff,26.83435350844512,5.047813313475031,16.940821213352265,36.72788580353797
29,Northeast,14,wh2m_diff,-27.740799735221465,7.889338288951839,-43.20361864341992,-12.277980827023006
29,Northeast,15,ricardian,-12.495640394212717,2.6810465353858994,-17.75039504444497,-7.240885743980463
29,Northeast,15,ph2m_diff,57.37326472775766,11.855420898537956,34.13706674505978,80.60946271045555
29,Northeast,15,wh2m_diff,0.2719092377223653,5.939762902392203,-11.369812127673452,11.913630603118182
29,Northeast,16,ricardian,12.626226808343608,11.234111114415608,-9.392226374232115,34.64467999091933
29,Northeast,16,ph2m_diff,-29.282485167094585,34.10699315062438,-96.13096336327268,37.56599302908351
29,Northeast,16,wh2m_diff,-26.132313049632575,20.927146327239054,-67.1487661502208,14.88414005095564
29,Northeast,17,ricardian,-11.163926702548387,12.228083663293306,-35.13053028254588,12.802676877449102
29,Northeast,17,ph2m_diff,44.41657027684256,41.63772334832754,-37.19186788412192,126.02500843780705
29,Northeast,17,wh2m_diff,6.0226436417899265,18.91818115249523,-31.056310070105177,43.10159735368503
29,Northeast,18,ricardian,18.786928410783094,4.208685905904955,10.538055612968053,27.035801208598137
29,Northeast,18,ph2m_diff,-62.996996478085435,15.5414206474383,-93.45762121565167,-32.5363717405192
29,Northeast,18,wh2m_diff,-20.700836038979627,4.43167310347884,-29.386755713053,-12.014916364906254
29,Northeast,19,ricardian,21.05934848226399,4.860226011064416,11.533480543852964,30.585216420675014
29,Northeast,19,ph2m_diff,-94.34685434863425,13.158549186264349,-120.13713684251121,-68.5565718547573
29,Northeast,19,wh2m_diff,-1.9896271344320784,14.590592209381814,-30.586662377931127,26.607408109066974
29,Northeast,20,ricardian,7.1552934503198315,2.3474494612360797,2.554377050769162,11.756209849870501
29,Northeast,20,ph2m_diff,-60.02388610321886,19.431904995201506,-98.10972004481778,-21.93805216161993
