level,frequency,group,outcome,horizon,n_obs,estimate,std_error,ci_low,ci_high,p_value,shock_sd,irf_pos_1sd,irf_neg_1sd,inference,model_id
state,quarterly,13,consumption_index,1,22,-0.0276594452218811,0.14647962290062905,-0.314759506107114,0.25944061566335186,0.850227673995358,0.1134395615862862,-0.0031376753396900907,0.0031376753396900907,newey-west,state_13_consumption_index
state,quarterly,14,consumption_index,1,22,-0.0019430052329563047,0.09989925404665394,-0.19774554316439802,0.19385953269848538,0.9844824052577055,0.1134395615862862,-0.00022041366178642308,0.00022041366178642308,newey-west,state_14_consumption_index
state,quarterly,15,consumption_index,1,22,-0.09313947987054462,0.09247427950596201,-0.27438906770223015,0.08811010796114092,0.31384186550510496,0.1134395615862862,-0.01056570176288931,0.01056570176288931,newey-west,state_15_consumption_index
state,quarterly,16,consumption_index,1,22,-0.16201997243119876,0.30176562636011234,-0.7534806000970189,0.42944065523462144,0.5913320952231791,0.1134395615862862,-0.018379474640817364,0.018379474640817364,newey-west,state_16_consumption_index
state,quarterly,17,consumption_index,1,22,0.02117527115155345,0.07299897299011095,-0.121902715909064,0.1642532582121709,0.7717578752984577,0.1134395615862862,0.002402113475902957,-0.002402113475902957,newey-west,state_17_consumption_index
state,quarterly,21,consumption_index,1,22,-0.1569576526759303,0.10086866610192212,-0.35466023823569764,0.04074493288383707,0.11969392899827769,0.1134395615862862,-0.017805207307170112,0.017805207307170112,newey-west,state_21_consumption_index
state,quarterly,22,consumption_index,1,22,-0.18806335891255205,0.11027910592334006,-0.40421040652229856,0.028083688697194464,0.08813105109657648,0.1134395615862862,-0.021333824985484293,0.021333824985484293,newey-west,state_22_consumption_index
state,quarterly,23,consumption_index,1,22,-0.0562606731083225,0.11596815541297575,-0.283558257717755,0.17103691150110997,0.6275777602117012,0.1134395615862862,-0.006382186091957466,0.006382186091957466,newey-west,state_23_consumption_index
state,quarterly,24,consumption_index,1,22,-0.0588404938979941,0.08328807800655243,-0.22208512679083686,0.10440413899484864,0.47989616075136965,0.1134395615862862,-0.006674839831308999,0.006674839831308999,newey-west,state_24_consumption_index
state,quarterly,25,consumption_index,1,22,-0.05541639852660823,0.12310583829959697,-0.2967038415938183,0.18587104454060183,0.6526004973806157,0.1134395615862862,-0.006286411953549354,0.006286411953549354,newey-west,state_25_consumption_index
state,quarterly,26,consumption_index,1,22,-0.06845406844887925,0.0785400750906316,-0.2223926156265172,0.0854844787287587,0.3834367823867697,0.1134395615862862,-0.007765399513638488,0.007765399513638488,newey-west,state_26_consumption_index
state,quarterly,27,consumption_index,1,22,-0.0860246273840785,0.10455168268823065,-0.29094592545301057,0.11889667068485356,0.4106244410978528,0.1134395615862862,-0.009758596016073495,0.009758596016073495,newey-west,state_27_consumption_index
state,quarterly,28,consumption_index,1,22,-0.04536676538651436,0.06801345573400215,-0.17867313862515857,0.08793960785212987,0.5047553187671721,0.1134395615862862,-0.005146385976034093,0.005146385976034093,newey-west,state_28_consumption_index
state,quarterly,29,consumption_index,1,22,-0.10891852424397436,0.13823416979903747,-0.3798574970500878,0.1620204485621391,0.43073902809994813,0.1134395615862862,-0.012355669638861736,0.012355669638861736,newey-west,state_29_consumption_index
state,quarterly,31,consumption_index,1,22,-0.1163347809975749,0.0529434752127546,-0.2201039924145739,-0.012565569580575878,0.027996219869450112,0.1134395615862862,-0.013196966553601515,0.013196966553601515,newey-west,state_31_consumption_index
state,quarterly,32,consumption_index,1,22,0.0625758847178847,0.11813285322108032,-0.16896450759543272,0.29411627703120213,0.5963145923300246,0.1134395615862862,0.007098580928270826,-0.007098580928270826,newey-west,state_32_consumption_index
