draw,loss,weighted_mse,h0_sign_penalty,persistence_penalty,impact_cP,impact_cW,mae_lp_controls,mae_lp_income,mae_lp_wealth,mae_term_controls_wh2m,mae_term_controls_ph2m,r_R,r_pi,r_Y,rho_A,rho_j,rho_u,phi,kappa,theta_wP_c,theta_wP_d,theta_wP_tp,theta_wW_c,theta_wW_d,theta_wW_b
632,0.4597715572692108,0.010132970729906706,0.09,0.35963858653930414,-4.9182636729912605,-3.5555042250947313,0.08292920218090463,0.08021864006583954,0.5060964884310605,0.12315972198948504,0.04269868237232423,0.6266009161057156,0.6560506295753376,0.04736452242158737,0.9437491872203005,0.8428396685071392,0.46467366335258614,0.04638474651855748,0.320807849314707,0.31852234786606126,0.12250072047151396,0.4197058838752467,-0.06936444644434503,0.4109628034212116,-1.00443747795694
695,0.45992044363069795,0.010857930434679426,0.06,0.38906251319601853,-5.961645081934667,-4.456490370651956,0.09531698394334723,0.09260642182828212,0.2975445786061661,0.1371011688809623,0.053532799005732136,0.6938550611249563,0.943984323828292,0.12658259437919747,0.99,0.7458567725489984,0.6794086320289154,0.07135302309958295,0.266026852899665,1.3254654027159547,0.15675863251751534,0.213572808151086,0.8758773561433655,-0.4209531045329948,-0.20104267197751835
193,0.46035700105235366,0.01086882768914569,0.06,0.38948817336320796,-5.820796332274677,-4.360207856556842,0.09432143142437013,0.09161086930930501,0.31103796000104456,0.13672819342881817,0.051914669419922094,0.6244415143371034,0.4368317774837977,0.1264857477860417,0.8786055680396968,0.9427119109330009,0.6216794119591914,0.06782982605846953,0.2783151583563947,1.2359378661908964,-0.5171894131880249,0.5143262121339673,0.33277344738447934,0.5012261963413385,0.7116855012712986
3,0.46084866378469846,0.01106111554725783,0.06,0.3897875482374406,-5.986305693369178,-4.526301516271006,0.09539703044385017,0.09268646832878508,0.3453973648521347,0.13752895638294435,0.05326510450475598,0.6750954491486827,0.7592011373820134,0.13647606240731042,0.9127932829086473,0.8888857353507154,0.528508432468772,0.07444088827058822,0.2729296224614002,1.1734716392139906,0.37877293550312424,-0.8742934919133999,0.8081972701856193,-0.2822235925756773,-0.3833267089460051
932,0.46106482906818436,0.008997442382668037,0.09,0.36206738668551636,-4.948965120807972,-3.3542227404199987,0.08451784943724694,0.08180728732218184,0.34131879000503695,0.12357739971935612,0.045458299155137764,0.6562446316178245,0.7505823774118532,0.1466783314637943,0.8222233337056382,0.8484075937998311,0.34077561247556853,0.034594941275260485,0.27101017285673124,0.5615581692203161,0.04953242317219087,0.039934194261731955,0.5078910163846955,0.3407846752945985,-0.458493901983739
878,0.46131138919154135,0.01097276559481271,0.06,0.39033862359672866,-5.912603147618117,-4.414255219991582,0.09522479705830543,0.09251423494324032,0.3349028959723167,0.13735181123991638,0.05309778287669449,0.6579285004064237,0.6817821002814448,0.09954302687394567,0.92041512856514,0.98,0.45273516313185364,0.06921594585890625,0.26995307094172527,1.0144346218379081,-0.09912307243891429,-0.5144504678109324,1.201083969569473,-0.17324504995163312,-0.5428800502432356
767,0.4615324677616518,0.010267093456395437,0.06,0.3912653743052564,-4.936525336870088,-3.338478857763837,0.08988932877114529,0.08717876665608018,0.3170727593078229,0.13377795279253432,0.04600070474975625,0.6508659257354739,0.4404317908578874,0.1851907523203788,0.9660680059530087,0.7452222327999387,0.22765827244648323,0.025708757362768918,0.3060686049353494,0.9599661166103002,0.10820864805322018,-0.3140066509653587,1.6084534748258585,0.20591508105278178,0.3518780834182812
521,0.46227898109766474,0.011708714904842486,0.06,0.39057026619282226,-5.701144224513226,-4.333583207059245,0.09348845868551198,0.09077789657044687,0.4238936364012627,0.13698896585343578,0.04998795151758815,0.6953287234397306,0.8415427786181929,0.15337543914336454,0.8684135580523248,0.8628268935891036,0.7374677519366775,0.0669812239422547,0.30734525682254293,1.4032929869204245,-0.8765859644130842,0.2761348039237733,0.3899442550968836,-0.35393216441867986,1.2971650687131018
264,0.46234517730987573,0.010697604047210903,0.09,0.36164757326266483,-6.412701872044401,-6.036190506499244,0.08954178502289634,0.08683122290783124,0.3935727918775185,0.13206139235553827,0.047022177690254394,0.681904101897608,0.7728772520735616,0.2749583537136781,0.8459521451206249,0.9391130206747613,0.9170714392361227,0.17336410615969727,0.41619532653231756,1.1697004013407142,-0.03478586920040083,0.8178331521336677,-1.6869639692657192,1.0320843326012277,1.8473320287694706
705,0.462529593183293,0.01133623556295868,0.06,0.3911933576203343,-6.005308199534907,-3.857618160799947,0.09998978532292924,0.09727922320786414,0.3141326415895215,0.13659824897166778,0.06338132167419072,0.6144132311152802,0.5337138951927576,0.10880251231284813,0.9043188141792735,0.8570126232969322,0.4700889450118438,0.04092165449667152,0.14953055873105997,1.3238407103538106,-0.4175387322900244,0.4482739429378653,1.7898639687125173,-0.11274901601580313,-0.6139867684595353
609,0.46295232446128765,0.010825793914793025,0.06,0.3921265305464946,-5.997176864415956,-4.209821431455474,0.09753981348003624,0.09482925136497114,0.21482930306275075,0.13767376665745482,0.05740586030261767,0.7098424952199222,0.9510835795249818,0.24148249703608504,0.987044954244114,0.8821349522322582,0.5044816988722899,0.05754988091362365,0.2162746616261171,0.1310994872184058,-0.6760790146559645,0.029880020713162498,0.8248046431439937,-0.8816650228318107,-0.02239402742984168
234,0.4630918002056569,0.01665144416866552,0.09,0.35644035603699137,-6.35044857357231,-5.9255350252918335,0.08824962924488387,0.08553906712981876,0.8671846495675564,0.1298362414558234,0.04666301703394433,0.6864238343775428,0.7782362212704149,0.33405603196808414,0.6614645901825066,0.3703869824508398,0.5275459652519615,0.17125302058371805,0.4059415925017526,0.35849941162126564,1.0953990452760025,-0.4291597657563049,-1.868529318934124,-1.5356027683937739,-1.8451095950840153
