draw,loss,mse,sign_penalty,persistence_penalty,impact_ph_model,impact_wh_model,r_R,r_pi,r_Y,rho_A,rho_j,rho_u,phi,kappa
75,0.051666057463634056,0.005569558974137353,0.04,0.006096498489496704,-0.04489509281520489,-0.042977896087802975,0.5883495578341945,1.374005595900666,0.26999473213928593,0.7316672872989585,0.46936707392396376,0.13275756822857582,0.1732420567811275,0.22139490963591707
380,0.05167896920798795,0.005168150397210288,0.04,0.006510818810777659,-0.030536100125924864,-0.02663671654558101,0.4727872787678853,0.3336992514375652,0.15488836536714978,0.697921094683739,0.4951667311621977,0.862563019606919,0.05103811356623072,0.3857827453103309
73,0.05193732779914312,0.005362059159559357,0.04,0.006575268639583765,-0.030022080056168018,-0.02095656156603151,0.604303337273727,1.084821596803505,0.20188191913942327,0.8827278143336772,0.8366361972541786,0.152971236924818,0.01,0.24975859469708248
48,0.05194188430712576,0.005459638312860001,0.04,0.006482245994265764,-0.032162408529367935,-0.02138951309694824,0.5568956739654531,1.1620252561169364,0.10363651277688685,0.9073790223930635,0.9320027090339411,0.26927462608751473,0.01,0.16738615662817885
31,0.05211469691235657,0.005491796164540198,0.04,0.006622900747816362,-0.030382775497482774,-0.021152486245506436,0.6032472907982184,1.3132231682641498,0.05584445931861583,0.8249798664337027,0.96,0.9,0.01,0.24506698238902072
437,0.0522706487468165,0.005684368179618371,0.04,0.006586280567198129,-0.035390821583957635,-0.032869899016302884,0.5453199484986372,0.635827213381923,0.19554630991744282,0.9012581643450783,0.7497070949638359,0.6280658605432183,0.08684561861027279,0.3507991673172845
145,0.05241922131490627,0.005732332326828071,0.04,0.006686888988078194,-0.03277131276060039,-0.026010790885394028,0.4912715280532537,0.4820661840354083,0.08611088366525499,0.9127808966666219,0.623163709145559,0.892310765888386,0.0388143641360286,0.2787389389927752
249,0.05251737966639959,0.005858738881191477,0.04,0.006658640785208118,-0.034866436656268374,-0.0282039040657453,0.5664300116690277,0.7625746695698437,0.22072477087026288,0.9334249270735638,0.8171990079168111,0.4192952764923571,0.05117358417846735,0.25238670929625523
36,0.052597560056246107,0.005922522104165355,0.04,0.006675037952080746,-0.035168606551240676,-0.028449564409945036,0.5792677707254297,0.967102282688756,0.1561746114811473,0.8240465411860497,0.7524702994090452,0.5379752774273389,0.05198324497786601,0.2498598819610427
200,0.05263536801879191,0.005998569800856751,0.04,0.006636798217935153,-0.03801029486697335,-0.036758212927772774,0.6397126338042693,1.3953212810078182,0.14889382669003567,0.6717578397807428,0.5094776633420889,0.4280390295319954,0.11067758570923714,0.35163504623560493
154,0.0531968722581643,0.006210511646528214,0.04,0.006986360611636086,-0.03080299554867036,-0.02281595450719613,0.6267209846206439,1.0815872356619096,0.12744047674022918,0.98,0.8414270437516083,0.612688470902983,0.01594609357748706,0.3012755767808049
364,0.05320594653159479,0.0061776425482230595,0.04,0.007028303983371728,-0.02942303343953301,-0.021587783247042365,0.625421549919567,0.9819063062763134,0.13452837776503096,0.8409844786611883,0.8815016131598835,0.4192953713896103,0.01,0.332603670887472
18,0.053482077110308675,0.006616601534181322,0.04,0.006865475576127352,-0.03923961138680016,-0.03522950118729816,0.5457912013448148,0.7771009011550246,0.08317459291012524,0.8715895634037095,0.7383006426547714,0.4797261123560405,0.09029405272377293,0.27816072641572337
193,0.05352871355470272,0.006821450784666236,0.04,0.006707262770036481,-0.04455180404757311,-0.04033031846871731,0.5455624671299997,0.8777770951817704,0.16198874916209394,0.921162383398735,0.8989331587302581,0.33226475410961026,0.12593095359779827,0.20782271821872897
303,0.05363017473170561,0.0066566690481313275,0.04,0.006973505683574278,-0.03753888445172903,-0.03542737637342588,0.5250423063753124,0.5457141166424128,0.07810043991491478,0.98,0.6283599159211545,0.29244548483829624,0.09195685250939545,0.35374274558689633
281,0.053653774919989294,0.006584539910692418,0.04,0.007069235009296873,-0.03257919908294371,-0.023463630260433483,0.6188111971376572,1.15585488067072,0.07680756467584172,0.8285942255115449,0.7960588287413715,0.48701229247365607,0.01588525405644358,0.24905335388774136
65,0.05366143318568546,0.006578463779847216,0.04,0.007082969405838243,-0.033416498543703176,-0.02807664119121976,0.6361640136785519,1.225421815337855,0.033432846392216393,0.6794419102688517,0.6940494496616663,0.2310010434066367,0.04484044225407206,0.3427065016925833
353,0.05367641229358627,0.0066130843149046405,0.04,0.0070633279786816335,-0.03360923134114921,-0.025828916725012883,0.5644951697898789,0.7801598865963052,0.05073990410138668,0.8566117600428527,0.7632656154591245,0.4394467985450877,0.029822513480881923,0.26872071147037796
301,0.05376535021247247,0.00663181393220817,0.04,0.0071335362802642955,-0.0323297777324356,-0.02500751910358966,0.586585687045339,0.7889341917322716,0.07888208369485161,0.8206669928535396,0.7554554702783672,0.4736051518744746,0.025648928135392258,0.30535497319422117
223,0.053834589470503,0.006870784472036143,0.04,0.006963804998466857,-0.0397416573366446,-0.03599999091682808,0.6507060943671268,1.5091558633877609,0.10400025562445084,0.9049260067071264,0.6694296086058237,0.74567721317038,0.09231712573435023,0.28697236652304176
238,0.05384656866087197,0.006801076167690361,0.04,0.007045492493181614,-0.03587431330483993,-0.02786679778748746,0.5951120675228807,0.8563431686495475,0.18901193010457734,0.8464304974586826,0.6853982037938282,0.18953268187280276,0.03992956841195831,0.23162624880692553
409,0.05395651966134497,0.006804196096177641,0.04,0.007152323565167331,-0.03303239433940676,-0.023893574707814207,0.6085937992375106,0.9782453481291825,0.10866665288352025,0.9233930364875979,0.7347360896092645,0.7367794462736514,0.01686584964587516,0.24700859215797766
261,0.054116532116766675,0.006939424446900768,0.04,0.007177107669865908,-0.03325809923121552,-0.022918660015990022,0.5591224810114801,0.6246701724928763,0.1332542094588102,0.8120287054891188,0.796524933604509,0.5077403690706322,0.01,0.2106138131194581
305,0.054182246069042594,0.007104683103788049,0.04,0.007077562965254549,-0.03703300621529624,-0.027031833986274564,0.5186435526366648,0.508840303262993,0.14948273384277588,0.9587745858889843,0.6828859011208992,0.28787213060738487,0.03220752886691795,0.16840693361103742
360,0.05445775391646883,0.007555215650101069,0.04,0.006902538266367758,-0.04788303436773797,-0.044903241075432455,0.6252886574501123,1.3156516735786223,0.22017421696442252,0.6789021253956895,0.7153559044076615,0.8055257737111421,0.15003498999499448,0.21512702758784652
165,0.05446713602043493,0.0071423977035278766,0.04,0.007324738316907051,-0.033589260377430485,-0.027209248110603032,0.7209084865724057,1.7714308741085512,0.22430765775810305,0.7614921665531185,0.6071912459944308,0.43409543412323653,0.03486380746752044,0.3281626954461502
171,0.05456136597436807,0.007277768202183933,0.04,0.007283597772184135,-0.035491482295881775,-0.027526473856673322,0.6183813720247819,0.8015566347281456,0.24018619692534893,0.931886552094296,0.7620778199386269,0.42697683961833316,0.03448914900755487,0.25226701794965645
128,0.05469661941893327,0.00742925847594897,0.04,0.007267360942984301,-0.03769218741933964,-0.030707098358624396,0.6233121492908482,1.1153837798616384,0.10115710275960164,0.7867914785261334,0.6946595940737008,0.35296949686232165,0.051972151445254765,0.25101408481725374
207,0.054732996396817314,0.0073473435046147355,0.04,0.007385652892202573,-0.034622782418718884,-0.029263122151654133,0.6028956437491455,0.8448780164925371,0.03,0.9443501503687279,0.6495957317843225,0.5076979394169162,0.04549541794900461,0.34194756994618136
91,0.055257388825727186,0.007829467852655397,0.04,0.007427920973071789,-0.03552936172161703,-0.023999454662249956,0.5949155053041453,0.8974957221591026,0.10978514278424448,0.8300760287353227,0.7903051631581282,0.6624347154582996,0.01,0.17397842920275708
373,0.05535723604703023,0.007818408783431822,0.04,0.0075388272635984015,-0.03503463538483257,-0.026982855744372182,0.6711085026613705,1.2850432474562088,0.1281294789423546,0.9703188638733041,0.7946270708056917,0.4955728881544837,0.02792369120420811,0.27577147421674214
44,0.05549376858271292,0.008112842697842204,0.04,0.007380925884870712,-0.042218117838915235,-0.036490007153119314,0.5517362128840702,0.5297622135449616,0.16403620419289722,0.7918189430773503,0.9487756640437937,0.5530433522288948,0.08200087466488068,0.2322972159907936
239,0.055524950209459675,0.008080688909369945,0.04,0.007444261300089728,-0.04058731500342667,-0.03502163947131621,0.5959919227731281,0.8304694018179054,0.10408170600459621,0.8264196604286661,0.744099101511443,0.6542678536058646,0.0727910164739474,0.2600750247922618
